Year,ISO3,ADM0_EN,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_EN,ADM1_PCODE,ADM2_FR,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Fonds des Nègres,Fonds des Negres,HT1013,20048,18271,38319,2504,2136,2051,2104,2109,2012,1591,1219,885,680,564,517,487,467,323,201,198,2350,2012,1883,1832,1810,1740,1689,1385,853,575,445,388,398,358,257,155,141,4854,4148,3934,3936,3919,3752,3280,2604,1738,1255,1009,905,885,825,580,356,339
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Grand-Boucan,Grand-Boucan,HT1032,3208,3252,6460,422,388,353,292,261,244,213,217,159,143,111,93,104,83,60,33,32,418,384,352,316,274,247,245,234,153,134,110,99,96,74,57,32,27,840,772,705,608,535,491,458,451,312,277,221,192,200,157,117,65,59
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,L'Asile,L'Asile,HT1023,23222,22668,45890,2801,2447,2473,2624,2327,1880,1619,1235,966,831,818,772,780,594,449,346,260,2695,2554,2551,2531,2315,1929,1743,1370,924,758,647,627,572,604,364,287,197,5496,5001,5024,5155,4642,3809,3362,2605,1890,1589,1465,1399,1352,1198,813,633,457
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Miragoâne,Miragoane,HT1011,35861,34756,70617,4311,3721,3637,3859,3963,3880,3003,2199,1565,1137,974,860,810,737,568,330,307,4416,3716,3464,3415,3458,3592,3502,2719,1681,1050,788,690,695,633,446,259,232,8727,7437,7101,7274,7421,7472,6505,4918,3246,2187,1762,1550,1505,1370,1014,589,539
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Paillant,Paillant,HT1014,10410,9234,19644,1261,1084,1063,1123,1144,1119,866,635,454,330,282,249,235,214,165,96,90,1184,991,931,914,912,945,918,715,445,279,209,183,186,169,119,71,63,2445,2075,1994,2037,2056,2064,1784,1350,899,609,491,432,421,383,284,167,153
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Petit Trou de Nippes,Petit Trou de Nippes,HT1022,16425,17368,33793,2120,1932,1767,1574,1217,1232,1190,1062,774,668,597,544,562,476,315,200,195,2130,1913,1906,1810,1477,1237,1294,1251,870,673,593,528,520,422,340,234,170,4250,3845,3673,3384,2694,2469,2484,2313,1644,1341,1190,1072,1082,898,655,434,365
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Petite Rivière de Nippes,Petite Riviere de Nippes,HT1012,17684,17259,34943,2228,2070,2056,1849,1612,1491,1288,1153,769,613,545,417,502,362,308,196,225,2175,2084,1933,1980,1535,1502,1404,1052,779,584,517,368,399,322,286,176,163,4403,4154,3989,3829,3147,2993,2692,2205,1548,1197,1062,785,901,684,594,372,388
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Plaisance du Sud,Plaisance du Sud,HT1025,15828,16340,32168,2075,1871,1741,1541,1173,1175,1129,1005,736,630,564,514,533,447,300,197,197,2051,1807,1824,1722,1378,1154,1200,1157,809,627,548,488,485,395,315,219,161,4126,3678,3565,3263,2551,2329,2329,2162,1545,1257,1112,1002,1018,842,615,416,358
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Acul du Nord,Acul du Nord,HT0321,29911,29721,59632,2981,2958,2807,2766,2622,2135,2275,2377,1859,1767,1385,1174,950,818,515,293,229,2951,3079,3036,3038,2653,2106,2476,2400,1754,1394,1185,1060,873,772,471,265,208,5932,6037,5843,5804,5275,4241,4751,4777,3613,3161,2570,2234,1823,1590,986,558,437
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Bahon,Bahon,HT0332,12288,12246,24534,1396,1411,1230,1016,823,774,938,1005,797,684,571,432,461,323,215,118,94,1441,1365,1365,1167,843,806,944,953,774,626,475,386,440,328,183,86,64,2837,2776,2595,2183,1666,1580,1882,1958,1571,1310,1046,818,901,651,398,204,158
