"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2010-11","645","Dodge County","ALL","All Column Values","School Administration",686434.74,274904.43,961339.17,3.47,2.96,3.73,3.24
"2010-11","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",10898990.42,4299842.51,15198832.93,54.92,46.86,59.03,51.18
"2010-11","646","Dooly County","ALL","All Column Values","General Administration",260272.33,82689.15,342961.48,2.3,1.97,2.43,2.16
"2010-11","646","Dooly County","ALL","All Column Values","School Administration",593710.25,255639.77,849350.02,5.7,4.88,6.03,5.35
"2010-11","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",5074700.94,1945247.07,7019948.01,47.1,40.3,49.83,44.18
"2010-11","647","Dougherty County","ALL","All Column Values","General Administration",1185325.72,430681.02,1616006.74,1.12,0.94,1.19,0.99
"2010-11","647","Dougherty County","ALL","All Column Values","School Administration",4720096.2,1902883.32,6622979.52,4.58,3.84,4.88,4.08
"2010-11","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",51757968.81,21091533.12,72849501.93,50.37,42.23,53.7,44.84
"2010-11","648","Douglas County","ALL","All Column Values","General Administration",1806531.82,539135.91,2345667.73,1.17,0.88,1.12,0.85
"2010-11","648","Douglas County","ALL","All Column Values","School Administration",7096011.94,3142981.35,10238993.29,5.1,3.83,4.89,3.7
"2010-11","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",86713989.08,33828724,120542713.08,60.02,45.06,57.57,43.57
"2010-11","649","Early County","ALL","All Column Values","General Administration",336130.23,138070.49,474200.72,2.09,1.74,2.19,1.79
"2010-11","649","Early County","ALL","All Column Values","School Administration",808363.24,307788.62,1116151.86,4.93,4.09,5.16,4.21
"2010-11","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",9164303.4,3614216.25,12778519.65,56.43,46.83,59.07,48.17
"2010-11","650","Echols County","ALL","All Column Values","General Administration",156446.72,73560.09,230006.81,3.27,2.85,3.41,2.85
"2010-11","650","Echols County","ALL","All Column Values","School Administration",122734.08,53362.08,176096.16,2.51,2.18,2.61,2.18
"2010-11","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",2641497.58,1045851.97,3687349.55,52.48,45.75,54.67,45.65
"2010-11","651","Effingham County","ALL","All Column Values","General Administration",1016984.23,411114.04,1428098.27,1.55,1.34,1.61,1.45
"2010-11","651","Effingham County","ALL","All Column Values","School Administration",2851107.89,1190912.45,4042020.34,4.39,3.8,4.57,4.1
"2010-11","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",41604090.4,14990392.63,56594483.03,61.4,53.21,63.97,57.36
"2010-11","652","Elbert County","ALL","All Column Values","General Administration",263213,117661.15,380874.15,1.2,1.06,1.19,1.06
"2010-11","652","Elbert County","ALL","All Column Values","School Administration",963625.97,439781.07,1403407.04,4.42,3.89,4.38,3.89
"2010-11","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",14092213.89,5482883.33,19575097.22,61.61,54.24,61.12,54.28
"2010-11","653","Emanuel County","ALL","All Column Values","General Administration",671370.61,192542.62,863913.23,2.29,2.01,2.49,2.18
"2010-11","653","Emanuel County","ALL","All Column Values","School Administration",1227550.59,508526.04,1736076.63,4.6,4.04,5,4.38
"2010-11","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",14512987.19,5748635.82,20261623.01,53.65,47.11,58.4,51.07
"2010-11","654","Evans County","ALL","All Column Values","General Administration",175433.75,88568.02,264001.77,1.74,1.48,1.88,1.66
"2010-11","654","Evans County","ALL","All Column Values","School Administration",462011.57,145791.92,607803.49,4,3.41,4.32,3.83
"2010-11","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",6264849.55,1891398.61,8156248.16,53.69,45.79,57.99,51.33
"2010-11","655","Fannin County","ALL","All Column Values","General Administration",372817.95,165733.61,538551.56,1.67,1.44,1.74,1.43
"2010-11","655","Fannin County","ALL","All Column Values","School Administration",959578.79,522379.7,1481958.49,4.6,3.97,4.79,3.92
"2010-11","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",12264275.63,5287127.69,17551403.32,54.5,47.03,56.73,46.48
"2010-11","656","Fayette County","ALL","All Column Values","General Administration",745580.66,303943.59,1049524.25,0.54,0.46,0.57,0.5
"2010-11","656","Fayette County","ALL","All Column Values","School Administration",6268298.08,3305896.63,9574194.71,4.94,4.19,5.24,4.55
"2010-11","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",79570558.48,30757956.16,110328514.64,56.89,48.25,60.43,52.48
"2010-11","657","Floyd County","ALL","All Column Values","General Administration",709622.39,1001864.75,1711487.14,1.64,1.42,1.74,1.48
