"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2017-18","644","DeKalb County","ALL","All Column Values","General Administration",4397290.58,3816880.07,8214170.65,0.73,0.63,0.74,0.61
"2017-18","644","DeKalb County","ALL","All Column Values","School Administration",34793728.9,17221179.78,52014908.68,4.61,3.98,4.67,3.89
"2017-18","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",410897501.65,177960008.5,588857510.15,52.2,45.04,52.89,44.04
"2017-18","645","Dodge County","ALL","All Column Values","General Administration",292318.03,154704.99,447023.02,1.5,1.26,1.57,1.35
"2017-18","645","Dodge County","ALL","All Column Values","School Administration",796770.45,394669.95,1191440.4,3.99,3.36,4.18,3.59
"2017-18","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",12256337.9,5285029.44,17541367.34,58.77,49.48,61.51,52.88
"2017-18","646","Dooly County","ALL","All Column Values","General Administration",348920.8,164768.45,513689.25,3.83,3.25,3.8,2.77
"2017-18","646","Dooly County","ALL","All Column Values","School Administration",703105.41,383322.42,1086427.83,8.1,6.88,8.03,5.87
"2017-18","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",4329732.16,2112016.18,6441748.34,48.04,40.77,47.62,34.78
"2017-18","647","Dougherty County","ALL","All Column Values","General Administration",1271189.82,721069.01,1992258.83,1.29,0.89,1.34,0.94
"2017-18","647","Dougherty County","ALL","All Column Values","School Administration",5422131.25,2692274.7,8114405.95,5.26,3.63,5.46,3.83
"2017-18","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",48360737.16,24897206.37,73257943.53,47.44,32.78,49.27,34.59
"2017-18","648","Douglas County","ALL","All Column Values","General Administration",1262047.03,789976.97,2052024,0.81,0.69,0.81,0.68
"2017-18","648","Douglas County","ALL","All Column Values","School Administration",8562032.1,5141950.02,13703982.12,5.38,4.58,5.43,4.54
"2017-18","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",99938402.89,47483244.05,147421646.94,57.89,49.22,58.46,48.82
"2017-18","649","Early County","ALL","All Column Values","General Administration",333371.04,186869.8,520240.84,2.26,1.99,2.39,2.13
"2017-18","649","Early County","ALL","All Column Values","School Administration",831076.28,380521.31,1211597.59,5.26,4.65,5.57,4.96
"2017-18","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",8906475.35,4154617.04,13061092.39,56.75,50.09,60,53.47
"2017-18","650","Echols County","ALL","All Column Values","General Administration",231551.76,109249.35,340801.11,3.89,3.43,4.06,3.59
"2017-18","650","Echols County","ALL","All Column Values","School Administration",230969.68,155033.65,386003.33,4.4,3.88,4.6,4.07
"2017-18","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",3157724.49,1599109.5,4756833.99,54.26,47.86,56.66,50.1
"2017-18","651","Effingham County","ALL","All Column Values","General Administration",1240374.14,583497.65,1823871.79,1.63,1.44,1.64,1.34
"2017-18","651","Effingham County","ALL","All Column Values","School Administration",3711896.93,1915980.53,5627877.46,5.03,4.43,5.08,4.12
"2017-18","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",50377903.97,20742321.98,71120225.95,63.53,55.99,64.14,52.13
"2017-18","652","Elbert County","ALL","All Column Values","General Administration",149276.1,218505.16,367781.26,1.18,1.04,1.27,1.07
"2017-18","652","Elbert County","ALL","All Column Values","School Administration",1092891.45,675367.45,1768258.9,5.69,4.98,6.12,5.14
"2017-18","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",11060164.56,5388924.96,16449089.52,52.89,46.31,56.89,47.78
"2017-18","653","Emanuel County","ALL","All Column Values","General Administration",475893.44,257234.18,733127.62,1.87,1.64,1.95,1.69
"2017-18","653","Emanuel County","ALL","All Column Values","School Administration",1285249.3,738034.02,2023283.32,5.16,4.51,5.38,4.67
"2017-18","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",14548349.88,7492668.24,22041018.12,56.23,49.17,58.61,50.87
"2017-18","654","Evans County","ALL","All Column Values","General Administration",128130.13,125476.21,253606.34,1.44,1.24,1.49,1.24
"2017-18","654","Evans County","ALL","All Column Values","School Administration",813746.69,354601.04,1168347.73,6.62,5.7,6.87,5.7
"2017-18","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",5754624.2,2512670.39,8267294.59,46.84,40.32,48.62,40.31
"2017-18","655","Fannin County","ALL","All Column Values","General Administration",517773.17,271716.33,789489.5,2.18,1.83,2.31,1.85
"2017-18","655","Fannin County","ALL","All Column Values","School Administration",1077978.87,794110.28,1872089.15,5.16,4.33,5.47,4.38
"2017-18","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",12169033.19,6885889.89,19054923.08,52.54,44.1,55.72,44.61
"2017-18","656","Fayette County","ALL","All Column Values","General Administration",805971.98,558744.99,1364716.97,0.64,0.47,0.67,0.5
"2017-18","656","Fayette County","ALL","All Column Values","School Administration",6653484.29,3515022.52,10168506.81,4.78,3.51,4.97,3.74
"2017-18","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",85869805.9,36024473.97,121894279.87,57.33,42.1,59.61,44.81
"2017-18","657","Floyd County","ALL","All Column Values","General Administration",611667.36,1052780.55,1664447.91,1.59,1.07,1.68,1.4
"2017-18","657","Floyd County","ALL","All Column Values","School Administration",3886806.98,1955890.6,5842697.58,5.58,3.75,5.9,4.93
"2017-18","657","Floyd County","ALL","All Column Values","Teachers and Paraprofessionals",39695869.4,18522617.93,58218487.33,55.58,37.41,58.82,49.09
"2017-18","658","Forsyth County","ALL","All Column Values","General Administration",1724982.43,769122.91,2494105.34,0.59,0.49,0.6,0.46
"2017-18","658","Forsyth County","ALL","All Column Values","School Administration",12596993.9,6972553.67,19569547.57,4.61,3.81,4.68,3.62
"2017-18","658","Forsyth County","ALL","All Column Values","Teachers and Paraprofessionals",186209528.71,83857312.58,270066841.29,63.56,52.56,64.65,49.95
"2017-18","659","Franklin County","ALL","All Column Values","General Administration",300407.98,174693.35,475101.33,1.25,0.91,1.3,1.12
"2017-18","659","Franklin County","ALL","All Column Values","School Administration",1226748.86,704325.24,1931074.1,5.09,3.7,5.29,4.55
"2017-18","659","Franklin County","ALL","All Column Values","Teachers and Paraprofessionals",14631165.21,6928782.77,21559947.98,56.86,41.3,59.02,50.85
"2017-18","660","Fulton County","ALL","All Column Values","General Administration",6137306.44,9858619.44,15995925.88,1.47,1.23,1.43,1.26
"2017-18","660","Fulton County","ALL","All Column Values","School Administration",31782427.48,15948978.39,47731405.87,4.4,3.68,4.28,3.76
"2017-18","660","Fulton County","ALL","All Column Values","Teachers and Paraprofessionals",399882471.5,166471608.29,566354079.79,52.16,43.69,50.8,44.6
"2017-18","661","Gilmer County","ALL","All Column Values","General Administration",344414.52,262992.58,607407.1,1.42,1.24,1.46,1.25
"2017-18","661","Gilmer County","ALL","All Column Values","School Administration",1329239.15,839669.1,2168908.25,5.08,4.41,5.2,4.48
"2017-18","661","Gilmer County","ALL","All Column Values","Teachers and Paraprofessionals",15426694.84,7921305.07,23347999.91,54.66,47.5,56,48.18
"2017-18","662","Glascock County","ALL","All Column Values","General Administration",183857.35,80819.88,264677.23,4.08,3.84,4.13,3.79
"2017-18","662","Glascock County","ALL","All Column Values","School Administration",189485.31,61478.18,250963.49,3.87,3.64,3.92,3.59
"2017-18","662","Glascock County","ALL","All Column Values","Teachers and Paraprofessionals",2303434.06,920258.02,3223692.08,49.7,46.79,50.31,46.18
"2017-18","663","Glynn County","ALL","All Column Values","General Administration",503200.1,477969.13,981169.23,0.72,0.59,0.75,0.55
"2017-18","663","Glynn County","ALL","All Column Values","School Administration",3987307.4,2027721.09,6015028.49,4.42,3.62,4.62,3.37
"2017-18","663","Glynn County","ALL","All Column Values","Teachers and Paraprofessionals",51702038.63,24365323.01,76067361.64,55.9,45.8,58.4,42.61
"2017-18","664","Gordon County","ALL","All Column Values","General Administration",302058.38,215809.5,517867.88,0.79,0.69,0.85,0.62
"2017-18","664","Gordon County","ALL","All Column Values","School Administration",2281057.44,1310800.82,3591858.26,5.48,4.79,5.89,4.31
"2017-18","664","Gordon County","ALL","All Column Values","Teachers and Paraprofessionals",23599946.36,11250727.63,34850673.99,53.13,46.51,57.14,41.86
"2017-18","665","Grady County","ALL","All Column Values","General Administration",262673.08,122347.6,385020.68,0.92,0.82,0.95,0.81
"2017-18","665","Grady County","ALL","All Column Values","School Administration",1471411.19,715708.82,2187120.01,5.24,4.66,5.41,4.59
"2017-18","665","Grady County","ALL","All Column Values","Teachers and Paraprofessionals",16594052.06,7418923.14,24012975.2,57.5,51.11,59.4,50.43
"2017-18","666","Greene County","ALL","All Column Values","General Administration",383361.67,206523.82,589885.49,1.81,1.5,1.84,1.47
"2017-18","666","Greene County","ALL","All Column Values","School Administration",993766.11,529149.11,1522915.22,4.67,3.87,4.74,3.78
"2017-18","666","Greene County","ALL","All Column Values","Teachers and Paraprofessionals",10902375.96,5563537.76,16465913.72,50.45,41.81,51.27,40.92
"2017-18","667","Gwinnett County","ALL","All Column Values","General Administration",3319045.91,3037116.21,6356162.12,0.37,0.31,0.38,0.3
"2017-18","667","Gwinnett County","ALL","All Column Values","School Administration",63722242.16,35949677.32,99671919.48,5.75,4.86,5.99,4.76
"2017-18","667","Gwinnett County","ALL","All Column Values","Teachers and Paraprofessionals",669689545.01,296706656.43,966396201.44,55.78,47.16,58.03,46.12
"2017-18","668","Habersham County","ALL","All Column Values","General Administration",264589.8,215153.96,479743.76,0.67,0.57,0.67,0.56
"2017-18","668","Habersham County","ALL","All Column Values","School Administration",2515559.21,1367712.06,3883271.27,5.41,4.63,5.45,4.53
"2017-18","668","Habersham County","ALL","All Column Values","Teachers and Paraprofessionals",27659170.47,13501284.06,41160454.53,57.33,49.12,57.78,48.03
"2017-18","669","Hall County","ALL","All Column Values","General Administration",625317.74,459129.14,1084446.88,0.42,0.33,0.43,0.34
"2017-18","669","Hall County","ALL","All Column Values","School Administration",8026733.28,4495861.03,12522594.31,4.89,3.86,4.97,3.91
