"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2012-13","School","607","Barrow County","1050","Auburn Elementary School","PK,KK,01,02,03,04,05",703,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","2052","Winder-Barrow Middle School","06,07,08",725,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","3052","Winder-Barrow High School","09,10,11,12",1783,"138","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","14","15","11","Too Few Students","Too Few Students","87","63","84","61","54","39"
"2012-13","School","607","Barrow County","4050","Holsenbeck Elementary School","PK,KK,01,02,03,04,05",955,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","67","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","5050","Statham Elementary School","PK,KK,01,02,03,04,05",846,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","67","Too Few Students","Too Few Students"
"2012-13","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",12651,"363","19","5","Too Few Students","Too Few Students","53","15","52","14","17","5","220","61","229","63","134","37"
"2012-13","School","608","Bartow County","0101","Woodland Middle School at Euharlee","06,07,08",850,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0104","Clear Creek Elementary School","PK,KK,01,02,03,04,05",570,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0105","Adairsville High School","09,10,11,12",950,"61","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","51","84","35","57","26","43"
"2012-13","School","608","Bartow County","0106","Pine Log Elementary","PK,KK,01,02,03,04,05",382,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0107","Euharlee Elementary School","PK,KK,01,02,03,04,05",602,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0114","New Cass High School","09,10,11,12",1424,"167","Too Few Students","Too Few Students","Too Few Students","Too Few Students","34","20","22","13","Too Few Students","Too Few Students","104","62","97","58","70","42"
"2012-13","School","608","Bartow County","0115","Cloverleaf Elementary","PK,KK,01,02,03,04,05",685,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0175","White Elementary School","PK,KK,01,02,03,04,05",534,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0177","Adairsville Elementary School","PK,KK,01,02,03,04,05",651,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","77","11","85","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0186","Mission Road Elementary School","PK,KK,01,02,03,04,05",490,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0190","South Central Middle School","06,07,08",673,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0195","Cass Middle School","06,07,08",1027,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
