"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2017-18","611","Bibb County","0105","Howard High School","Economics: Micro",28,28,16
"2017-18","611","Bibb County","0105","Howard High School","Eng. Language & Comp",52,52,16
"2017-18","611","Bibb County","0105","Howard High School","Eng. Literature & Comp",62,62,17
"2017-18","611","Bibb County","0105","Howard High School","Environmental Science",26,26,10
"2017-18","611","Bibb County","0105","Howard High School","Geography: Human",55,55,20
"2017-18","611","Bibb County","0105","Howard High School","Physics 1",23,23,1
"2017-18","611","Bibb County","0105","Howard High School","Psychology",2,,
"2017-18","611","Bibb County","0105","Howard High School","Statistics",22,22,1
"2017-18","611","Bibb County","0105","Howard High School","U.S. History",51,51,17
"2017-18","611","Bibb County","0105","Howard High School","World History",49,49,14
"2017-18","611","Bibb County","0186","Central High School","ALL Subjects",205,224,47
"2017-18","611","Bibb County","0186","Central High School","Calculus A",7,,
"2017-18","611","Bibb County","0186","Central High School","Eng. Language & Comp",27,27,2
"2017-18","611","Bibb County","0186","Central High School","Eng. Literature & Comp",12,12,2
"2017-18","611","Bibb County","0186","Central High School","Environmental Science",1,,
"2017-18","611","Bibb County","0186","Central High School","Gov. & Pol. U.S.",54,54,
"2017-18","611","Bibb County","0186","Central High School","Spanish Language",1,,
"2017-18","611","Bibb County","0186","Central High School","U.S. History",59,59,14
"2017-18","611","Bibb County","0186","Central High School","World History",63,63,25
"2017-18","611","Bibb County","0198","Westside High School","ALL Subjects",224,384,10
"2017-18","611","Bibb County","0198","Westside High School","Biology",32,32,
"2017-18","611","Bibb County","0198","Westside High School","Calculus A",5,,
"2017-18","611","Bibb County","0198","Westside High School","Capstone",16,16,4
"2017-18","611","Bibb County","0198","Westside High School","Chemistry",29,29,
"2017-18","611","Bibb County","0198","Westside High School","Eng. Language & Comp",85,85,1
"2017-18","611","Bibb County","0198","Westside High School","Eng. Literature & Comp",33,33,1
"2017-18","611","Bibb County","0198","Westside High School","Geography: Human",36,36,2
"2017-18","611","Bibb County","0198","Westside High School","Gov. & Pol. U.S.",35,35,1
"2017-18","611","Bibb County","0198","Westside High School","Psychology",13,13,
"2017-18","611","Bibb County","0198","Westside High School","Statistics",4,,
"2017-18","611","Bibb County","0198","Westside High School","U.S. History",45,45,1
"2017-18","611","Bibb County","0198","Westside High School","World History",51,51,
"2017-18","611","Bibb County","0204","Rutland High School","ALL Subjects",223,308,36
"2017-18","611","Bibb County","0204","Rutland High School","Art: Studio 2-D Design",2,,
"2017-18","611","Bibb County","0204","Rutland High School","Biology",11,11,4
"2017-18","611","Bibb County","0204","Rutland High School","Calculus A",12,12,
"2017-18","611","Bibb County","0204","Rutland High School","Economics: Micro",14,14,6
"2017-18","611","Bibb County","0204","Rutland High School","Eng. Language & Comp",35,35,8
"2017-18","611","Bibb County","0204","Rutland High School","Eng. Literature & Comp",17,17,1
"2017-18","611","Bibb County","0204","Rutland High School","Environmental Science",18,18,2
"2017-18","611","Bibb County","0204","Rutland High School","Geography: Human",53,53,2
