"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2011-12","632","Clinch County","ALL","All Column Values","School Administration",451397.74,186394.11,637791.85,5.39,4.81,5.23,4.36
"2011-12","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4786988.78,1937586.24,6724575.02,56.87,50.7,55.14,45.92
"2011-12","633","Cobb County","ALL","All Column Values","General Administration",3829656.83,1459524.63,5289181.46,0.61,0.49,0.59,0.46
"2011-12","633","Cobb County","ALL","All Column Values","School Administration",27771437.23,11810249.35,39581686.58,4.56,3.69,4.4,3.43
"2011-12","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",399845753.61,149743378.49,549589132.1,63.25,51.28,61.09,47.62
"2011-12","634","Coffee County","ALL","All Column Values","General Administration",552278.5,222375.41,774653.91,1.45,1.21,1.41,1.2
"2011-12","634","Coffee County","ALL","All Column Values","School Administration",1784690.11,794553,2579243.11,4.83,4.04,4.7,3.99
"2011-12","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",25102763.23,5221955.52,30324718.75,56.83,47.47,55.23,46.96
"2011-12","635","Colquitt County","ALL","All Column Values","General Administration",403027.89,202391.63,605419.52,0.82,0.71,0.81,0.7
"2011-12","635","Colquitt County","ALL","All Column Values","School Administration",2443667.01,786652.39,3230319.4,4.4,3.79,4.33,3.75
"2011-12","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",33209876.06,10933307.41,44143183.47,60.09,51.85,59.23,51.19
"2011-12","636","Columbia County","ALL","All Column Values","General Administration",216972.72,278889.31,495862.03,0.28,0.24,0.28,0.23
"2011-12","636","Columbia County","ALL","All Column Values","School Administration",6566113.12,2671154.07,9237267.19,5.25,4.5,5.2,4.28
"2011-12","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",79384549.44,31224477.01,110609026.45,62.82,53.91,62.23,51.31
"2011-12","637","Cook County","ALL","All Column Values","General Administration",460820.15,170296.26,631116.41,2.76,2.33,2.7,2.27
"2011-12","637","Cook County","ALL","All Column Values","School Administration",722269.29,276148.92,998418.21,4.37,3.68,4.27,3.59
"2011-12","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",11027649.91,1891256.21,12918906.12,56.49,47.67,55.3,46.4
"2011-12","638","Coweta County","ALL","All Column Values","General Administration",517995.84,249898.62,767894.46,0.45,0.38,0.45,0.36
"2011-12","638","Coweta County","ALL","All Column Values","School Administration",7162617.6,2932298.48,10094916.08,5.86,4.96,5.93,4.74
"2011-12","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",75111538.25,27494602.05,102606140.3,59.6,50.44,60.24,48.21
"2011-12","639","Crawford County","ALL","All Column Values","General Administration",368809.08,128998.82,497807.9,3.51,3.12,3.41,2.88
"2011-12","639","Crawford County","ALL","All Column Values","School Administration",565454.33,243815.37,809269.7,5.71,5.07,5.54,4.69
"2011-12","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6613377.58,2519777.6,9133155.18,64.42,57.17,62.53,52.91
"2011-12","640","Crisp County","ALL","All Column Values","General Administration",371815.63,110726.09,482541.72,1.42,1.14,1.38,1.03
"2011-12","640","Crisp County","ALL","All Column Values","School Administration",1157748.59,508872.5,1666621.09,4.92,3.95,4.78,3.57
"2011-12","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",14783716.33,5842909.85,20626626.18,60.86,48.83,59.12,44.15
"2011-12","641","Dade County","ALL","All Column Values","General Administration",107046.11,89693.79,196739.9,1.11,0.94,1.07,0.81
"2011-12","641","Dade County","ALL","All Column Values","School Administration",682130.22,289588.01,971718.23,5.5,4.63,5.26,4.01
"2011-12","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",7923387.65,3230861.21,11154248.86,63.12,53.1,60.43,46.06
"2011-12","642","Dawson County","ALL","All Column Values","General Administration",262889,110894.71,373783.71,1.1,0.86,1.13,0.9
