"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2013-14","School","608","Bartow County","0190","South Central Middle School","06,07,08",648,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0195","Cass Middle School","06,07,08",980,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0196","Allatoona Elementary School","PK,KK,01,02,03,04,05",436,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0198","Woodland High School","09,10,11,12",1720,"106","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","13","Too Few Students","Too Few Students","80","76","68","64","38","36"
"2013-14","School","608","Bartow County","0296","Kingston Elementary School","PK,KK,01,02,03,04,05",525,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0301","Adairsville Middle School","06,07,08",712,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0377","Hamilton Crossing Elementary School","PK,KK,01,02,03,04,05",603,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0396","Taylorsville Elementary School","PK,KK,01,02,03,04,05",507,"11","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","2052","Emerson Elementary School","PK,KK,01,02,03,04,05",396,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13729,"371","Too Few Students","Too Few Students","Too Few Students","Too Few Students","30","8","34","9","10","3","294","79","223","60","148","40"
"2013-14","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",697,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",905,"139","Too Few Students","Too Few Students","Too Few Students","Too Few Students","64","46","19","14","Too Few Students","Too Few Students","51","37","72","52","67","48"
"2013-14","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",777,"47","Too Few Students","Too Few Students","Too Few Students","Too Few Students","30","64","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","32","17","36","30","64"
"2013-14","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",726,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3105,"204","Too Few Students","Too Few Students","Too Few Students","Too Few Students","104","51","23","11","Too Few Students","Too Few Students","72","35","103","51","101","50"
"2013-14","School","610","Berrien County","0101","Berrien High School","09,10,11,12",798,"31","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","32","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","58","20","65","11","36"
"2013-14","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",73,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","610","Berrien County","0194","Berrien Middle School","06,07,08",720,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","75","11","69","Too Few Students","Too Few Students"
"2013-14","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",696,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","88","11","69","Too Few Students","Too Few Students"
"2013-14","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",802,"60","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","17","Too Few Students","Too Few Students","41","68","38","63","22","37"
"2013-14","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3089,"127","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","18","14","11","Too Few Students","Too Few Students","88","69","83","65","44","35"
"2013-14","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",497,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",507,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","83","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","67","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0105","Howard High School","09,10,11,12",1137,"118","Too Few Students","Too Few Students","Too Few Students","Too Few Students","84","71","Too Few Students","Too Few Students","Too Few Students","Too Few Students","27","23","70","59","48","41"
"2013-14","School","611","Bibb County","0107","Bloomfield Middle School","06,07,08",473,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",401,"34","Too Few Students","Too Few Students","Too Few Students","Too Few Students","33","97","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","62","13","38"
"2013-14","School","611","Bibb County","0109","Bruce Elementary","PK,KK,01,02,03,04,05",483,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0186","Central High School","09,10,11,12",1063,"107","Too Few Students","Too Few Students","Too Few Students","Too Few Students","98","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","58","54","49","46"
"2013-14","School","611","Bibb County","0198","Westside High","09,10,11,12",1046,"20","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","95","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","65","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0203","Vineville Academy","PK,KK,01,02,03,04,05",555,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0204","Rutland High School","09,10,11,12",1042,"134","Too Few Students","Too Few Students","Too Few Students","Too Few Students","66","49","13","10","Too Few Students","Too Few Students","54","40","88","66","46","34"
"2013-14","School","611","Bibb County","0205","Howard Middle School","06,07,08",1024,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","611","Bibb County","0286","Northeast High School","09,10,11,12",660,"71","Too Few Students","Too Few Students","Too Few Students","Too Few Students","71","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","45","63","26","37"
"2013-14","School","611","Bibb County","0298","Miller Magnet Middle School","06,07,08",881,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
