"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2016-17","647","Dougherty County","ALL","All Column Values","General Administration",1096533.52,544977,1641510.52,1.11,0.94,1.14,0.86
"2016-17","647","Dougherty County","ALL","All Column Values","School Administration",5398430.51,2461562.73,7859993.24,5.32,4.51,5.45,4.13
"2016-17","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",49505997.3,23547899.42,73053896.72,49.43,41.9,50.68,38.35
"2016-17","648","Douglas County","ALL","All Column Values","General Administration",1258846.97,697715.51,1956562.48,0.81,0.68,0.83,0.68
"2016-17","648","Douglas County","ALL","All Column Values","School Administration",8156582.44,4551991.46,12708573.9,5.25,4.44,5.37,4.44
"2016-17","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",95205660.43,42505067.72,137710728.15,56.89,48.06,58.19,48.16
"2016-17","649","Early County","ALL","All Column Values","General Administration",333315.12,162425.7,495740.82,2.47,2.11,2.47,2.17
"2016-17","649","Early County","ALL","All Column Values","School Administration",664045.86,273546.54,937592.4,4.66,3.99,4.67,4.1
"2016-17","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",8569753.96,3644689.72,12214443.68,60.76,52.04,60.82,53.38
"2016-17","650","Echols County","ALL","All Column Values","General Administration",224857,97022.2,321879.2,3.92,3.45,4.01,3.53
"2016-17","650","Echols County","ALL","All Column Values","School Administration",233531.54,137512.03,371043.57,4.52,3.97,4.62,4.07
"2016-17","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",3052980.24,1462705.27,4515685.51,55.03,48.34,56.23,49.51
"2016-17","651","Effingham County","ALL","All Column Values","General Administration",1200995.34,534221.91,1735217.25,1.71,1.32,1.67,1.39
"2016-17","651","Effingham County","ALL","All Column Values","School Administration",3534970.94,1625874.28,5160845.22,5.09,3.93,4.97,4.13
"2016-17","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",47964141.2,18256735.66,66220876.86,65.3,50.44,63.72,52.94
"2016-17","652","Elbert County","ALL","All Column Values","General Administration",245923.26,203449.88,449373.14,1.54,1.33,1.6,1.4
"2016-17","652","Elbert County","ALL","All Column Values","School Administration",1074798.3,614998.8,1689797.1,5.81,5.02,6,5.27
"2016-17","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",10898823.21,5184253.14,16083076.35,55.29,47.75,57.09,50.14
"2016-17","653","Emanuel County","ALL","All Column Values","General Administration",423524.07,217390.16,640914.23,1.76,1.51,1.79,1.53
"2016-17","653","Emanuel County","ALL","All Column Values","School Administration",1150787.12,617055.94,1767843.06,4.85,4.17,4.95,4.21
"2016-17","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",14129589.1,6830700.21,20960289.31,57.51,49.43,58.7,49.91
"2016-17","654","Evans County","ALL","All Column Values","General Administration",105225.41,123424.1,228649.51,1.4,1.2,1.38,1.21
"2016-17","654","Evans County","ALL","All Column Values","School Administration",648543.99,272358.7,920902.69,5.63,4.81,5.55,4.87
"2016-17","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",5867939.54,2422836.85,8290776.39,50.65,43.33,49.96,43.83
"2016-17","655","Fannin County","ALL","All Column Values","General Administration",537856.59,240216.37,778072.96,2.25,1.89,2.32,2.08
"2016-17","655","Fannin County","ALL","All Column Values","School Administration",1080232.42,723067.54,1803299.96,5.2,4.38,5.37,4.82
"2016-17","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",12434103.45,6532389.81,18966493.26,54.74,46.05,56.47,50.72
"2016-17","656","Fayette County","ALL","All Column Values","General Administration",829650.36,480693.07,1310343.43,0.66,0.54,0.67,0.53
"2016-17","656","Fayette County","ALL","All Column Values","School Administration",6597448.69,3233942.66,9831391.35,4.93,4.06,5.02,4
"2016-17","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",85188070.71,33357890.83,118545961.54,59.45,48.94,60.5,48.24
"2016-17","657","Floyd County","ALL","All Column Values","General Administration",606218.47,758047.82,1364266.29,1.35,1.15,1.39,1.11
"2016-17","657","Floyd County","ALL","All Column Values","School Administration",3993703.24,1886777.74,5880480.98,5.8,4.96,5.99,4.79
"2016-17","657","Floyd County","ALL","All Column Values","Teachers and Paraprofessionals",40235506.88,17011739.92,57247246.8,56.44,48.27,58.35,46.65
"2016-17","658","Forsyth County","ALL","All Column Values","General Administration",1574679.52,651309.68,2225989.2,0.57,0.41,0.58,0.4
"2016-17","658","Forsyth County","ALL","All Column Values","School Administration",11773900.81,6038383.54,17812284.35,4.55,3.31,4.66,3.22
"2016-17","658","Forsyth County","ALL","All Column Values","Teachers and Paraprofessionals",173729738.9,73537928.58,247267667.48,63.14,45.93,64.63,44.76
"2016-17","659","Franklin County","ALL","All Column Values","General Administration",330965.33,184414.03,515379.36,1.42,1.26,1.44,1.27
"2016-17","659","Franklin County","ALL","All Column Values","School Administration",1100745.15,582491.05,1683236.2,4.65,4.1,4.69,4.14
"2016-17","659","Franklin County","ALL","All Column Values","Teachers and Paraprofessionals",14255380.49,6220609.88,20475990.37,56.51,49.89,57.04,50.39
"2016-17","660","Fulton County","ALL","All Column Values","General Administration",5097393.82,9393768.91,14491162.73,1.37,1.12,1.37,1.14
