"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","642","Dawson County","0198","Dawson County High School",1
"2011","642","Dawson County","0199","Black's Mill Elementary School",1
"2011","642","Dawson County","ALL","All Schools",2
"2011","644","DeKalb County","0101","Avondale Middle School",4
"2011","644","DeKalb County","0173","Vanderlyn Elementary School",11
"2011","644","DeKalb County","0175","Austin Elementary School",19
"2011","644","DeKalb County","0176","Redan High School",1
"2011","644","DeKalb County","0188","Panola Way Elementary School",1
"2011","644","DeKalb County","0189","Peachtree Middle School",14
"2011","644","DeKalb County","0190","Pine Ridge Elementary School",1
"2011","644","DeKalb County","0200","Cedar Grove Middle School",1
"2011","644","DeKalb County","0201","Freedom Middle School",67
"2011","644","DeKalb County","0272","Rockbridge Elementary School",3
"2011","644","DeKalb County","0276","Stone Mountain High School",2
"2011","644","DeKalb County","0290","Sequoyah Middle School",22
"2011","644","DeKalb County","0291","Salem Middle School",1
"2011","644","DeKalb County","0293","Shadow Rock Elementary School",2
"2011","644","DeKalb County","0310","Dunwoody Elementary School",12
"2011","644","DeKalb County","0399","Robert Shaw Theme School",2
"2011","644","DeKalb County","0401","Mary McLeod Bethune Middle School",1
"2011","644","DeKalb County","0406","Chamblee Middle School",6
"2011","644","DeKalb County","0506","Stone Mountain Middle School",8
"2011","644","DeKalb County","0575","Stone Mill Elementary School",8
"2011","644","DeKalb County","0597","Miller Grove Middle School",1
"2011","644","DeKalb County","0605","Tucker Middle School",28
"2011","644","DeKalb County","0797","Henderson Middle School",9
"2011","644","DeKalb County","0805","International Community School",3
"2011","644","DeKalb County","0810","Elizabeth Andrews High School",3
"2011","644","DeKalb County","0897","Shamrock Middle School",32
"2011","644","DeKalb County","1052","Brockett Elementary School",2
"2011","644","DeKalb County","1055","Dresden Elementary School",4
"2011","644","DeKalb County","1056","Evansdale Elementary School",4
"2011","644","DeKalb County","1057","McNair Middle School",1
"2011","644","DeKalb County","1059","Idlewood Elementary School",42
"2011","644","DeKalb County","1062","Medlock Elementary School",3
"2011","644","DeKalb County","1067","Sky Haven Elementary School",1
"2011","644","DeKalb County","1070","Tucker High School",1
