sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore,four_year_graduation_rate,CollegeEnrollment
6255052,625,Savannah-Chatham County,Butler Elementary School,5052,D,66.3,,
6255058,625,Savannah-Chatham County,Hodge Elementary School,5058,D,68.10000000000001,,
6255060,625,Savannah-Chatham County,Jenkins High School,5060,D,67.10000000000001,86.5,
6255062,625,Savannah-Chatham County,Mercer Middle School,5062,F,47.7,,
6255066,625,Savannah-Chatham County,Jacob G. Smith Elementary School,5066,B,89.7,,
6255070,625,Savannah-Chatham County,Windsor Forest High School,5070,D,66.3,88,
625511,625,Savannah-Chatham County,Shuman Elementary School,511,D,64.10000000000001,,
625512,625,Savannah-Chatham County,Rice Creek School,512,F,59.90000000000001,,
625513,625,Savannah-Chatham County,Savannah Early College High School,513,A,93.10000000000001,100,
625514,625,Savannah-Chatham County,School of Humanities at Juliette Gordon Low,514,F,48.8,,
625515,625,Savannah-Chatham County,Susie King Taylor Community School,515,D,60.5,,
625516,625,Savannah-Chatham County,Savannah Classical Academy Charter High School,516,,,,
625517,625,Savannah-Chatham County,Henderson E. Formey Jr. Early Learning Center,517,D,64.10000000000001,,
626101,626,Chattahoochee County,Chattahoochee County Education Center,101,C,74.3,,
626106,626,Chattahoochee County,Chattahoochee County Middle School,106,C,75.3,,
626206,626,Chattahoochee County,Chattahoochee County High School,206,B,80.90000000000001,82.099998,
6271050,627,Chattooga County,Chattooga High School,1050,C,71.3,93.800003,
627106,627,Chattooga County,Leroy Massey Elementary School,106,F,59.8,,
6272050,627,Chattooga County,Lyerly Elementary School,2050,C,71.3,,
6272052,627,Chattooga County,Summerville Middle School,2052,B,81.80000000000001,,
6273050,627,Chattooga County,Menlo Elementary School,3050,B,83,,
628101,628,Cherokee County,Carmel Elementary School,101,D,68.60000000000001,,
628104,628,Cherokee County,Woodstock Elementary School,104,B,81.5,,
628105,628,Cherokee County,"William G. Hasty, Sr. Elementary School",105,C,73.3,,
6281052,628,Cherokee County,Clayton Elementary School,1052,C,72.90000000000001,,
628106,628,Cherokee County,Creekview High School,106,B,87.80000000000001,94.199997,
628108,628,Cherokee County,Avery Elementary School,108,B,85.2,,
628113,628,Cherokee County,Mill Creek Middle School,113,C,79.80000000000001,,
628115,628,Cherokee County,River Ridge High School,115,B,83.7,90.800003,
628116,628,Cherokee County,Indian Knoll Elementary,116,C,75.60000000000001,,
628176,628,Cherokee County,Etowah High School,176,B,85.90000000000001,87.5,
628181,628,Cherokee County,E. T. Booth Middle School,181,C,75.2,,
628182,628,Cherokee County,Johnston Elementary School,182,C,76.40000000000001,,
628187,628,Cherokee County,Dean Rusk Middle School,187,B,81.60000000000001,,
628189,628,Cherokee County,Boston Elementary School,189,B,85.40000000000001,,
628190,628,Cherokee County,Mountain Road Elementary School,190,A,90.30000000000001,,
628191,628,Cherokee County,Sequoyah High School,191,B,85.5,90.800003,
628193,628,Cherokee County,Sixes Elementary School,193,C,79,,
628196,628,Cherokee County,Bascomb Elementary School,196,A,90.80000000000001,,
628197,628,Cherokee County,Woodstock High School,197,C,78.5,87.800003,
628198,628,Cherokee County,R. M. Moore Elementary School,198,C,73.8,,
628199,628,Cherokee County,Holly Springs Elementary School,199,B,83.5,,
628203,628,Cherokee County,Liberty Elementary School,203,B,82.2,,
628205,628,Cherokee County,Freedom Middle School,205,C,75.5,,
6282054,628,Cherokee County,Oak Grove Elementary School,2054,C,76.10000000000001,,
628213,628,Cherokee County,Ball Ground Elementary School,213,B,81.2,,
628287,628,Cherokee County,Teasley Middle School,287,C,71.60000000000001,,
628297,628,Cherokee County,Woodstock Middle School,297,C,71,,
628305,628,Cherokee County,Creekland Middle School,305,B,82.7,,
6283052,628,Cherokee County,Hickory Flat Elementary School,3052,B,82.40000000000001,,
628309,628,Cherokee County,Little River Elem.,309,C,73.40000000000001,,
628313,628,Cherokee County,Clark Creek Elementary School,313,C,78.30000000000001,,
628397,628,Cherokee County,Arnold Mill Elementary School,397,B,83.7,,
628505,628,Cherokee County,Free Home Elementary School,505,B,85.7,,
6285050,628,Cherokee County,Cherokee High School,5050,C,73.3,79.300003,
6285052,628,Cherokee County,Macedonia Elementary School,5052,C,76,,
628509,628,Cherokee County,J. Knox Elementary,509,D,65.90000000000001,,
629102,629,Clarke County,Cedar Shoals High School,102,D,63.3,80.300003,
629104,629,Clarke County,Classic City High School,104,F,49.6,41.5,
629105,629,Clarke County,Alps Road Elementary School,105,F,55.1,,
6291058,629,Clarke County,Clarke Middle School,1058,D,65.40000000000001,,
6291062,629,Clarke County,Whitehead Road Elementary School,1062,D,65.40000000000001,,
629112,629,Clarke County,Judia Jackson Harris Elementary,112,D,61.8,,
629178,629,Clarke County,Timothy Elementary School,178,C,73.40000000000001,,
629191,629,Clarke County,Cleveland Road Elementary School,191,F,56.2,,
629196,629,Clarke County,Coile Middle School,196,F,59.8,,
629205,629,Clarke County,Gaines Elementary School,205,F,52,,
6292056,629,Clarke County,Barnett Shoals Elementary School,2056,D,66.90000000000001,,
6292062,629,Clarke County,Winterville Elementary School,2062,D,67.7,,
629291,629,Clarke County,Howard B. Stroud Elementary School,291,F,53.5,,
629296,629,Clarke County,Burney-Harris-Lyons Middle School,296,D,65.10000000000001,,
6293056,629,Clarke County,Barrow Elementary School,3056,D,69.40000000000001,,
6293058,629,Clarke County,Fowler Drive Elementary School,3058,D,64.90000000000001,,
629391,629,Clarke County,Whit Davis Road Elementary School,391,D,60.1,,
6294060,629,Clarke County,Oglethorpe Avenue Elementary School,4060,B,80.5,,
6295056,629,Clarke County,Chase Street Elementary School,5056,B,85.40000000000001,,
6295058,629,Clarke County,Hilsman Middle School,5058,F,59.5,,
6295556,629,Clarke County,Clarke Central High School,5556,D,68.60000000000001,86.099998,
630104,630,Clay County,Clay County Middle School,104,D,64.90000000000001,,
630204,630,Clay County,Clay County Elementary,204,F,50.3,,
631100,631,Clayton County,M. D. Roberts Middle School,100,C,73.3,,
631103,631,Clayton County,Callaway Elementary School,103,C,71.2,,
631104,631,Clayton County,Mundy's Mill High School,104,D,65.2,81.5,
631105,631,Clayton County,Thurgood Marshall Elementary School,105,C,73.5,,
6311050,631,Clayton County,Anderson Elementary School,1050,D,63.8,,
6311052,631,Clayton County,East Clayton Elementary School,1052,F,59.5,,
6311054,631,Clayton County,Forest Park High School,1054,D,61.6,70.199997,
6311056,631,Clayton County,Jonesboro High School,1056,D,68.3,76.900002,
6311058,631,Clayton County,Lee Street Elementary School,1058,D,65.3,,
631106,631,Clayton County,Jonesboro Middle School,106,F,54.6,,
6311060,631,Clayton County,Northcutt Elementary School,1060,F,52.90000000000001,,
6311062,631,Clayton County,Tara Elementary School,1062,D,64.7,,
631107,631,Clayton County,Sequoyah Middle School,107,F,54.5,,
631109,631,Clayton County,Mount Zion Primary,109,F,46.6,,
631114,631,Clayton County,Elite Scholars Academy School,114,A,96,100,
631115,631,Clayton County,Charles R. Drew High School,115,F,59.90000000000001,70.300003,
631116,631,Clayton County,Eddie White Middle School,116,F,53.7,,
631117,631,Clayton County,Morrow Middle School,117,D,66.5,,
6311550,631,Clayton County,Arnold Elementary School,1550,B,83.7,,
631173,631,Clayton County,Kilpatrick Elementary School,173,D,61.2,,
631174,631,Clayton County,Mundys Mill Middle School,174,D,61.1,,
631175,631,Clayton County,Brown Elementary School,175,F,53.5,,
631176,631,Clayton County,Mount Zion Elementary School,176,F,59.1,,
631177,631,Clayton County,Adamson Middle School,177,F,58.5,,
631181,631,Clayton County,Pointe South Elementary School,181,D,65.60000000000001,,
631190,631,Clayton County,Lovejoy High School,190,D,65.2,83.199997,
631191,631,Clayton County,Lovejoy Middle School,191,F,54.6,,
631195,631,Clayton County,River's Edge Elementary School,195,C,72.60000000000001,,
631197,631,Clayton County,Kendrick Middle School,197,C,73.10000000000001,,
631199,631,Clayton County,Hawthorne Elementary School,199,C,75.8,,
631200,631,Clayton County,Roberta T. Smith Elementary School,200,B,81.80000000000001,,
631203,631,Clayton County,Harper Elementary School,203,D,65.40000000000001,,
631204,631,Clayton County,"Martin Luther King, Jr. Elementary School",204,D,64.2,,
631205,631,Clayton County,Kemp Primary,205,F,46.90000000000001,,
6312052,631,Clayton County,North Clayton High School,2052,F,58.3,71.400002,
6312054,631,Clayton County,Forest Park Middle School,2054,D,64.5,,
6312058,631,Clayton County,Morrow Elementary School,2058,C,73.5,,
6312060,631,Clayton County,Riverdale Elementary School,2060,D,65,,
6312062,631,Clayton County,West Clayton Elementary School,2062,F,54.6,,
631207,631,Clayton County,Rex Mill Middle School,207,D,64.10000000000001,,
631215,631,Clayton County,Martha Ellen Stilwell School for the Performing Arts,215,B,82.90000000000001,100,
6312554,631,Clayton County,Fountain Elementary School,2554,C,70.3,,
631276,631,Clayton County,Oliver Elementary School,276,D,66.8,,
631277,631,Clayton County,Pointe South Middle School,277,F,54.6,,
631290,631,Clayton County,Mount Zion High School,290,D,63.6,83.199997,
631295,631,Clayton County,Lake Ridge Elementary School,295,D,69.8,,
631304,631,Clayton County,James Jackson Elementary School,304,D,60.7,,
631305,631,Clayton County,Kemp Elem School,305,D,65.8,,
6313050,631,Clayton County,Babb Middle School,3050,D,68.40000000000001,,
6313052,631,Clayton County,North Clayton Middle School,3052,D,65,,
6313054,631,Clayton County,Haynie Elementary School,3054,C,74.90000000000001,,
6313060,631,Clayton County,Riverdale Middle School,3060,D,63.1,,
631307,631,Clayton County,Unidos Dual Language School,307,B,84.2,,
