LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,616,Bulloch County,203,Southeast Bulloch High School,All Students,Writing,1267239,83053,388,119,483,378,387,406
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Combined,1267239,83053,388,223,1483,1347,1330,1323
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Mathematics,1267239,83053,388,223,506,486,472,467
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Reading,1267239,83053,388,223,494,483,472,466
2010-11,616,Bulloch County,2054,Statesboro High School,All Students,Writing,1267239,83053,388,223,483,378,387,390
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Combined,1267239,83053,388,46,1483,1347,1330,1170
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Mathematics,1267239,83053,388,46,506,486,472,423
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Reading,1267239,83053,388,46,494,483,472,426
2010-11,616,Bulloch County,4052,Portal Middle/High School,All Students,Writing,1267239,83053,388,46,483,378,387,321
2010-11,617,Burke County,288,Burke County High School,All Students,Combined,1267239,83053,163,163,1483,1347,1216,1216
2010-11,617,Burke County,288,Burke County High School,All Students,Mathematics,1267239,83053,163,163,506,486,417,417
2010-11,617,Burke County,288,Burke County High School,All Students,Reading,1267239,83053,163,163,494,483,422,422
2010-11,617,Burke County,288,Burke County High School,All Students,Writing,1267239,83053,163,163,483,378,376,376
2010-11,618,Butts County,190,Jackson High School,All Students,Combined,1267239,83053,135,135,1483,1347,1251,1251
2010-11,618,Butts County,190,Jackson High School,All Students,Mathematics,1267239,83053,135,135,506,486,442,442
2010-11,618,Butts County,190,Jackson High School,All Students,Reading,1267239,83053,135,135,494,483,458,458
2010-11,618,Butts County,190,Jackson High School,All Students,Writing,1267239,83053,135,135,483,378,350,350
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Combined,1267239,83053,25,25,1483,1347,1137,1137
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Mathematics,1267239,83053,25,25,506,486,381,381
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Reading,1267239,83053,25,25,494,483,421,421
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Writing,1267239,83053,25,25,483,378,335,335
2010-11,620,Camden County,295,Camden County High School,All Students,Combined,1267239,83053,397,397,1483,1347,1392,1392
2010-11,620,Camden County,295,Camden County High School,All Students,Mathematics,1267239,83053,397,397,506,486,500,500
2010-11,620,Camden County,295,Camden County High School,All Students,Reading,1267239,83053,397,397,494,483,501,501
2010-11,620,Camden County,295,Camden County High School,All Students,Writing,1267239,83053,397,397,483,378,391,391
2010-11,621,Candler County,101,Metter High School,All Students,Combined,1267239,83053,87,87,1483,1347,1254,1254
