"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","633","Cobb County","All","All","08","5731","4686","2833","1045","1153.9"
2021,"District Level","634","Coffee County","All","All","03","478","478","167","TFS","597.2"
2021,"District Level","634","Coffee County","All","All","04","546","546","145","TFS","740.6"
2021,"District Level","634","Coffee County","All","All","05","483","483","238","TFS","908.9"
2021,"District Level","634","Coffee County","All","All","06","449","448","179","TFS","948.3"
2021,"District Level","634","Coffee County","All","All","07","398","398","189","TFS","1056.8"
2021,"District Level","634","Coffee County","All","All","08","399","399","198","TFS","1096.2"
2021,"District Level","635","Colquitt County","All","All","03","608","606","196","TFS","568.6"
2021,"District Level","635","Colquitt County","All","All","04","642","642","183","TFS","728.6"
2021,"District Level","635","Colquitt County","All","All","05","605","605","275","TFS","880"
2021,"District Level","635","Colquitt County","All","All","06","600","593","171","TFS","873.2"
2021,"District Level","635","Colquitt County","All","All","07","554","544","191","10","975.7"
2021,"District Level","635","Colquitt County","All","All","08","585","564","228","21","1064.4"
2021,"District Level","636","Columbia County","All","All","03","1865","1862","1094","TFS","714"
2021,"District Level","636","Columbia County","All","All","04","1910","1909","1095","TFS","873.1"
2021,"District Level","636","Columbia County","All","All","05","1929","1928","1380","TFS","1001.6"
2021,"District Level","636","Columbia County","All","All","06","1943","1939","1203","TFS","1045.3"
2021,"District Level","636","Columbia County","All","All","07","1873","1867","1328","TFS","1168"
2021,"District Level","636","Columbia County","All","All","08","2055","1859","1242","196","1190.3"
2021,"District Level","637","Cook County","All","All","03","197","197","64","TFS","587.5"
2021,"District Level","637","Cook County","All","All","04","230","230","59","TFS","724.4"
2021,"District Level","637","Cook County","All","All","05","212","211","85","TFS","882"
2021,"District Level","637","Cook County","All","All","06","228","227","55","TFS","874.3"
2021,"District Level","637","Cook County","All","All","07","226","226","100","TFS","1026.9"
2021,"District Level","637","Cook County","All","All","08","209","204","105","TFS","1117.4"
2021,"District Level","638","Coweta County","All","All","03","1339","1334","695","TFS","672.2"
2021,"District Level","638","Coweta County","All","All","04","1439","1417","625","22","811"
2021,"District Level","638","Coweta County","All","All","05","1399","1385","849","14","955.2"
2021,"District Level","638","Coweta County","All","All","06","1365","1355","679","10","978.9"
2021,"District Level","638","Coweta County","All","All","07","1336","1330","817","TFS","1117.3"
2021,"District Level","638","Coweta County","All","All","08","1138","1100","645","38","1149.2"
2021,"District Level","639","Crawford County","All","All","03","94","94","34","TFS","613"
2021,"District Level","639","Crawford County","All","All","04","113","113","30","TFS","715.9"
2021,"District Level","639","Crawford County","All","All","05","106","106","50","TFS","902.4"
2021,"District Level","639","Crawford County","All","All","06","108","108","43","TFS","917"
2021,"District Level","639","Crawford County","All","All","07","113","113","44","TFS","1001.5"
2021,"District Level","639","Crawford County","All","All","08","115","115","49","TFS","1076.3"
2021,"District Level","640","Crisp County","All","All","03","218","218","41","TFS","470.1"
2021,"District Level","640","Crisp County","All","All","04","250","250","44","TFS","647"
2021,"District Level","640","Crisp County","All","All","05","221","221","75","TFS","837.7"
2021,"District Level","640","Crisp County","All","All","06","204","204","63","TFS","868.5"
2021,"District Level","640","Crisp County","All","All","07","226","226","93","TFS","1005.4"
2021,"District Level","640","Crisp County","All","All","08","193","192","88","TFS","1100.3"
2021,"District Level","641","Dade County","All","All","03","125","125","66","TFS","694"
2021,"District Level","641","Dade County","All","All","04","129","129","53","TFS","790"
2021,"District Level","641","Dade County","All","All","05","120","120","67","TFS","949.9"
2021,"District Level","641","Dade County","All","All","06","120","120","63","TFS","997.1"
2021,"District Level","641","Dade County","All","All","07","130","130","69","TFS","1072"
2021,"District Level","641","Dade County","All","All","08","110","110","62","TFS","1106.5"
2021,"District Level","642","Dawson County","All","All","03","250","249","127","TFS","665.3"
2021,"District Level","642","Dawson County","All","All","04","250","250","112","TFS","803.6"
2021,"District Level","642","Dawson County","All","All","05","250","250","171","TFS","975.1"
2021,"District Level","642","Dawson County","All","All","06","286","286","155","TFS","1018.8"
2021,"District Level","642","Dawson County","All","All","07","288","288","195","TFS","1153.2"
2021,"District Level","642","Dawson County","All","All","08","274","272","155","TFS","1146.3"
2021,"District Level","643","Decatur County","All","All","03","281","281","120","TFS","627.6"
2021,"District Level","643","Decatur County","All","All","04","292","292","90","TFS","746.5"
2021,"District Level","643","Decatur County","All","All","05","303","303","141","TFS","890.2"
2021,"District Level","643","Decatur County","All","All","06","286","286","98","TFS","909.2"
2021,"District Level","643","Decatur County","All","All","07","340","340","162","TFS","1048.9"
2021,"District Level","643","Decatur County","All","All","08","321","321","160","TFS","1112.3"
2021,"District Level","644","DeKalb County","All","All","03","3954","3884","1234","88","551.6"
2021,"District Level","644","DeKalb County","All","All","04","3837","3772","1135","72","715.5"
2021,"District Level","644","DeKalb County","All","All","05","3675","3593","1521","82","865.2"
2021,"District Level","644","DeKalb County","All","All","06","2985","2849","1002","136","884"
2021,"District Level","644","DeKalb County","All","All","07","2639","2526","1045","114","1005.8"
2021,"District Level","644","DeKalb County","All","All","08","2521","2303","1013","218","1067.3"
2021,"District Level","645","Dodge County","All","All","03","171","171","49","TFS","553.1"
2021,"District Level","645","Dodge County","All","All","04","190","190","49","TFS","740.6"
2021,"District Level","645","Dodge County","All","All","05","195","195","105","TFS","919.1"
2021,"District Level","645","Dodge County","All","All","06","202","196","64","TFS","889.7"
2021,"District Level","645","Dodge County","All","All","07","232","229","85","TFS","1002"
2021,"District Level","645","Dodge County","All","All","08","202","198","100","TFS","1098"
2021,"District Level","646","Dooly County","All","All","03","64","62","TFS","TFS","431.9"
2021,"District Level","646","Dooly County","All","All","04","63","56","TFS","TFS","643.2"
2021,"District Level","646","Dooly County","All","All","05","53","52","TFS","TFS","780.5"
2021,"District Level","646","Dooly County","All","All","06","74","72","TFS","TFS","753.3"
2021,"District Level","646","Dooly County","All","All","07","77","77","24","TFS","966.9"
2021,"District Level","646","Dooly County","All","All","08","43","42","11","TFS","992.1"
2021,"District Level","647","Dougherty County","All","All","03","579","577","128","TFS","496.8"
2021,"District Level","647","Dougherty County","All","All","04","580","575","101","TFS","657.1"
2021,"District Level","647","Dougherty County","All","All","05","575","572","176","TFS","813.6"
2021,"District Level","647","Dougherty County","All","All","06","286","278","77","TFS","853.2"
2021,"District Level","647","Dougherty County","All","All","07","206","197","53","TFS","933.3"
2021,"District Level","647","Dougherty County","All","All","08","152","144","41","TFS","964.8"
2021,"District Level","648","Douglas County","All","All","03","1332","1331","476","TFS","591.2"
2021,"District Level","648","Douglas County","All","All","04","1321","1317","436","TFS","748.7"
2021,"District Level","648","Douglas County","All","All","05","1328","1327","688","TFS","913.7"
2021,"District Level","648","Douglas County","All","All","06","1180","1157","464","23","938.9"
2021,"District Level","648","Douglas County","All","All","07","1050","1030","529","20","1069.2"
2021,"District Level","648","Douglas County","All","All","08","995","977","525","18","1117.9"
2021,"District Level","649","Early County","All","All","03","104","104","23","TFS","519.9"
2021,"District Level","649","Early County","All","All","04","114","114","25","TFS","689.8"
2021,"District Level","649","Early County","All","All","05","135","134","57","TFS","869.5"
2021,"District Level","649","Early County","All","All","06","132","132","29","TFS","847.1"
2021,"District Level","649","Early County","All","All","07","147","147","62","TFS","1008.6"
2021,"District Level","649","Early County","All","All","08","134","133","51","TFS","1068.5"
2021,"District Level","650","Echols County","All","All","03","58","58","18","TFS","569.1"
2021,"District Level","650","Echols County","All","All","04","64","64","26","TFS","789.9"
2021,"District Level","650","Echols County","All","All","05","49","49","33","TFS","956.7"
2021,"District Level","650","Echols County","All","All","06","55","55","21","TFS","974.7"
2021,"District Level","650","Echols County","All","All","07","54","54","32","TFS","1093.4"
2021,"District Level","650","Echols County","All","All","08","62","62","44","TFS","1195.8"
2021,"District Level","651","Effingham County","All","All","03","888","886","461","TFS","680"
2021,"District Level","651","Effingham County","All","All","04","796","795","367","TFS","824.8"
2021,"District Level","651","Effingham County","All","All","05","859","859","570","TFS","974.1"
2021,"District Level","651","Effingham County","All","All","06","879","879","491","TFS","1015.3"
2021,"District Level","651","Effingham County","All","All","07","891","891","578","TFS","1128.2"
2021,"District Level","651","Effingham County","All","All","08","907","877","645","30","1240.9"
2021,"District Level","652","Elbert County","All","All","03","207","207","75","TFS","591.5"
2021,"District Level","652","Elbert County","All","All","04","194","194","51","TFS","710.7"
2021,"District Level","652","Elbert County","All","All","05","199","199","60","TFS","842"
2021,"District Level","652","Elbert County","All","All","06","252","252","77","TFS","874.8"
2021,"District Level","652","Elbert County","All","All","07","253","253","112","TFS","1014.2"
2021,"District Level","652","Elbert County","All","All","08","218","218","98","TFS","1071.6"
2021,"District Level","653","Emanuel County","All","All","03","244","244","108","TFS","616.3"
2021,"District Level","653","Emanuel County","All","All","04","272","272","74","TFS","738"
2021,"District Level","653","Emanuel County","All","All","05","280","280","123","TFS","882.7"
2021,"District Level","653","Emanuel County","All","All","06","273","273","101","TFS","916.6"
2021,"District Level","653","Emanuel County","All","All","07","298","298","113","TFS","1007.4"
2021,"District Level","653","Emanuel County","All","All","08","280","279","145","TFS","1115.8"
2021,"District Level","654","Evans County","All","All","03","130","130","40","TFS","547.4"
2021,"District Level","654","Evans County","All","All","04","112","101","TFS","11","618.4"
2021,"District Level","654","Evans County","All","All","05","111","111","40","TFS","840.3"
