"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","625","Savannah-Chatham County","0108","Early College Program","All Students","Combined",1305158,50161,911,31,1484,1395,1338,1364
"2015-16","625","Savannah-Chatham County","0108","Early College Program","All Students","Mathematics",1305158,50161,911,31,508,485,456,458
"2015-16","625","Savannah-Chatham County","0108","Early College Program","All Students","Reading",1305158,50161,911,31,494,487,467,455
"2015-16","625","Savannah-Chatham County","0108","Early College Program","All Students","Writing",1305158,50161,911,31,482,423,414,452
"2015-16","625","Savannah-Chatham County","0115","Woodville-Tompkins Technical and Career High School","All Students","Combined",1305158,50161,911,52,1484,1395,1338,1225
"2015-16","625","Savannah-Chatham County","0115","Woodville-Tompkins Technical and Career High School","All Students","Mathematics",1305158,50161,911,52,508,485,456,418
"2015-16","625","Savannah-Chatham County","0115","Woodville-Tompkins Technical and Career High School","All Students","Reading",1305158,50161,911,52,494,487,467,427
"2015-16","625","Savannah-Chatham County","0115","Woodville-Tompkins Technical and Career High School","All Students","Writing",1305158,50161,911,52,482,423,414,380
"2015-16","625","Savannah-Chatham County","0117","New Hampstead High School","All Students","Combined",1305158,50161,911,120,1484,1395,1338,1284
"2015-16","625","Savannah-Chatham County","0117","New Hampstead High School","All Students","Mathematics",1305158,50161,911,120,508,485,456,429
"2015-16","625","Savannah-Chatham County","0117","New Hampstead High School","All Students","Reading",1305158,50161,911,120,494,487,467,454
"2015-16","625","Savannah-Chatham County","0117","New Hampstead High School","All Students","Writing",1305158,50161,911,120,482,423,414,401
"2015-16","625","Savannah-Chatham County","0210","The School of Liberal Studies at Savannah High","All Students","Combined",1305158,50161,911,51,1484,1395,1338,1056
"2015-16","625","Savannah-Chatham County","0210","The School of Liberal Studies at Savannah High","All Students","Mathematics",1305158,50161,911,51,508,485,456,349
"2015-16","625","Savannah-Chatham County","0210","The School of Liberal Studies at Savannah High","All Students","Reading",1305158,50161,911,51,494,487,467,359
"2015-16","625","Savannah-Chatham County","0210","The School of Liberal Studies at Savannah High","All Students","Writing",1305158,50161,911,51,482,423,414,348
"2015-16","625","Savannah-Chatham County","0411","Islands High School","All Students","Combined",1305158,50161,911,138,1484,1395,1338,1382
"2015-16","625","Savannah-Chatham County","0411","Islands High School","All Students","Mathematics",1305158,50161,911,138,508,485,456,477
"2015-16","625","Savannah-Chatham County","0411","Islands High School","All Students","Reading",1305158,50161,911,138,494,487,467,495
"2015-16","625","Savannah-Chatham County","0411","Islands High School","All Students","Writing",1305158,50161,911,138,482,423,414,410
"2015-16","625","Savannah-Chatham County","0499","Savannah Arts Academy","All Students","Combined",1305158,50161,911,189,1484,1395,1338,1586
"2015-16","625","Savannah-Chatham County","0499","Savannah Arts Academy","All Students","Mathematics",1305158,50161,911,189,508,485,456,545
"2015-16","625","Savannah-Chatham County","0499","Savannah Arts Academy","All Students","Reading",1305158,50161,911,189,494,487,467,567
"2015-16","625","Savannah-Chatham County","0499","Savannah Arts Academy","All Students","Writing",1305158,50161,911,189,482,423,414,474
"2015-16","625","Savannah-Chatham County","2052","Beach High School","All Students","Combined",1305158,50161,911,17,1484,1395,1338,1173
"2015-16","625","Savannah-Chatham County","2052","Beach High School","All Students","Mathematics",1305158,50161,911,17,508,485,456,402
"2015-16","625","Savannah-Chatham County","2052","Beach High School","All Students","Reading",1305158,50161,911,17,494,487,467,403
"2015-16","625","Savannah-Chatham County","2052","Beach High School","All Students","Writing",1305158,50161,911,17,482,423,414,367
"2015-16","625","Savannah-Chatham County","3056","Groves High School","All Students","Combined",1305158,50161,911,39,1484,1395,1338,1218
"2015-16","625","Savannah-Chatham County","3056","Groves High School","All Students","Mathematics",1305158,50161,911,39,508,485,456,424
"2015-16","625","Savannah-Chatham County","3056","Groves High School","All Students","Reading",1305158,50161,911,39,494,487,467,411
"2015-16","625","Savannah-Chatham County","3056","Groves High School","All Students","Writing",1305158,50161,911,39,482,423,414,383
"2015-16","625","Savannah-Chatham County","5060","Jenkins High School","All Students","Combined",1305158,50161,911,92,1484,1395,1338,1298
"2015-16","625","Savannah-Chatham County","5060","Jenkins High School","All Students","Mathematics",1305158,50161,911,92,508,485,456,455
"2015-16","625","Savannah-Chatham County","5060","Jenkins High School","All Students","Reading",1305158,50161,911,92,494,487,467,440
"2015-16","625","Savannah-Chatham County","5060","Jenkins High School","All Students","Writing",1305158,50161,911,92,482,423,414,403
"2015-16","625","Savannah-Chatham County","5070","Windsor Forest High School","All Students","Combined",1305158,50161,911,117,1484,1395,1338,1274
"2015-16","625","Savannah-Chatham County","5070","Windsor Forest High School","All Students","Mathematics",1305158,50161,911,117,508,485,456,431
"2015-16","625","Savannah-Chatham County","5070","Windsor Forest High School","All Students","Reading",1305158,50161,911,117,494,487,467,438
"2015-16","625","Savannah-Chatham County","5070","Windsor Forest High School","All Students","Writing",1305158,50161,911,117,482,423,414,405
"2015-16","626","Chattahoochee County","0206","Chattahoochee County High School","All Students","Combined",1305158,50161,36,36,1484,1395,1233,1233
"2015-16","626","Chattahoochee County","0206","Chattahoochee County High School","All Students","Mathematics",1305158,50161,36,36,508,485,400,400
"2015-16","626","Chattahoochee County","0206","Chattahoochee County High School","All Students","Reading",1305158,50161,36,36,494,487,435,435
"2015-16","626","Chattahoochee County","0206","Chattahoochee County High School","All Students","Writing",1305158,50161,36,36,482,423,399,399
"2015-16","627","Chattooga County","1050","Chattooga High School","All Students","Combined",1305158,50161,20,20,1484,1395,1363,1363
"2015-16","627","Chattooga County","1050","Chattooga High School","All Students","Mathematics",1305158,50161,20,20,508,485,449,449
