SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,direct_cert_perc
2014,633,Cobb County,0104,Bullard Elementary School,11
2014,633,Cobb County,0107,McCall Primary School,28
2014,633,Cobb County,0109,Pickett's Mill Elementary,11
2014,633,Cobb County,0110,International Academy of Smyrna,21
2014,633,Cobb County,0114,East Side Elementary School,3
2014,633,Cobb County,0117,Clarkdale Elementary School,42
2014,633,Cobb County,0118,Mableton Elementary School,44
2014,633,Cobb County,0173,Birney Elementary School,49
2014,633,Cobb County,0175,Walton High School,2
2014,633,Cobb County,0178,Mabry Middle School,5
2014,633,Cobb County,0180,Still Elementary School,12
2014,633,Cobb County,0181,Tritt Elementary School,1
2014,633,Cobb County,0184,McCleskey Middle School,17
2014,633,Cobb County,0185,Garrison Mill Elementary School,4
2014,633,Cobb County,0187,Keheley Elementary School,10
2014,633,Cobb County,0188,Pope High School,3
2014,633,Cobb County,0189,Baker Elementary School,19
2014,633,Cobb County,0190,Dowell Elementary School,33
2014,633,Cobb County,0191,Varner Elementary School,24
2014,633,Cobb County,0192,Harrison High School,4
2014,633,Cobb County,0194,Hayes Elementary School,30
2014,633,Cobb County,0197,Vaughan Elementary School,5
2014,633,Cobb County,0198,Chalker Elementary School,17
2014,633,Cobb County,0199,Nickajack Elementary School,25
2014,633,Cobb County,0202,Lindley Middle School,46
2014,633,Cobb County,0203,Kemp Elementary School,10
2014,633,Cobb County,0204,Pitner Elementary School,22
2014,633,Cobb County,0207,Austell Elementary School,49
2014,633,Cobb County,0209,Allatoona High School,8
2014,633,Cobb County,0214,Smyrna Elementary School,46
2014,633,Cobb County,0273,Kincaid Elementary School,12
2014,633,Cobb County,0275,Dodgen Middle School,2
2014,633,Cobb County,0278,Mount Bethel Elementary School,1
2014,633,Cobb County,0280,Pine Mountain Middle School,24
2014,633,Cobb County,0281,Dickerson Middle School,2
2014,633,Cobb County,0287,Lewis Elementary School,18
2014,633,Cobb County,0288,Mountain View Elementary School,6
2014,633,Cobb County,0289,Addison Elementary School,13
2014,633,Cobb County,0290,Campbell Middle School,40
2014,633,Cobb County,0291,Shallowford Falls Elementary School,4
2014,633,Cobb County,0292,Ford Elementary School,3
2014,633,Cobb County,0294,Smitha Middle School,40
2014,633,Cobb County,0297,Frey Elementary School,8
2014,633,Cobb County,0298,Cheatham Hill Elementary School,20
2014,633,Cobb County,0299,Durham Middle School,6
2014,633,Cobb County,0302,Acworth Intermediate School,32
2014,633,Cobb County,0304,Kennesaw Charter School,13
2014,633,Cobb County,0307,Riverside Primary School,63
2014,633,Cobb County,0309,Lindley 6th Grade Academy,48
2014,633,Cobb County,0373,Sprayberry High School,16
2014,633,Cobb County,0375,Murdock Elementary School,4
2014,633,Cobb County,0378,Rocky Mount Elementary School,6
2014,633,Cobb County,0381,Lassiter High School,4
2014,633,Cobb County,0388,Davis Elementary School,6
2014,633,Cobb County,0389,Simpson Middle School,6
2014,633,Cobb County,0391,Nicholson Elementary School,22
2014,633,Cobb County,0394,Hightower Trail Middle School,3
2014,633,Cobb County,0397,Green Acres Elementary School,59
2014,633,Cobb County,0398,Sanders Elementary School,51
2014,633,Cobb County,0399,Blackwell Elementary School,20
2014,633,Cobb County,0402,Hendricks Elementary School,42
2014,633,Cobb County,0404,Kennesaw Elementary School,23
2014,633,Cobb County,0407,Barber Middle School,23
2014,633,Cobb County,0475,Tapp Middle School,29
2014,633,Cobb County,0478,Sope Creek Elementary School,2
2014,633,Cobb County,0489,Powder Springs Elementary School,40
2014,633,Cobb County,0491,Timber Ridge Elementary School,2
2014,633,Cobb County,0499,Lost Mountain Middle School,5
2014,633,Cobb County,0502,Cooper Middle School,35
2014,633,Cobb County,0504,Big Shanty Elementary School,19
2014,633,Cobb County,0507,McClure Middle School,10
2014,633,Cobb County,0592,Bryant Elementary School,52
2014,633,Cobb County,0602,Palmer Middle School,18
2014,633,Cobb County,0607,Lovinggood Middle School,10
2014,633,Cobb County,0707,Hillgrove High School,7
2014,633,Cobb County,0807,Devereux Ackerman Academy,75
2014,633,Cobb County,1052,Belmont Hills Elementary School,54
2014,633,Cobb County,1054,Campbell High School,26
2014,633,Cobb County,1056,East Cobb Middle School,32
2014,633,Cobb County,1060,Garrett Middle School,46
2014,633,Cobb County,1064,McEachern High School,26
2014,633,Cobb County,1066,Norton Park Elementary School,53
2014,633,Cobb County,1067,Powers Ferry Elementary School,48
2014,633,Cobb County,1069,Wheeler High School,18
2014,633,Cobb County,2050,Argyle Elementary School,51
2014,633,Cobb County,2056,North Cobb High School,14
2014,633,Cobb County,2062,King Springs Elementary School,18
2014,633,Cobb County,2066,Osborne High School,34
2014,633,Cobb County,2560,Griffin Middle School,39
2014,633,Cobb County,3054,Clay Elementary School,47
2014,633,Cobb County,3056,South Cobb High School,33
2014,633,Cobb County,3058,Fair Oaks Elementary School,59
2014,633,Cobb County,3060,Harmony-Leland Elementary School,38
2014,633,Cobb County,3062,LaBelle Elementary School,53
2014,633,Cobb County,3064,Milford Elementary School,47
2014,633,Cobb County,3067,Russell Elementary School,38
2014,633,Cobb County,3556,Compton Elementary School,50
2014,633,Cobb County,4050,Awtrey Middle School,14
2014,633,Cobb County,4056,Daniell Middle School,19
2014,633,Cobb County,4066,Pebblebrook High School,33
2014,633,Cobb County,4068,Teasley Elementary School,14
2014,633,Cobb County,4560,Hollydale Elementary School,42
2014,633,Cobb County,5050,Bells Ferry Elementary School,18
2014,633,Cobb County,5052,Brumby Elementary School,44
2014,633,Cobb County,5056,Due West Elementary School,6
2014,633,Cobb County,5058,Floyd Middle School,38
