LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,WritLang Test  Score - New,,28265,31,31,275,246,246
2015-16,610,Berrien County,101,Berrien High School,All Students,Combined Test Score,,28212.33333,TFS,TFS,1084,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Essay Analysis Score - New,,16239,TFS,TFS,4,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Essay Reading Score - New,,16319,TFS,TFS,5,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Essay Total,,16311,TFS,TFS,14,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Essay Writing Score - New,,16374,TFS,TFS,5,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Evidence Based Reading and Writing - New,,28110,TFS,TFS,551,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Math Section Score - New,,28138,TFS,TFS,532,,
2015-16,610,Berrien County,101,Berrien High School,All Students,Reading Test  Score - New,,28234,TFS,TFS,277,,
2015-16,610,Berrien County,101,Berrien High School,All Students,WritLang Test  Score - New,,28265,TFS,TFS,275,,
2015-16,611,Bibb County,105,Howard High School,All Students,Combined Test Score,,28212.33333,322.6666667,89.33333333,1084,989,1049
2015-16,611,Bibb County,105,Howard High School,All Students,Essay Analysis Score - New,,16239,158,54,4,4,4
2015-16,611,Bibb County,105,Howard High School,All Students,Essay Reading Score - New,,16319,160,54,5,5,5
2015-16,611,Bibb County,105,Howard High School,All Students,Essay Total,,16311,160,54,14,13,13
2015-16,611,Bibb County,105,Howard High School,All Students,Essay Writing Score - New,,16374,161,55,5,5,5
2015-16,611,Bibb County,105,Howard High School,All Students,Evidence Based Reading and Writing - New,,28110,324,90,551,504,526
2015-16,611,Bibb County,105,Howard High School,All Students,Math Section Score - New,,28138,324,90,532,486,523
2015-16,611,Bibb County,105,Howard High School,All Students,Reading Test  Score - New,,28234,321,89,277,251,264
2015-16,611,Bibb County,105,Howard High School,All Students,WritLang Test  Score - New,,28265,323,89,275,252,262
2015-16,611,Bibb County,186,Central High School,All Students,Combined Test Score,,28212.33333,322.6666667,84.66666667,1084,989,982
2015-16,611,Bibb County,186,Central High School,All Students,Essay Analysis Score - New,,16239,158,49,4,4,4
2015-16,611,Bibb County,186,Central High School,All Students,Essay Reading Score - New,,16319,160,50,5,5,5
2015-16,611,Bibb County,186,Central High School,All Students,Essay Total,,16311,160,50,14,13,13
2015-16,611,Bibb County,186,Central High School,All Students,Essay Writing Score - New,,16374,161,50,5,5,5
2015-16,611,Bibb County,186,Central High School,All Students,Evidence Based Reading and Writing - New,,28110,324,86,551,504,507
2015-16,611,Bibb County,186,Central High School,All Students,Math Section Score - New,,28138,324,84,532,486,475
2015-16,611,Bibb County,186,Central High School,All Students,Reading Test  Score - New,,28234,321,84,277,251,253
2015-16,611,Bibb County,186,Central High School,All Students,WritLang Test  Score - New,,28265,323,86,275,252,253
2015-16,611,Bibb County,198,Westside High School,All Students,Combined Test Score,,28212.33333,322.6666667,30,1084,989,975
2015-16,611,Bibb County,198,Westside High School,All Students,Essay Analysis Score - New,,16239,158,14,4,4,3
2015-16,611,Bibb County,198,Westside High School,All Students,Essay Reading Score - New,,16319,160,14,5,5,4
2015-16,611,Bibb County,198,Westside High School,All Students,Essay Total,,16311,160,14,14,13,12
2015-16,611,Bibb County,198,Westside High School,All Students,Essay Writing Score - New,,16374,161,14,5,5,5
2015-16,611,Bibb County,198,Westside High School,All Students,Evidence Based Reading and Writing - New,,28110,324,30,551,504,499
2015-16,611,Bibb County,198,Westside High School,All Students,Math Section Score - New,,28138,324,30,532,486,476
2015-16,611,Bibb County,198,Westside High School,All Students,Reading Test  Score - New,,28234,321,30,277,251,250
2015-16,611,Bibb County,198,Westside High School,All Students,WritLang Test  Score - New,,28265,323,30,275,252,249
2015-16,611,Bibb County,204,Rutland High School,All Students,Combined Test Score,,28212.33333,322.6666667,62.66666667,1084,989,1012
2015-16,611,Bibb County,204,Rutland High School,All Students,Essay Analysis Score - New,,16239,158,29,4,4,4
2015-16,611,Bibb County,204,Rutland High School,All Students,Essay Reading Score - New,,16319,160,30,5,5,5
2015-16,611,Bibb County,204,Rutland High School,All Students,Essay Total,,16311,160,30,14,13,13
2015-16,611,Bibb County,204,Rutland High School,All Students,Essay Writing Score - New,,16374,161,30,5,5,5
2015-16,611,Bibb County,204,Rutland High School,All Students,Evidence Based Reading and Writing - New,,28110,324,62,551,504,518
2015-16,611,Bibb County,204,Rutland High School,All Students,Math Section Score - New,,28138,324,64,532,486,494
2015-16,611,Bibb County,204,Rutland High School,All Students,Reading Test  Score - New,,28234,321,62,277,251,256
2015-16,611,Bibb County,204,Rutland High School,All Students,WritLang Test  Score - New,,28265,323,62,275,252,262
2015-16,611,Bibb County,286,Northeast High School,All Students,Combined Test Score,,28212.33333,322.6666667,24,1084,989,855
2015-16,611,Bibb County,286,Northeast High School,All Students,Essay Analysis Score - New,,16239,158,TFS,4,4,
2015-16,611,Bibb County,286,Northeast High School,All Students,Essay Reading Score - New,,16319,160,TFS,5,5,
2015-16,611,Bibb County,286,Northeast High School,All Students,Essay Total,,16311,160,TFS,14,13,
2015-16,611,Bibb County,286,Northeast High School,All Students,Essay Writing Score - New,,16374,161,TFS,5,5,
2015-16,611,Bibb County,286,Northeast High School,All Students,Evidence Based Reading and Writing - New,,28110,324,24,551,504,428
2015-16,611,Bibb County,286,Northeast High School,All Students,Math Section Score - New,,28138,324,24,532,486,426
2015-16,611,Bibb County,286,Northeast High School,All Students,Reading Test  Score - New,,28234,321,24,277,251,215
2015-16,611,Bibb County,286,Northeast High School,All Students,WritLang Test  Score - New,,28265,323,24,275,252,214
2015-16,611,Bibb County,386,Southwest High School,All Students,Combined Test Score,,28212.33333,322.6666667,32,1084,989,912
2015-16,611,Bibb County,386,Southwest High School,All Students,Essay Analysis Score - New,,16239,158,TFS,4,4,
2015-16,611,Bibb County,386,Southwest High School,All Students,Essay Reading Score - New,,16319,160,TFS,5,5,
2015-16,611,Bibb County,386,Southwest High School,All Students,Essay Total,,16311,160,TFS,14,13,
2015-16,611,Bibb County,386,Southwest High School,All Students,Essay Writing Score - New,,16374,161,TFS,5,5,
2015-16,611,Bibb County,386,Southwest High School,All Students,Evidence Based Reading and Writing - New,,28110,324,32,551,504,465
2015-16,611,Bibb County,386,Southwest High School,All Students,Math Section Score - New,,28138,324,32,532,486,447
2015-16,611,Bibb County,386,Southwest High School,All Students,Reading Test  Score - New,,28234,321,32,277,251,230
2015-16,611,Bibb County,386,Southwest High School,All Students,WritLang Test  Score - New,,28265,323,32,275,252,236
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Combined Test Score,,28212.33333,10,10,1084,1004,1004
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Essay Analysis Score - New,,16239,TFS,TFS,4,,
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Essay Reading Score - New,,16319,TFS,TFS,5,,
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Essay Total,,16311,TFS,TFS,14,,
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Essay Writing Score - New,,16374,TFS,TFS,5,,
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Evidence Based Reading and Writing - New,,28110,10,10,551,493,493
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Math Section Score - New,,28138,10,10,532,511,511
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,Reading Test  Score - New,,28234,10,10,277,242,242
2015-16,612,Bleckley County,105,Bleckley County High School,All Students,WritLang Test  Score - New,,28265,10,10,275,251,251
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Combined Test Score,,28212.33333,33,33,1084,1056,1056
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Essay Analysis Score - New,,16239,29,29,4,4,4
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Essay Reading Score - New,,16319,29,29,5,5,5
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Essay Total,,16311,29,29,14,14,14
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Essay Writing Score - New,,16374,29,29,5,5,5
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Evidence Based Reading and Writing - New,,28110,34,34,551,553,553
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Math Section Score - New,,28138,33,33,532,503,503
2015-16,613,Brantley County,1050,Brantley County High School,All Students,Reading Test  Score - New,,28234,33,33,277,275,275
2015-16,613,Brantley County,1050,Brantley County High School,All Students,WritLang Test  Score - New,,28265,33,33,275,277,277
2015-16,614,Brooks County,110,Brooks County High School,All Students,Combined Test Score,,28212.33333,12,12,1084,1004,1004
2015-16,614,Brooks County,110,Brooks County High School,All Students,Essay Analysis Score - New,,16239,TFS,TFS,4,,
2015-16,614,Brooks County,110,Brooks County High School,All Students,Essay Reading Score - New,,16319,TFS,TFS,5,,
2015-16,614,Brooks County,110,Brooks County High School,All Students,Essay Total,,16311,TFS,TFS,14,,
2015-16,614,Brooks County,110,Brooks County High School,All Students,Essay Writing Score - New,,16374,TFS,TFS,5,,
2015-16,614,Brooks County,110,Brooks County High School,All Students,Evidence Based Reading and Writing - New,,28110,12,12,551,508,508
2015-16,614,Brooks County,110,Brooks County High School,All Students,Math Section Score - New,,28138,12,12,532,497,497
2015-16,614,Brooks County,110,Brooks County High School,All Students,Reading Test  Score - New,,28234,12,12,277,258,258
2015-16,614,Brooks County,110,Brooks County High School,All Students,WritLang Test  Score - New,,28265,12,12,275,249,249
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Combined Test Score,,28212.33333,191.3333333,151.3333333,1084,1074,1111
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Essay Analysis Score - New,,16239,117,96,4,4,4
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Essay Reading Score - New,,16319,117,96,5,5,5
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Essay Total,,16311,117,96,14,14,14
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Essay Writing Score - New,,16374,117,96,5,5,5
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Evidence Based Reading and Writing - New,,28110,190,150,551,552,570
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Math Section Score - New,,28138,192,152,532,521,540
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,Reading Test  Score - New,,28234,190,150,277,280,289
2015-16,615,Bryan County,182,Richmond Hill High School,All Students,WritLang Test  Score - New,,28265,192,152,275,273,281
2015-16,615,Bryan County,502,Bryan County High School,All Students,Combined Test Score,,28212.33333,191.3333333,40,1084,1074,934
2015-16,615,Bryan County,502,Bryan County High School,All Students,Essay Analysis Score - New,,16239,117,21,4,4,3
2015-16,615,Bryan County,502,Bryan County High School,All Students,Essay Reading Score - New,,16319,117,21,5,5,4
2015-16,615,Bryan County,502,Bryan County High School,All Students,Essay Total,,16311,117,21,14,14,11
2015-16,615,Bryan County,502,Bryan County High School,All Students,Essay Writing Score - New,,16374,117,21,5,5,4
2015-16,615,Bryan County,502,Bryan County High School,All Students,Evidence Based Reading and Writing - New,,28110,190,40,551,552,487
2015-16,615,Bryan County,502,Bryan County High School,All Students,Math Section Score - New,,28138,192,40,532,521,448
2015-16,615,Bryan County,502,Bryan County High School,All Students,Reading Test  Score - New,,28234,190,40,277,280,243
2015-16,615,Bryan County,502,Bryan County High School,All Students,WritLang Test  Score - New,,28265,192,40,275,273,244
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Combined Test Score,,28212.33333,87,35,1084,1096,1117
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Essay Analysis Score - New,,16239,52,22,4,4,4
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Essay Reading Score - New,,16319,52,22,5,5,5
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Essay Total,,16311,52,22,14,13,13
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Essay Writing Score - New,,16374,52,22,5,5,5
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Evidence Based Reading and Writing - New,,28110,87,35,551,557,567
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Math Section Score - New,,28138,87,35,532,538,549
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,Reading Test  Score - New,,28234,87,35,277,278,285
2015-16,616,Bulloch County,203,Southeast Bulloch High School,All Students,WritLang Test  Score - New,,28265,87,35,275,279,283
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Combined Test Score,,28212.33333,87,40,1084,1096,1092
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Essay Analysis Score - New,,16239,52,24,4,4,4
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Essay Reading Score - New,,16319,52,24,5,5,5
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Essay Total,,16311,52,24,14,13,14
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Essay Writing Score - New,,16374,52,24,5,5,5
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Evidence Based Reading and Writing - New,,28110,87,40,551,557,553
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Math Section Score - New,,28138,87,40,532,538,538
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,Reading Test  Score - New,,28234,87,40,277,278,276
2015-16,616,Bulloch County,2054,Statesboro High School,All Students,WritLang Test  Score - New,,28265,87,40,275,279,279
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Combined Test Score,,28212.33333,87,12,1084,1096,1043
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Essay Analysis Score - New,,16239,52,TFS,4,4,
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Essay Reading Score - New,,16319,52,TFS,5,5,
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Essay Total,,16311,52,TFS,14,13,
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Essay Writing Score - New,,16374,52,TFS,5,5,
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Evidence Based Reading and Writing - New,,28110,87,12,551,557,538
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Math Section Score - New,,28138,87,12,532,538,505
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,Reading Test  Score - New,,28234,87,12,277,278,267
2015-16,616,Bulloch County,4052,Portal Middle/High School,All Students,WritLang Test  Score - New,,28265,87,12,275,279,272
2015-16,617,Burke County,288,Burke County High School,All Students,Combined Test Score,,28212.33333,32.66666667,32.66666667,1084,966,966
2015-16,617,Burke County,288,Burke County High School,All Students,Essay Analysis Score - New,,16239,16,16,4,4,4
2015-16,617,Burke County,288,Burke County High School,All Students,Essay Reading Score - New,,16319,16,16,5,6,6
