"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBJECT_CODE","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","751","Wayne County","All","All","American Literature and Composition","333","333","165","TFS","1257.5"
2021,"District Level","752","Webster County","All","All","American Literature and Composition","15","15","TFS","TFS","1296.3"
2021,"District Level","753","Wheeler County","All","All","American Literature and Composition","64","64","10","TFS","1085.2"
2021,"District Level","754","White County","All","All","American Literature and Composition","248","248","113","TFS","1238.5"
2021,"District Level","755","Whitfield County","All","All","American Literature and Composition","961","961","382","TFS","1208.2"
2021,"District Level","756","Wilcox County","All","All","American Literature and Composition","60","60","17","TFS","1148.4"
2021,"District Level","757","Wilkes County","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","757","Wilkes County","All","All","American Literature and Composition","82","82","32","TFS","1217.1"
2021,"District Level","758","Wilkinson County","All","All","American Literature and Composition","46","46","10","TFS","1082.4"
2021,"District Level","759","Worth County","All","All","American Literature and Composition","194","194","96","TFS","1240.3"
2021,"District Level","761","Atlanta Public Schools","All","All","American Literature and Composition","393","393","125","TFS","1077"
2021,"District Level","763","Bremen City","All","All","American Literature and Composition","182","182","122","TFS","1371"
2021,"District Level","764","Buford City","All","All","American Literature and Composition","173","173","82","TFS","1232.5"
2021,"District Level","765","Calhoun City","All","All","American Literature and Composition","273","273","158","TFS","1301.6"
2021,"District Level","766","Carrollton City","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","766","Carrollton City","All","All","American Literature and Composition","321","321","117","TFS","1211.1"
2021,"District Level","767","Cartersville City","All","All","American Literature and Composition","269","269","113","TFS","1207.1"
2021,"District Level","769","Chickamauga City","All","All","American Literature and Composition","104","104","68","TFS","1371.7"
2021,"District Level","771","Commerce City","All","All","American Literature and Composition","118","118","75","TFS","1339.6"
2021,"District Level","772","Dalton Public Schools","All","All","American Literature and Composition","459","459","145","TFS","1126.8"
2021,"District Level","773","Decatur City","All","All","American Literature and Composition","44","44","32","TFS","1353.9"
2021,"District Level","774","Dublin City","All","All","American Literature and Composition","26","26","TFS","TFS","990.8"
2021,"District Level","776","Gainesville City","All","All","American Literature and Composition","457","457","150","TFS","1147.4"
2021,"District Level","779","Jefferson City","All","All","American Literature and Composition","278","278","212","TFS","1407.8"
2021,"District Level","781","Marietta City","All","All","American Literature and Composition","54","44","11","10","1079.4"
2021,"District Level","7820108","State Charter Schools- Mountain Education Center School","All","All","American Literature and Composition","178","178","95","TFS","1303"
2021,"District Level","7820120","State Charter Schools- Georgia Cyber Academy","All","All","American Literature and Composition","621","621","360","TFS","1309.5"
2021,"District Level","7820412","State Charter Schools- Georgia Connections Academy","All","All","American Literature and Composition","100","100","58","TFS","1321.8"
2021,"District Level","7820613","State Charter Schools- Foothills Charter High School (Madison Campus)","All","All","American Literature and Composition","142","142","91","TFS","1337"
2021,"District Level","7820616","State Charter Schools- Georgia School for Innovation and the Classics","All","All","American Literature and Composition","32","32","18","TFS","1265.2"
2021,"District Level","7820618","State Charter Schools- Coastal Plains Charter High School - Candler Campus","All","All","American Literature and Composition","86","86","37","TFS","1227.9"
2021,"District Level","7830103","Commission Charter Schools- CCAT School","All","All","American Literature and Composition","19","19","TFS","TFS","1178.4"
2021,"District Level","7830210","Commission Charter Schools- Pataula Charter Academy","All","All","American Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","7830310","Commission Charter Schools- Fulton Leadership Academy","All","All","American Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","7830618","State Charter Schools II- SAIL Charter Academy - School for Arts-Infused Learning","All","All","American Literature and Composition","16","16","10","TFS","1308.4"
2021,"District Level","7830623","State Charter Schools II- Academy For Classical Education","All","All","American Literature and Composition","72","72","48","TFS","1358.1"
2021,"District Level","7830626","State Charter Schools II- Furlow Charter School","All","All","American Literature and Composition","28","28","TFS","TFS","1112.5"
2021,"District Level","7830630","State Charter Schools II- Baconton Community Charter School","All","All","American Literature and Composition","52","52","30","TFS","1312.7"
2021,"District Level","7830634","State Charter Schools II- Georgia Fugees Academy Charter School","All","All","American Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","784","Pelham City","All","All","American Literature and Composition","74","74","33","TFS","1271"
2021,"District Level","785","Rome City","All","All","American Literature and Composition","315","315","76","TFS","1103.2"
2021,"District Level","786","Social Circle City","All","All","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","786","Social Circle City","All","All","American Literature and Composition","84","84","43","TFS","1290.3"
