"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0303","611","2010-11","William S. Hutchings Career Center","Bibb County","09,10,11,12",0,0,84,4,0,12,0,87,11.8,0,,,,,,,35,11.8,0,0,0,0,207,69.9,206,1,1,0.3,42,58
"School","0305","611","2010-11","Rutland Middle School","Bibb County","06,07,08",1,0,45,5,2,46,0,64,10.4,,,,,,,,106,10.4,16,1.6,0,0,,,987,0.6,135,13.2,54,46
"School","0307","611","2010-11","Price Academy","Bibb County","04,05,06,07",0,0,40,15,5,40,0,95,35,0,,,0,0,,,7,35,0,0,0,0,,,20,0,,,45,55
"School","0383","611","2010-11","Williams Elementary School","Bibb County","KK,01,02,03,04,05",0,0,95,1,2,2,0,97,10.8,0,,,93,27.8,,,36,10.8,0,0,0,0,,,319,0,2,0.6,52,48
"School","0386","611","2010-11","Southwest High School","Bibb County","09,10,11,12",0,0,97,1,1,1,0,92,13.3,,,,,,,,132,13.3,0,0,0,0,480,48.3,760,2.2,68,6.8,48,52
"School","0405","611","2010-11","Rosa Taylor Elementary School","Bibb County","PK,KK,01,02,03,04,05",2,0,53,7,3,34,0,71,14.1,,,,85,16.2,,,74,14.1,21,4,2,0.4,,,509,0,33,6.3,55,45
"School","0407","611","2010-11","LakeBridge Behavioral Health System","Bibb County","05,07,09,10,12",0,0,48,6,3,42,0,77,51.6,0,,,0,0,,,16,51.6,0,0,0,0,0,0,10,0,,,61,39
"School","0505","611","2010-11","Weaver Middle School","Bibb County","06,07,08",1,0,86,3,1,10,0,88,12,,25,2.8,,,,,108,12,6,0.7,0,0,,,900,2.6,75,8.4,51,49
"School","0605","611","2010-11","Heritage Elementary School","Bibb County","PK,KK,01,02,03,04,05",5,0,52,4,4,36,0,64,9.8,,,,107,15,,,70,9.8,31,4.4,0,0,,,719,0.1,31,4.4,53,47
"School","0705","611","2010-11","Union Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,95,0,1,3,0,99,10.6,,,,136,22.6,,,64,10.6,0,0,2,0.3,,,599,0,7,1.2,51,49
"School","0805","611","2010-11","Riley Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,99,0,0,1,0,98,13.1,,,,122,32,,,50,13.1,0,0,0,0,,,397,0,4,1,54,46
"School","0905","611","2010-11","Morgan Elementary School","Bibb County","PK,KK,01,02,03,04,05",2,0,71,15,3,9,0,99,9.4,,,,116,23.7,,,46,9.4,50,10.2,0,0,,,492,0,5,1,52,48
"School","1005","611","2010-11","Brookdale Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,93,2,2,3,0,99,9.4,,,,123,26.8,,,43,9.4,1,0.2,0,0,,,453,0,2,0.4,54,46
"School","1050","611","2010-11","Alexander II Magnet School","Bibb County","PK,KK,01,02,03,04,05",1,0,45,1,3,49,0,42,4.4,,,,41,7.5,,,24,4.4,0,0,0,0,,,533,0,69,12.6,53,47
