LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2016-17,680,Jeff Davis County,199,Jeff Davis High School,215,102,47.44
2016-17,680,Jeff Davis County,ALL,All Schools,215,102,47.44
2016-17,681,Jefferson County,196,Jefferson County High School,158,49,31.01
2016-17,681,Jefferson County,ALL,All Schools,158,49,31.01
2016-17,682,Jenkins County,201,Jenkins County High School,70,26,37.14
2016-17,682,Jenkins County,ALL,All Schools,70,26,37.14
2016-17,683,Johnson County,201,Johnson County High School,73,32,43.84
2016-17,683,Johnson County,ALL,All Schools,73,32,43.84
2016-17,684,Jones County,192,Jones County High School,347,158,45.53
2016-17,684,Jones County,ALL,All Schools,347,158,45.53
2016-17,685,Lamar County,175,Lamar County High School,159,47,29.56
2016-17,685,Lamar County,ALL,All Schools,159,47,29.56
2016-17,686,Lanier County,201,Lanier County High School,67,26,38.81
2016-17,686,Lanier County,ALL,All Schools,67,26,38.81
2016-17,687,Laurens County,110,West Laurens High School,266,117,43.98
2016-17,687,Laurens County,197,East Laurens High School,110,48,43.64
2016-17,687,Laurens County,ALL,All Schools,376,165,43.88
2016-17,688,Lee County,193,Lee County High School,389,126,32.39
2016-17,688,Lee County,ALL,All Schools,389,126,32.39
2016-17,689,Liberty County,105,Bradwell Institute,328,68,20.73
2016-17,689,Liberty County,192,Liberty County High School,242,72,29.75
2016-17,689,Liberty County,ALL,All Schools,570,140,24.56
2016-17,690,Lincoln County,110,Lincoln County High School,82,40,48.78
2016-17,690,Lincoln County,ALL,All Schools,82,40,48.78
2016-17,691,Long County,205,Long County High School,183,75,40.98
2016-17,691,Long County,ALL,All Schools,183,75,40.98
2016-17,692,Lowndes County,5050,Lowndes High School,664,309,46.54
2016-17,692,Lowndes County,ALL,All Schools,664,309,46.54
2016-17,693,Lumpkin County,101,Lumpkin County High School,200,103,51.5
2016-17,693,Lumpkin County,ALL,All Schools,200,103,51.5
2016-17,694,Macon County,2060,Macon County High School,105,25,23.81
2016-17,694,Macon County,ALL,All Schools,105,25,23.81
2016-17,695,Madison County,5050,Madison County High School,244,95,38.93
2016-17,695,Madison County,ALL,All Schools,244,95,38.93
2016-17,696,Marion County,275,Marion County Middle/High School,109,48,44.04
2016-17,696,Marion County,ALL,All Schools,109,48,44.04
2016-17,697,McDuffie County,192,Thomson High School,219,94,42.92
2016-17,697,McDuffie County,ALL,All Schools,219,94,42.92
2016-17,698,McIntosh County,104,McIntosh Academy,80,28,35
2016-17,698,McIntosh County,ALL,All Schools,80,28,35
2016-17,699,Meriwether County,300,Greenville High School,64,,
2016-17,699,Meriwether County,4050,Manchester High School,91,,
2016-17,699,Meriwether County,ALL,All Schools,155,,
2016-17,700,Miller County,210,Miller County High School,66,30,45.45
2016-17,700,Miller County,ALL,All Schools,66,30,45.45
2016-17,701,Mitchell County,105,Baconton Community Charter School,49,32,65.31
2016-17,701,Mitchell County,282,Mitchell County High School,76,29,38.16
2016-17,701,Mitchell County,ALL,All Schools,125,61,48.8
2016-17,702,Monroe County,184,Mary Persons High School,291,131,45.02
2016-17,702,Monroe County,ALL,All Schools,291,131,45.02
2016-17,703,Montgomery County,201,Montgomery County High School,72,21,29.17
2016-17,703,Montgomery County,ALL,All Schools,72,21,29.17
2016-17,704,Morgan County,1050,Morgan County High School,191,98,51.31
2016-17,704,Morgan County,ALL,All Schools,191,98,51.31
2016-17,705,Murray County,108,Pleasant Valley Innovative School,32,,
2016-17,705,Murray County,112,North Murray High School,223,114,51.12
2016-17,705,Murray County,190,Murray County High School,187,89,47.59
2016-17,705,Murray County,ALL,All Schools,442,203,45.93
2016-17,706,Muscogee County,112,Early College Academy of Columbus at Waverly Terrace,35,11,31.43
2016-17,706,Muscogee County,203,Northside High School,288,144,50
2016-17,706,Muscogee County,278,Shaw High School,251,79,31.47
2016-17,706,Muscogee County,378,Spencer High School,196,36,18.37
2016-17,706,Muscogee County,1064,Kendrick High School,176,11,6.25
2016-17,706,Muscogee County,2062,Hardaway High School,258,68,26.36
2016-17,706,Muscogee County,3054,Columbus High School,302,278,92.05
2016-17,706,Muscogee County,5052,Carver High School,221,40,18.1
2016-17,706,Muscogee County,5062,Jordan Vocational High School,158,29,18.35
2016-17,706,Muscogee County,ALL,All Schools,1885,696,36.92
2016-17,707,Newton County,173,Newton High School,476,182,38.24
2016-17,707,Newton County,206,Alcovy High School,403,140,34.74
2016-17,707,Newton County,295,Eastside High School,298,135,45.3
2016-17,707,Newton County,ALL,All Schools,1177,457,38.83
2016-17,708,Oconee County,105,North Oconee High School,290,214,73.79
2016-17,708,Oconee County,293,Oconee County High School,263,201,76.43
2016-17,708,Oconee County,ALL,All Schools,553,415,75.05
2016-17,709,Oglethorpe County,2050,Oglethorpe County High School,121,39,32.23
2016-17,709,Oglethorpe County,ALL,All Schools,121,39,32.23
2016-17,710,Paulding County,101,Hiram High School,345,94,27.25
2016-17,710,Paulding County,106,South Paulding High School,387,178,45.99
2016-17,710,Paulding County,109,North Paulding High School,493,269,54.56
2016-17,710,Paulding County,292,East Paulding High School,331,126,38.07
2016-17,710,Paulding County,2552,Paulding County High School,388,156,40.21
2016-17,710,Paulding County,ALL,All Schools,1944,823,42.34
2016-17,711,Peach County,2052,Peach County High School,214,68,31.78
2016-17,711,Peach County,ALL,All Schools,214,68,31.78
2016-17,712,Pickens County,198,Pickens County High School,280,156,55.71
2016-17,712,Pickens County,ALL,All Schools,280,156,55.71
2016-17,713,Pierce County,182,Pierce County High School,253,133,52.57
2016-17,713,Pierce County,ALL,All Schools,253,133,52.57
2016-17,714,Pike County,194,Pike County High School,205,121,59.02
2016-17,714,Pike County,296,Zebulon High School,21,,
