"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2016","634","Coffee County","0102","Ambrose Elementary School ",1
"2016","634","Coffee County","0108","Coffee Middle School",3
"2016","634","Coffee County","3052","West Green Elementary School",2
"2016","634","Coffee County","5050","Westside Elementary School",1
"2016","634","Coffee County","ALL","All Schools",7
"2016","635","Colquitt County","0111","Willie J. Williams Middle School",4
"2016","635","Colquitt County","2052","Funston Elementary School",2
"2016","635","Colquitt County","3050","Stringfellow Elementary School",1
"2016","635","Colquitt County","3052","CA Gray Junior High School",3
"2016","635","Colquitt County","5054","Sunset Elementary School",1
"2016","635","Colquitt County","ALL","All Schools",11
"2016","636","Columbia County","0103","Grovetown Middle School",5
"2016","636","Columbia County","0106","River Ridge Elementary",4
"2016","636","Columbia County","0186","Evans Elementary School",3
"2016","636","Columbia County","0188","Blue Ridge Elementary School",3
"2016","636","Columbia County","0190","Brookwood Elementary School",2
"2016","636","Columbia County","0192","Stevens Creek Elementary School",2
"2016","636","Columbia County","0193","Riverside Middle School",1
"2016","636","Columbia County","0194","Riverside Elementary School",2
"2016","636","Columbia County","0208","Cedar Ridge Elementary School",7
"2016","636","Columbia County","0290","Lakeside Middle School",2
"2016","636","Columbia County","0297","Greenbrier Elementary School",3
"2016","636","Columbia County","0397","Euchee Creek Elementary School",1
"2016","636","Columbia County","2052","Martinez Elementary School",9
"2016","636","Columbia County","5050","Grovetown Elementary School",1
"2016","636","Columbia County","5052","South Columbia Elementary School",3
"2016","636","Columbia County","ALL","All Schools",48
"2016","638","Coweta County","0101","Arbor Springs Elementary",1
"2016","638","Coweta County","0103","Willis Road Elementary",2
"2016","638","Coweta County","0189","White Oak Elementary School",2
"2016","638","Coweta County","0191","Canongate Elementary School",1
"2016","638","Coweta County","0195","Jefferson Parkway Elementary School",1
"2016","638","Coweta County","0395","Arnall Middle School",10
"2016","638","Coweta County","1054","Ruth Hill Elementary School",1
"2016","638","Coweta County","1056","Evans Middle School",2
"2016","638","Coweta County","2050","Atkinson Elementary School",1
"2016","638","Coweta County","3054","Moreland Elementary School",1
"2016","638","Coweta County","ALL","All Schools",22
"2016","640","Crisp County","0115","Crisp County Primary School",6
"2016","640","Crisp County","2052","Crisp County Elementary School",1
"2016","640","Crisp County","ALL","All Schools",7
