LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2011-12,616,Bulloch County,4052,Portal Middle/High School,All Students,Writing,1284459,85322,276,18,364,379,476
2011-12,617,Burke County,288,Burke County High School,All Students,Combined,1284459,86367,152,152,1342,1209,1209
2011-12,617,Burke County,288,Burke County High School,All Students,Mathematics,1284459,86883,154,154,491,438,438
2011-12,617,Burke County,288,Burke County High School,All Students,Reading,1284459,86895,152,152,488,435,435
2011-12,617,Burke County,288,Burke County High School,All Students,Writing,1284459,85322,151,151,364,336,336
2011-12,618,Butts County,190,Jackson High School,All Students,Combined,1284459,86367,145,145,1342,1244,1244
2011-12,618,Butts County,190,Jackson High School,All Students,Mathematics,1284459,86883,146,146,491,436,436
2011-12,618,Butts County,190,Jackson High School,All Students,Reading,1284459,86895,145,145,488,449,449
2011-12,618,Butts County,190,Jackson High School,All Students,Writing,1284459,85322,144,144,364,359,359
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Combined,1284459,86367,41,41,1342,1034,1034
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Mathematics,1284459,86883,40,40,491,376,376
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Reading,1284459,86895,43,43,488,382,382
2011-12,619,Calhoun County,203,Calhoun County High School,All Students,Writing,1284459,85322,40,40,364,276,276
2011-12,620,Camden County,295,Camden County High School,All Students,Combined,1284459,86367,442,442,1342,1375,1375
2011-12,620,Camden County,295,Camden County High School,All Students,Mathematics,1284459,86883,448,448,491,499,499
2011-12,620,Camden County,295,Camden County High School,All Students,Reading,1284459,86895,440,440,488,507,507
2011-12,620,Camden County,295,Camden County High School,All Students,Writing,1284459,85322,437,437,364,369,369
2011-12,621,Candler County,101,Metter High School,All Students,Combined,1284459,86367,86,86,1342,1245,1245
2011-12,621,Candler County,101,Metter High School,All Students,Mathematics,1284459,86883,88,88,491,448,448
2011-12,621,Candler County,101,Metter High School,All Students,Reading,1284459,86895,86,86,488,445,445
2011-12,621,Candler County,101,Metter High School,All Students,Writing,1284459,85322,83,83,364,352,352
2011-12,622,Carroll County,189,Temple High School,All Students,Combined,1284459,86367,502,61,1342,1299,1276
2011-12,622,Carroll County,189,Temple High School,All Students,Mathematics,1284459,86883,506,61,491,468,447
2011-12,622,Carroll County,189,Temple High School,All Students,Reading,1284459,86895,502,61,488,473,455
2011-12,622,Carroll County,189,Temple High School,All Students,Writing,1284459,85322,499,61,364,359,374
2011-12,622,Carroll County,212,Mt. Zion High School,All Students,Combined,1284459,86367,502,11,1342,1299,1371
2011-12,622,Carroll County,212,Mt. Zion High School,All Students,Mathematics,1284459,86883,506,11,491,468,485
2011-12,622,Carroll County,212,Mt. Zion High School,All Students,Reading,1284459,86895,502,11,488,473,479
2011-12,622,Carroll County,212,Mt. Zion High School,All Students,Writing,1284459,85322,499,11,364,359,407
2011-12,622,Carroll County,2052,Central High School,All Students,Combined,1284459,86367,502,201,1342,1299,1283
2011-12,622,Carroll County,2052,Central High School,All Students,Mathematics,1284459,86883,506,203,491,468,467
2011-12,622,Carroll County,2052,Central High School,All Students,Reading,1284459,86895,502,200,488,473,471
2011-12,622,Carroll County,2052,Central High School,All Students,Writing,1284459,85322,499,199,364,359,345
2011-12,622,Carroll County,3050,Bowdon High School,All Students,Combined,1284459,86367,502,31,1342,1299,1314
2011-12,622,Carroll County,3050,Bowdon High School,All Students,Mathematics,1284459,86883,506,31,491,468,491
2011-12,622,Carroll County,3050,Bowdon High School,All Students,Reading,1284459,86895,502,31,488,473,487
2011-12,622,Carroll County,3050,Bowdon High School,All Students,Writing,1284459,85322,499,30,364,359,336
2011-12,622,Carroll County,5054,Villa Rica High School,All Students,Combined,1284459,86367,502,199,1342,1299,1316
2011-12,622,Carroll County,5054,Villa Rica High School,All Students,Mathematics,1284459,86883,506,200,491,468,470
2011-12,622,Carroll County,5054,Villa Rica High School,All Students,Reading,1284459,86895,502,199,488,473,477
2011-12,622,Carroll County,5054,Villa Rica High School,All Students,Writing,1284459,85322,499,198,364,359,368
2011-12,623,Catoosa County,109,Heritage High School,All Students,Combined,1284459,86367,243,145,1342,1402,1397
2011-12,623,Catoosa County,109,Heritage High School,All Students,Mathematics,1284459,86883,243,145,491,507,512
2011-12,623,Catoosa County,109,Heritage High School,All Students,Reading,1284459,86895,245,146,488,513,511
2011-12,623,Catoosa County,109,Heritage High School,All Students,Writing,1284459,85322,241,144,364,381,374
2011-12,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Combined,1284459,86367,243,35,1342,1402,1435
2011-12,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Mathematics,1284459,86883,243,36,491,507,495
2011-12,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Reading,1284459,86895,245,35,488,513,521
2011-12,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Writing,1284459,85322,241,35,364,381,418
2011-12,623,Catoosa County,4052,Ringgold High School,All Students,Combined,1284459,86367,243,63,1342,1402,1392
2011-12,623,Catoosa County,4052,Ringgold High School,All Students,Mathematics,1284459,86883,243,62,491,507,503
2011-12,623,Catoosa County,4052,Ringgold High School,All Students,Reading,1284459,86895,245,64,488,513,513
2011-12,623,Catoosa County,4052,Ringgold High School,All Students,Writing,1284459,85322,241,62,364,381,376
2011-12,624,Charlton County,287,Charlton County High School,All Students,Combined,1284459,86367,71,71,1342,1211,1211
2011-12,624,Charlton County,287,Charlton County High School,All Students,Mathematics,1284459,86883,73,73,491,442,442
2011-12,624,Charlton County,287,Charlton County High School,All Students,Reading,1284459,86895,72,72,488,428,428
2011-12,624,Charlton County,287,Charlton County High School,All Students,Writing,1284459,85322,69,69,364,341,341
2011-12,625,Savannah-Chatham County,101,Johnson High School,All Students,Combined,1284459,86367,1655,199,1342,1227,1182
