sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore
623100,623,Catoosa County,Ringgold Primary School,100,,
623102,623,Catoosa County,Battlefield Primary,102,,
623103,623,Catoosa County,Battlefield Elementary School,103,C,72.8
623105,623,Catoosa County,Woodstation Elementary School,105,C,71.5
6231050,623,Catoosa County,Boynton Elementary School,1050,B,86.30000000000001
6231052,623,Catoosa County,Lakeview-Fort Oglethorpe High School,1052,C,75.40000000000001
6231054,623,Catoosa County,West Side Elementary School,1054,D,64.2
623109,623,Catoosa County,Heritage High School,109,B,84.5
623185,623,Catoosa County,Tiger Creek Elementary School,185,D,64.40000000000001
623205,623,Catoosa County,Heritage Middle School,205,B,80.80000000000001
6232552,623,Catoosa County,Lakeview Middle School,2552,D,69
6233050,623,Catoosa County,Cloud Springs Elementary School,3050,F,58.3
6233052,623,Catoosa County,Ringgold Elementary School,3052,D,66.3
6234052,623,Catoosa County,Ringgold High School,4052,C,74.10000000000001
6235050,623,Catoosa County,Graysville Elementary School,5050,C,78.7
6235052,623,Catoosa County,Ringgold Middle School,5052,B,81.60000000000001
624112,624,Charlton County,Bethune Middle School,112,D,69.7
624199,624,Charlton County,Folkston Elementary School,199,,
624287,624,Charlton County,Charlton County High School,287,B,82.30000000000001
6244050,624,Charlton County,St. George Elementary School,4050,C,78.30000000000001
625101,625,Chatham County,Johnson High School,101,C,70.7
6251052,625,Chatham County,Otis J Brock III Elementary School,1052,F,45.5
6251056,625,Chatham County,Gadsden Elementary School,1056,D,60.6
6251058,625,Chatham County,Heard Elementary School,1058,C,72.5
6251060,625,Chatham County,Howard Elementary School,1060,B,83.2
6251070,625,Chatham County,White Bluff Elementary School,1070,D,63.6
625109,625,Chatham County,Coastal Empire Montessori Charter School,109,C,74.40000000000001
625115,625,Chatham County,Woodville-Tompkins Technical and Career High School,115,A,92.5
625116,625,Chatham County,Pulaski Elementary SChool,116,F,59.8
625117,625,Chatham County,New Hampstead High School,117,D,65.8
625118,625,Chatham County,Oglethorpe Charter School,118,C,77.5
625124,625,Chatham County,The STEM Academy at Bartlett,124,C,79.40000000000001
625125,625,Chatham County,Tybee Island Maritime Academy School,125,B,86.10000000000001
625128,625,Chatham County,Savannah Classical Academy Charter School,128,F,54.6
625192,625,Chatham County,Esther F. Garrison School of Visual and Performing Arts,192,B,82.5
625194,625,Chatham County,Georgetown School,194,D,69.7
625197,625,Chatham County,Garden City Elementary School,197,F,58.3
625199,625,Chatham County,West Chatham Middle School,199,F,55.90000000000001
625200,625,Chatham County,West Chatham Elementary School,200,D,69.8
625201,625,Chatham County,DeRenne Middle School,201,F,52.1
6252052,625,Chatham County,Beach High School,2052,D,69.2
6252056,625,Chatham County,Gould Elementary School,2056,F,52.8
6252060,625,Chatham County,Hubert Middle School,2060,F,46.5
6252062,625,Chatham County,Largo-Tibet Elementary School,2062,D,61.8
6252068,625,Chatham County,Spencer Elementary School,2068,F,43.3
625210,625,Chatham County,The School of Liberal Studies at Savannah High,210,D,60
625211,625,Chatham County,Godley Station School,211,C,76.3
625298,625,Chatham County,Marshpoint Elementary School,298,B,81.90000000000001
625299,625,Chatham County,Southwest Middle School,299,F,59.3
625300,625,Chatham County,Southwest Elementary School,300,F,58
625301,625,Chatham County,Myers Middle School ,301,F,47.1
6253056,625,Chatham County,Groves High School,3056,D,66.10000000000001
6253060,625,Chatham County,Isle of Hope School,3060,F,56.6
6253064,625,Chatham County,Pooler Elementary School,3064,F,59.40000000000001
625311,625,Chatham County,Coastal Middle School,311,C,71.10000000000001
6254052,625,Chatham County,Bloomingdale Elementary School,4052,D,64.2
6254054,625,Chatham County,Ellis Elementary School,4054,D,64
6254056,625,Chatham County,Haven Elementary School,4056,F,53.1
6254058,625,Chatham County,Hesse School,4058,D,69.90000000000001
6254068,625,Chatham County,Port Wentworth Elementary School,4068,,
6254070,625,Chatham County,Windsor Forest Elementary School,4070,F,59.8
625411,625,Chatham County,Islands High School,411,C,75.60000000000001
625499,625,Chatham County,Savannah Arts Academy,499,A,91.7
6255052,625,Chatham County,Butler Elementary School,5052,F,53.5
6255058,625,Chatham County,Hodge Elementary School,5058,F,53.7
6255060,625,Chatham County,Jenkins High School,5060,D,67.60000000000001
6255062,625,Chatham County,Mercer Middle School,5062,F,53.5
6255066,625,Chatham County,Jacob G. Smith Elementary School,5066,B,83.80000000000001
6255070,625,Chatham County,Windsor Forest High School,5070,D,66.7
625511,625,Chatham County,Shuman Elementary School,511,F,39.2
625512,625,Chatham County,Rice Creek School,512,F,54.3
625513,625,Chatham County,Savannah Early College High School,513,A,96.7
625514,625,Chatham County,School of Humanities at Juliette Gordon Low,514,F,54.40000000000001
