sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore
625517,625,Chatham County,Henderson E. Formey Jr. Early Learning Center,517,,
626101,626,Chattahoochee County,Chattahoochee County Education Center,101,B,89.5
626106,626,Chattahoochee County,Chattahoochee County Middle School,106,F,49
626206,626,Chattahoochee County,Chattahoochee County High School,206,C,75.8
6271050,627,Chattooga County,Chattooga High School,1050,D,62.8
627106,627,Chattooga County,Leroy Massey Elementary School,106,F,57.1
6272050,627,Chattooga County,Lyerly Elementary School,2050,F,52.6
6272052,627,Chattooga County,Summerville Middle School,2052,D,68.3
6273050,627,Chattooga County,Menlo Elementary School,3050,D,69.5
628101,628,Cherokee County,Carmel Elementary School,101,B,83.10000000000001
628104,628,Cherokee County,Woodstock Elementary School,104,C,77.40000000000001
628105,628,Cherokee County,"William G. Hasty, Sr. Elementary School",105,D,64.5
6281052,628,Cherokee County,Clayton Elementary School,1052,C,75.90000000000001
628106,628,Cherokee County,Creekview High School,106,B,88.7
628108,628,Cherokee County,Avery Elementary School,108,B,87.10000000000001
628113,628,Cherokee County,Mill Creek Middle School,113,C,78.60000000000001
628115,628,Cherokee County,River Ridge High School,115,B,89.5
628116,628,Cherokee County,Indian Knoll Elementary,116,C,79
628176,628,Cherokee County,Etowah High School,176,B,85.10000000000001
628181,628,Cherokee County,E. T. Booth Middle School,181,B,86.40000000000001
628182,628,Cherokee County,Johnston Elementary School,182,B,80
628187,628,Cherokee County,Rusk Middle School,187,B,82.10000000000001
628189,628,Cherokee County,Boston Elementary School,189,B,81.7
628190,628,Cherokee County,Mountain Road Elementary School,190,B,82.10000000000001
628191,628,Cherokee County,Sequoyah High School,191,A,90.40000000000001
628193,628,Cherokee County,Sixes Elementary School,193,B,83.30000000000001
628196,628,Cherokee County,Bascomb Elementary School,196,A,93.10000000000001
628197,628,Cherokee County,Woodstock High School,197,A,90.2
628198,628,Cherokee County,R. M. Moore Elementary School,198,C,76.60000000000001
628199,628,Cherokee County,Holly Springs Elementary School,199,D,69.7
628203,628,Cherokee County,Liberty Elementary School,203,B,81.30000000000001
628205,628,Cherokee County,Freedom Middle School,205,B,80.60000000000001
