SCHOOL_YEAR,DETAIL_LEVEL,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBJECT_CODE,TOTAL_STUDENTS_TESTED,STUDENTS_WITH_LEXILE,LEXILE_ON_OR_ABOVE_MIDPOINT,NO_LEXILE_SCORE,AVG_LEXILE_SCORE
2016,District Level,681,Jefferson County,All,All,American Literature and Composition,162,162,62,TFS,1189.7
2016,District Level,682,Jenkins County,All,All,9th Grade Literature and Composition,82,81,32,TFS,1108.2
2016,District Level,682,Jenkins County,All,All,American Literature and Composition,103,103,46,TFS,1235.5
2016,District Level,683,Johnson County,All,All,9th Grade Literature and Composition,95,95,44,TFS,1136.9
2016,District Level,683,Johnson County,All,All,American Literature and Composition,69,69,32,TFS,1235.7
2016,District Level,684,Jones County,All,All,9th Grade Literature and Composition,436,436,286,TFS,1237.7
2016,District Level,684,Jones County,All,All,American Literature and Composition,382,382,259,TFS,1381.9
2016,District Level,685,Lamar County,All,All,9th Grade Literature and Composition,213,213,118,TFS,1198.5
2016,District Level,685,Lamar County,All,All,American Literature and Composition,180,180,100,TFS,1290.1
2016,District Level,686,Lanier County,All,All,9th Grade Literature and Composition,121,121,58,TFS,1135.3
2016,District Level,686,Lanier County,All,All,American Literature and Composition,81,80,39,TFS,1269
2016,District Level,687,Laurens County,All,All,9th Grade Literature and Composition,500,498,294,TFS,1198.6
2016,District Level,687,Laurens County,All,All,American Literature and Composition,409,409,246,TFS,1344
2016,District Level,688,Lee County,All,All,9th Grade Literature and Composition,496,496,356,TFS,1269.6
2016,District Level,688,Lee County,All,All,American Literature and Composition,484,484,332,TFS,1379.1
2016,District Level,689,Liberty County,All,All,9th Grade Literature and Composition,795,795,491,TFS,1205.9
2016,District Level,689,Liberty County,All,All,American Literature and Composition,700,699,391,TFS,1304.7
2016,District Level,690,Lincoln County,All,All,9th Grade Literature and Composition,121,121,67,TFS,1167.4
2016,District Level,690,Lincoln County,All,All,American Literature and Composition,90,90,55,TFS,1332.3
2016,District Level,691,Long County,All,All,9th Grade Literature and Composition,263,263,147,TFS,1175.9
2016,District Level,691,Long County,All,All,American Literature and Composition,206,206,107,TFS,1279.4
2016,District Level,692,Lowndes County,All,All,9th Grade Literature and Composition,856,852,597,TFS,1256.7
2016,District Level,692,Lowndes County,All,All,American Literature and Composition,753,753,474,TFS,1356.1
2016,District Level,693,Lumpkin County,All,All,9th Grade Literature and Composition,307,307,216,TFS,1254
2016,District Level,693,Lumpkin County,All,All,American Literature and Composition,254,254,162,TFS,1350.7
2016,District Level,694,Macon County,All,All,9th Grade Literature and Composition,117,117,43,TFS,1108.4
2016,District Level,694,Macon County,All,All,American Literature and Composition,114,114,33,TFS,1117.5
2016,District Level,695,Madison County,All,All,9th Grade Literature and Composition,372,372,251,TFS,1256.9
2016,District Level,695,Madison County,All,All,American Literature and Composition,269,269,175,TFS,1353.3
2016,District Level,696,Marion County,All,All,9th Grade Literature and Composition,130,130,81,TFS,1172.6
2016,District Level,696,Marion County,All,All,American Literature and Composition,109,109,48,TFS,1250.9
2016,District Level,697,McDuffie County,All,All,9th Grade Literature and Composition,379,379,192,TFS,1150.7
2016,District Level,697,McDuffie County,All,All,American Literature and Composition,252,252,120,TFS,1259.9
2016,District Level,698,McIntosh County,All,All,9th Grade Literature and Composition,123,123,61,TFS,1161.6
2016,District Level,698,McIntosh County,All,All,American Literature and Composition,95,95,53,TFS,1285.3
2016,District Level,699,Meriwether County,All,All,9th Grade Literature and Composition,186,186,73,TFS,1112.5
2016,District Level,699,Meriwether County,All,All,American Literature and Composition,163,163,53,TFS,1154.7
2016,District Level,700,Miller County,All,All,9th Grade Literature and Composition,82,81,48,TFS,1214.7
2016,District Level,700,Miller County,All,All,American Literature and Composition,72,72,28,TFS,1232
2016,District Level,701,Mitchell County,All,All,9th Grade Literature and Composition,147,147,101,TFS,1226.1
2016,District Level,701,Mitchell County,All,All,American Literature and Composition,112,112,59,TFS,1312.8
2016,District Level,702,Monroe County,All,All,9th Grade Literature and Composition,298,298,190,TFS,1222.8
2016,District Level,702,Monroe County,All,All,American Literature and Composition,324,324,187,TFS,1301.1
2016,District Level,703,Montgomery County,All,All,9th Grade Literature and Composition,104,104,66,TFS,1202.5
2016,District Level,703,Montgomery County,All,All,American Literature and Composition,118,118,56,TFS,1259.7
2016,District Level,704,Morgan County,All,All,9th Grade Literature and Composition,234,234,159,TFS,1257.3
2016,District Level,704,Morgan County,All,All,American Literature and Composition,228,227,135,TFS,1346
2016,District Level,705,Murray County,All,All,9th Grade Literature and Composition,611,611,356,TFS,1193.2
2016,District Level,705,Murray County,All,All,American Literature and Composition,518,518,231,TFS,1227.8
2016,District Level,706,Muscogee County,All,All,9th Grade Literature and Composition,2507,2507,1416,TFS,1190.1
