"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED"
"District","ALL","607","2014-15","All Column Values","Barrow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",5,0,13,15,5,63,0,59,12.3,9,290,9.9,1913,29.8,364,10,1602,12.3,860,6.6,95,22.8,2209,60.7,39,0.3,1146,8.8
"School","0101","608","2014-15","Woodland Middle School at Euharlee","Bartow County","06,07,08",1,0,8,10,4,78,0,55,11.5,1,113,13.4,,,,,97,11.5,2,0.2,0,0,,,8,1,116,13.8
"School","0104","608","2014-15","Clear Creek Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,3,7,3,87,0,61,13.3,5,,,48,9,,,71,13.3,15,2.8,9,17.6,,,0,0,83,15.6
"School","0105","608","2014-15","Adairsville High School","Bartow County","09,10,11,12",0,0,5,5,2,88,0,48,12.9,2,,,,,22,2.2,127,12.9,10,1,0,0,741,75.4,12,1.2,137,13.9
"School","0106","608","2014-15","Pine Log Elementary","Bartow County","PK,KK,01,02,03,04,05",0,0,2,6,2,90,0,61,11.2,4,,,34,9.3,,,41,11.2,10,2.7,7,14.9,,,0,0,46,12.6
"School","0107","608","2014-15","Euharlee Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,7,5,4,83,0,57,12.3,4,,,40,7.5,,,66,12.3,13,2.4,11,19.6,,,0,0,38,7.1
"School","0114","608","2014-15","New Cass High School","Bartow County","09,10,11,12",2,0,15,12,3,68,0,55,11.7,3,,,,,144,9.2,183,11.7,21,1.3,0,0,1196,76.7,23,1.5,167,10.7
"School","0115","608","2014-15","Cloverleaf Elementary","Bartow County","PK,KK,01,02,03,04,05",2,0,13,17,6,62,0,66,9.5,11,,,81,11.5,,,67,9.5,68,9.7,18,30.5,,,0,0,68,9.7
"School","0175","608","2014-15","White Elementary School","Bartow County","PK,KK,01,02,03,04,05",2,0,11,12,5,70,0,62,11.8,11,,,71,13.5,,,62,11.8,43,8.2,4,18.2,,,0,0,50,9.5
"School","0177","608","2014-15","Adairsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,8,5,5,81,0,57,9.6,5,,,75,11.5,,,63,9.6,28,4.3,4,8.5,,,0,0,63,9.6
