LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2014-15,611,Bibb County,303,William S. Hutchings Career Center,ALL Subjects,33,33,
2014-15,611,Bibb County,303,William S. Hutchings Career Center,Economics: Micro,20,20,
2014-15,611,Bibb County,303,William S. Hutchings Career Center,U.S. History,13,13,
2014-15,611,Bibb County,386,Southwest High School,ALL Subjects,80,106,1
2014-15,611,Bibb County,386,Southwest High School,Calculus A,17,17,
2014-15,611,Bibb County,386,Southwest High School,Economics: Micro,TFS,,
2014-15,611,Bibb County,386,Southwest High School,Eng. Language & Comp,27,27,1
2014-15,611,Bibb County,386,Southwest High School,Eng. Literature & Comp,10,10,
2014-15,611,Bibb County,386,Southwest High School,Environmental Science,TFS,,
2014-15,611,Bibb County,386,Southwest High School,Statistics,TFS,,
2014-15,611,Bibb County,386,Southwest High School,U.S. History,24,24,
2014-15,611,Bibb County,386,Southwest High School,World History,24,24,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,1145,1745,217
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 2-D Design,16,16,14
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Biology,55,55,2
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,96,97,17
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Calculus BC,15,15,9
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Chemistry,34,34,6
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Computer Science A,TFS,,
