"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2015-16","641","Dade County","ALL","All Column Values","General Administration",219858.45,137931.59,357790.04,1.93,1.61,1.92,1.6
"2015-16","641","Dade County","ALL","All Column Values","School Administration",722543.36,363833.02,1086376.38,5.86,4.89,5.84,4.84
"2015-16","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",8030451.04,3434713.12,11465164.16,61.85,51.62,61.65,51.13
"2015-16","642","Dawson County","ALL","All Column Values","General Administration",306738.93,175808.06,482546.99,1.32,1.03,1.34,0.83
"2015-16","642","Dawson County","ALL","All Column Values","School Administration",1479795.37,657763.69,2137559.06,5.83,4.55,5.93,3.69
"2015-16","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",13663773.06,6445420.41,20109193.47,54.82,42.8,55.76,34.71
"2015-16","643","Decatur County","ALL","All Column Values","General Administration",397988.55,99656.9,497645.45,1.09,0.93,1.11,0.93
"2015-16","643","Decatur County","ALL","All Column Values","School Administration",1716230.22,618036.22,2334266.44,5.11,4.34,5.22,4.36
"2015-16","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",17980194.48,7172618.9,25152813.38,55.11,46.78,56.26,47.03
"2015-16","644","DeKalb County","ALL","All Column Values","General Administration",3967303.48,2478890.93,6446194.41,0.63,0.54,0.66,0.56
"2015-16","644","DeKalb County","ALL","All Column Values","School Administration",35449276.93,15150547.61,50599824.54,4.96,4.25,5.21,4.39
"2015-16","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",367329079.93,147014406.54,514343486.47,50.4,43.25,52.97,44.58
"2015-16","645","Dodge County","ALL","All Column Values","General Administration",238396.15,93229.76,331625.91,1.19,1.01,1.21,0.97
"2015-16","645","Dodge County","ALL","All Column Values","School Administration",753553.83,365372.85,1118926.68,4.02,3.4,4.08,3.28
"2015-16","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",11997796.57,5165835.08,17163631.65,61.64,52.21,62.51,50.32
"2015-16","646","Dooly County","ALL","All Column Values","General Administration",296383.16,121914.77,418297.93,2.88,2,3.39,2.85
"2015-16","646","Dooly County","ALL","All Column Values","School Administration",739503.45,334737.4,1074240.85,7.4,5.14,8.7,7.33
"2015-16","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",4024096.83,1744502.96,5768599.79,39.71,27.58,46.73,39.34
"2015-16","647","Dougherty County","ALL","All Column Values","General Administration",1119626.48,627737.11,1747363.59,1.19,1.01,1.23,0.99
"2015-16","647","Dougherty County","ALL","All Column Values","School Administration",5211956.54,2334389.11,7546345.65,5.16,4.34,5.29,4.28
