"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2013-14","656","Fayette County","ALL","All Schools",1617,967,59.8
"2013-14","657","Floyd County","0107","Pepperell High School",170,94,55.29
"2013-14","657","Floyd County","0111","Model High",146,83,56.85
"2013-14","657","Floyd County","0401","Armuchee High School",119,60,50.42
"2013-14","657","Floyd County","5050","Coosa High School",131,75,57.25
"2013-14","657","Floyd County","ALL","All Schools",566,312,55.12
"2013-14","658","Forsyth County","0107","West Forsyth High School",454,294,64.76
"2013-14","658","Forsyth County","0190","South Forsyth High School",483,319,66.05
"2013-14","658","Forsyth County","0195","North Forsyth High School",493,268,54.36
"2013-14","658","Forsyth County","0214","Lambert High School",548,429,78.28
"2013-14","658","Forsyth County","0219","Forsyth Virtual Academy",25,18,72
"2013-14","658","Forsyth County","5050","Forsyth Central High School",291,165,56.7
"2013-14","658","Forsyth County","ALL","All Schools",2294,1493,65.08
"2013-14","659","Franklin County","3050","Franklin County High School",214,126,58.88
"2013-14","659","Franklin County","ALL","All Schools",214,126,58.88
"2013-14","660","Fulton County","0106","Milton High School",526,346,65.78
"2013-14","660","Fulton County","0118","Hapeville Charter Career Academy",142,40,28.17
"2013-14","660","Fulton County","0119","Cambridge High School",196,114,58.16
"2013-14","660","Fulton County","0176","Banneker High School",174,36,20.69
"2013-14","660","Fulton County","0191","Roswell High School",520,293,56.35
"2013-14","660","Fulton County","0198","Centennial High School",385,230,59.74
"2013-14","660","Fulton County","0203","Northview High School",456,366,80.26
"2013-14","660","Fulton County","0205","Alpharetta High School",489,308,62.99
"2013-14","660","Fulton County","0291","Creekside High School",221,52,23.53
"2013-14","660","Fulton County","0383","McClarin High School",107,1,0.93
"2013-14","660","Fulton County","0386","Independence High School",170,8,4.71
"2013-14","660","Fulton County","0392","Chattahoochee High School",420,275,65.48
"2013-14","660","Fulton County","0506","Fulton Science Academy High School",29,11,37.93
"2013-14","660","Fulton County","0691","Tri-Cities High School",268,88,32.84
"2013-14","660","Fulton County","0910","Johns Creek High School",436,286,65.6
"2013-14","660","Fulton County","1110","Langston Hughes High School",297,69,23.23
"2013-14","660","Fulton County","3066","Riverwood International Charter School",360,175,48.61
"2013-14","660","Fulton County","4062","North Springs High School",289,146,50.52
"2013-14","660","Fulton County","5069","Westlake High School",339,100,29.5
"2013-14","660","Fulton County","ALL","All Schools",5824,2944,50.55
"2013-14","661","Gilmer County","0196","Gilmer High School",227,117,51.54
"2013-14","661","Gilmer County","ALL","All Schools",227,117,51.54
"2013-14","662","Glascock County","0196","Glascock County Consolidated School",45,23,51.11
"2013-14","662","Glascock County","ALL","All Schools",45,23,51.11
"2013-14","663","Glynn County","3552","Brunswick High School",354,133,37.57
"2013-14","663","Glynn County","4752","Glynn Academy",338,152,44.97
"2013-14","663","Glynn County","ALL","All Schools",692,285,41.18
"2013-14","664","Gordon County","0106","Sonoraville High School",172,83,48.26
"2013-14","664","Gordon County","0286","Gordon Central High School",172,93,54.07
"2013-14","664","Gordon County","ALL","All Schools",344,176,51.16
"2013-14","665","Grady County","1050","Cairo High School",206,101,49.03
"2013-14","665","Grady County","ALL","All Schools",206,101,49.03
"2013-14","666","Greene County","0401","Greene County High School",87,34,39.08
"2013-14","666","Greene County","ALL","All Schools",87,34,39.08
"2013-14","667","Gwinnett County","0101","Grayson High School",495,245,49.49
"2013-14","667","Gwinnett County","0103","Norcross High School",619,237,38.29
"2013-14","667","Gwinnett County","0105","Mill Creek High School",755,423,56.03
"2013-14","667","Gwinnett County","0176","Parkview High School",584,348,59.59
"2013-14","667","Gwinnett County","0182","Brookwood High School",753,411,54.58
"2013-14","667","Gwinnett County","0185","Shiloh High School",369,141,38.21
"2013-14","667","Gwinnett County","0187","Meadowcreek High School",387,116,29.97
"2013-14","667","Gwinnett County","0189","Phoenix High School",151,12,7.95
"2013-14","667","Gwinnett County","0195","Collins Hill High School",619,346,55.9
"2013-14","667","Gwinnett County","0805","Peachtree Ridge High School",693,397,57.29
"2013-14","667","Gwinnett County","1018","Lanier High School",327,141,43.12
"2013-14","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology",168,115,68.45
"2013-14","667","Gwinnett County","1050","Berkmar High School",465,200,43.01
"2013-14","667","Gwinnett County","1214","Gwinnett Online Campus",27,9,33.33
"2013-14","667","Gwinnett County","1410","Mountain View High School",368,186,50.54
"2013-14","667","Gwinnett County","1710","Archer High School",415,222,53.49
"2013-14","667","Gwinnett County","2558","South Gwinnett High School",405,122,30.12
"2013-14","667","Gwinnett County","3750","Central Gwinnett High School",425,127,29.88
"2013-14","667","Gwinnett County","4052","Dacula High School",364,122,33.52
"2013-14","667","Gwinnett County","4556","North Gwinnett High School",544,346,63.6
"2013-14","667","Gwinnett County","5550","Duluth High School",470,199,42.34
"2013-14","667","Gwinnett County","ALL","All Schools",9403,4465,47.48
"2013-14","668","Habersham County","0114","Habersham Success Academy",,,
"2013-14","668","Habersham County","2052","Habersham Central High School",327,203,62.08
"2013-14","668","Habersham County","ALL","All Schools",330,203,61.52
"2013-14","669","Hall County","0102","Chestatee High School",226,111,49.12
"2013-14","669","Hall County","0105","Lanier Career Academy",35,9,25.71
"2013-14","669","Hall County","0189","West Hall High School",181,94,51.93
"2013-14","669","Hall County","0202","Flowery Branch High",355,185,52.11
"2013-14","669","Hall County","1552","East Hall High School",166,48,28.92
"2013-14","669","Hall County","1556","North Hall High School",234,147,62.82
"2013-14","669","Hall County","4752","Johnson High School",237,105,44.3
"2013-14","669","Hall County","ALL","All Schools",1434,699,48.74
"2013-14","670","Hancock County","0288","Hancock Central High School",78,41,52.56
"2013-14","670","Hancock County","ALL","All Schools",78,41,52.56
"2013-14","671","Haralson County","3050","Haralson County High School",194,56,28.87
"2013-14","671","Haralson County","ALL","All Schools",194,56,28.87
"2013-14","672","Harris County","0299","Harris County High School",332,167,50.3
"2013-14","672","Harris County","ALL","All Schools",332,167,50.3
"2013-14","673","Hart County","3050","Hart County High School",209,108,51.67
