"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","611","Bibb County","0198","Westside High School","All Students","Reading Test  Score - New",,27919,320,30,276,251,250
"2015-16","611","Bibb County","0198","Westside High School","All Students","WritLang Test  Score - New",,27919,320,30,274,251,249
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Combined Test Score",,27919,320,62,1080,985,1010
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Essay Analysis Score - New",,15889,157,29,4,4,4
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Essay Reading Score - New",,15889,157,29,5,5,5
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Essay Total",,15889,157,29,14,13,13
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Essay Writing Score - New",,15889,157,29,5,5,5
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Evidence Based Reading and Writing - New",,27919,320,62,550,502,517
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Math Section Score - New",,27919,320,62,530,483,493
"2015-16","611","Bibb County","0204","Rutland High School","All Students","Reading Test  Score - New",,27919,320,62,276,251,255
"2015-16","611","Bibb County","0204","Rutland High School","All Students","WritLang Test  Score - New",,27919,320,62,274,251,262
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Combined Test Score",,27919,320,24,1080,985,855
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Essay Analysis Score - New",,15889,157,7,4,4,
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Essay Reading Score - New",,15889,157,7,5,5,
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Essay Total",,15889,157,7,14,13,
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Essay Writing Score - New",,15889,157,7,5,5,
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Evidence Based Reading and Writing - New",,27919,320,24,550,502,428
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Math Section Score - New",,27919,320,24,530,483,426
"2015-16","611","Bibb County","0286","Northeast High School","All Students","Reading Test  Score - New",,27919,320,24,276,251,215
