"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2020-21","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",796,"16","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",739,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","609","Ben Hill County","0392","Hurricane Transition Academy","08,09,10,11,12",27,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2833,"82","TFS","TFS","TFS","TFS","43","52","TFS","TFS","TFS","TFS","30","37","40","49","42","51"
"2020-21","School","610","Berrien County","0101","Berrien High School","09,10,11,12",823,"16","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","10","63","14","88","TFS","TFS"
"2020-21","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",67,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","610","Berrien County","0194","Berrien Middle School","06,07,08",701,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",640,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",655,"39","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","29","74","22","56","17","44"
"2020-21","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2886,"63","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","46","73","39","62","24","38"
"2020-21","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",358,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",445,"27","TFS","TFS","TFS","TFS","26","96","TFS","TFS","TFS","TFS","TFS","TFS","12","44","15","56"
"2020-21","School","611","Bibb County","0105","Howard High School","09,10,11,12",1210,"68","TFS","TFS","TFS","TFS","53","78","TFS","TFS","TFS","TFS","TFS","TFS","40","59","28","41"
"2020-21","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",807,"17","TFS","TFS","TFS","TFS","17","100","TFS","TFS","TFS","TFS","TFS","TFS","11","65","TFS","TFS"
"2020-21","School","611","Bibb County","0109","Bruce Elementary School","PK,KK,01,02,03,04,05",391,"24","TFS","TFS","TFS","TFS","22","92","TFS","TFS","TFS","TFS","TFS","TFS","15","63","TFS","TFS"
"2020-21","School","611","Bibb County","0186","Central High School","09,10,11,12",925,"66","TFS","TFS","TFS","TFS","59","89","TFS","TFS","TFS","TFS","TFS","TFS","39","59","27","41"
"2020-21","School","611","Bibb County","0198","Westside High School","09,10,11,12",1030,"145","TFS","TFS","TFS","TFS","127","88","TFS","TFS","TFS","TFS","TFS","TFS","80","55","65","45"
