"SysSchoolID","SchoolName","Number Tested All Students","Fail All Students","Pass All Students","Number Tested Economically Disadvantaged","Fail Economically Disadvantaged","Pass Economically Disadvantaged","Number Tested Migrant","Fail Migrant","Pass Migrant","Number Tested Not Economically Disadv.","Fail Not Economically Disadv.","Pass Not Economically Disadv.","Number Tested Asian","Fail Asian","Pass Asian","Number Tested Black","Fail Black","Pass Black","Number Tested Female","Fail Female","Pass Female","Number Tested Hispanic","Fail Hispanic","Pass Hispanic","Number Tested Limited English Proficient","Fail Limited English Proficient","Pass Limited English Proficient","Number Tested Male","Fail Male","Pass Male","Number Tested Native Amer/Alaskan Native","Fail Native Amer/Alaskan Native","Pass Native Amer/Alaskan Native","Number Tested Students without Disabilities","Fail Students without Disabilities","Pass Students without Disabilities","Number Tested Students with Disabilities","Fail Students with Disabilities","Pass Students with Disabilities","Number Tested Multiracial","Fail Multiracial","Pass Multiracial","Number Tested White","Fail White","Pass White"
"617:288","Burke County High School","211","16","84","204","15","85","","","","","","","1","","","123","22","78","115","17","83","1","","","","","","89","11","89","","","","195","12","88","9","","","2","","","77","4","96"
"617:ALL","Burke County","211","16","84","204","15","85","","","","","","","1","","","123","22","78","115","17","83","1","","","","","","89","11","89","","","","195","12","88","9","","","2","","","77","4","96"
"618:190","Jackson High School","170","12","88","66","17","83","","","","107","10","90","1","","","66","23","77","93","10","90","2","","","","","","80","16","84","","","","168","13","88","5","","","","","","104","7","93"
"618:ALL","Butts County","170","12","88","66","17","83","","","","107","10","90","1","","","66","23","77","93","10","90","2","","","","","","80","16","84","","","","168","13","88","5","","","","","","104","7","93"
"619:4050","Calhoun County Middle/High School","42","21","79","42","21","79","","","","","","","","","","40","23","78","28","29","71","","","","","","","14","7","93","","","","37","14","86","5","","","1","","","1","",""
"619:ALL","Calhoun County","42","21","79","42","21","79","","","","","","","","","","40","23","78","28","29","71","","","","","","","14","7","93","","","","37","14","86","5","","","1","","","1","",""
"620:295","Camden County High School","533","11","89","119","18","82","","","","411","9","91","6","","","140","18","82","258","8","92","19","16","84","1","","","272","14","86","1","","","490","8","92","40","40","60","14","0","100","350","8","92"
"620:ALL","Camden County","533","11","89","119","18","82","","","","411","9","91","6","","","140","18","82","258","8","92","19","16","84","1","","","272","14","86","1","","","490","8","92","40","40","60","14","0","100","350","8","92"
"621:101","Metter High School ","113","18","82","50","24","76","2","","","63","13","87","","","","30","33","67","63","13","87","4","","","1","","","50","24","76","","","","95","9","91","18","61","39","1","","","78","12","88"
"621:ALL","Candler County","113","18","82","50","24","76","2","","","63","13","87","","","","30","33","67","63","13","87","4","","","1","","","50","24","76","","","","95","9","91","18","61","39","1","","","78","12","88"
"622:189","Temple High School","92","9","91","37","14","86","","","","48","2","98","1","","","14","7","93","47","6","94","1","","","","","","38","8","92","","","","75","4","96","10","","","","","","69","7","93"
"622:2052","Central High School","219","18","82","43","26","74","","","","169","15","85","","","","32","25","75","111","14","86","8","","","3","","","101","21","79","1","","","184","13","88","28","46","54","1","","","170","14","86"
"622:276","Mount Zion High School","37","32","68","20","35","65","","","","18","28","72","","","","8","","","12","17","83","1","","","1","","","26","38","62","","","","33","24","76","5","","","","","","29","21","79"
"622:3050","Bowdon High School","89","13","87","34","18","82","","","","54","11","89","","","","15","33","67","49","10","90","","","","","","","39","18","82","","","","74","8","92","14","43","57","","","","73","10","90"
"622:5054","Villa Rica High School","236","18","82","87","26","74","","","","143","11","89","1","","","54","31","69","113","14","86","2","","","","","","117","20","80","","","","207","12","88","23","65","35","1","","","172","12","88"
"622:ALL","Carroll County","680","17","83","221","24","76","","","","438","12","88","2","","","123","29","71","336","12","88","12","33","67","4","","","323","20","80","1","","","579","11","89","80","51","49","2","","","519","12","88"
"623:1052","Lakeview-Fort Oglethorpe High School","247","11","89","50","20","80","","","","193","8","92","4","","","6","","","119","7","93","","","","2","","","124","15","85","","","","231","8","92","12","58","42","1","","","232","9","91"
"623:4052","Ringgold High School","290","10","90","55","25","75","","","","234","6","94","5","","","4","","","151","7","93","8","","","1","","","138","14","86","","","","257","3","97","32","69","31","","","","272","10","90"
"623:ALL","Catoosa County","537","10","90","105","23","77","","","","427","7","93","9","","","10","","","270","7","93","8","","","3","","","262","14","86","","","","488","5","95","44","66","34","1","","","504","10","90"
"624:287","Charlton County High School","106","26","74","42","33","67","","","","60","22","78","2","","","31","39","61","51","16","84","1","","","","","","51","37","63","","","","92","22","78","10","","","","","","68","22","78"
"624:ALL","Charlton County","106","26","74","42","33","67","","","","60","22","78","2","","","31","39","61","51","16","84","1","","","","","","51","37","63","","","","92","22","78","10","","","","","","68","22","78"
"625:101","Johnson High School","200","17","83","58","24","76","","","","119","12","88","8","","","99","21","79","106","11","89","1","","","","","","71","23","77","","","","166","14","86","11","36","64","3","","","66","8","92"
"625:2052","Beach High School","198","32","68","97","30","70","","","","66","24","76","","","","154","29","71","93","20","80","1","","","","","","70","37","63","","","","151","25","75","12","67","33","4","","","4","",""
"625:3056","Groves High School","189","14","86","78","15","85","","","","125","12","88","2","","","105","19","81","111","11","89","3","","","","","","92","16","84","2","","","193","11","89","10","","","1","","","90","8","92"
"625:399","Savannah High School","114","13","87","86","16","84","","","","27","4","96","","","","105","11","89","77","13","87","5","","","5","","","36","14","86","","","","110","12","88","3","","","","","","3","",""
"625:499","Savannah Arts Academy","137","0","100","15","0","100","","","","122","0","100","5","","","32","0","100","85","0","100","2","","","","","","52","0","100","1","","","129","0","100","8","","","3","","","94","0","100"
"625:5060","Jenkins High School","246","16","84","94","30","70","","","","164","9","91","11","0","100","176","21","79","142","11","89","3","","","","","","116","23","77","","","","248","14","86","10","","","3","","","65","6","94"
"625:5070","Windsor Forest High School","247","8","92","57","7","93","","","","186","8","92","10","","","142","10","90","142","4","96","9","","","","","","101","12","88","","","","230","6","94","13","38","62","5","","","77","4","96"
"625:ALL","Chatham County","1331","15","85","485","21","79","","","","809","9","91","36","8","92","813","18","82","756","10","90","24","17","83","5","","","538","19","81","3","","","1227","12","88","67","49","51","19","0","100","399","5","95"
"627:1050","Chattooga High School","148","28","72","67","31","69","","","","81","26","74","","","","26","35","65","67","16","84","4","","","3","","","81","38","62","","","","112","13","87","36","75","25","3","","","115","25","75"
"627:ALL","Chattooga County","148","28","72","67","31","69","","","","81","26","74","","","","26","35","65","67","16","84","4","","","3","","","81","38","62","","","","112","13","87","36","75","25","3","","","115","25","75"
