SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
633:1066,Norton Park Elementary School,626,6
633:1067,Powers Ferry Elementary School,400,0
633:1068,Sky View Elementary School,317,0
633:1069,Wheeler High School,375,2
633:173,Birney Elementary School,643,6
633:175,Walton High School,605,2
633:178,Mabry Middle School,888,4
633:180,Still Elementary School,502,6
633:181,Tritt Elementary School,696,0
633:184,McCleskey Middle School,828,8
633:185,Garrison Mill Elementary School,485,15
633:186,Oakwood High School,47,0
633:187,Keheley Elementary School,482,3
633:188,Pope High School,479,1
633:189,Baker Elementary School,603,8
633:190,Dowell Elementary School,742,14
633:191,Varner Elementary School,642,7
633:192,Harrison High School,486,10
633:194,Hayes Elementary School,756,1
633:197,Vaughan Elementary School,921,0
633:198,Chalker Elementary School,730,4
633:199,Nickajack Elementary School,622,0
633:202,Lindley Middle School,1387,6
633:203,Kemp Elementary School,720,0
633:204,Pitner Elementary School,793,1
633:2050,Argyle Elementary School,499,1
633:2054,Clarkdale Elementary School,356,9
633:2056,North Cobb High School,493,2
633:2062,King Springs Elementary School,499,7
633:2066,Osborne High School,377,6
633:2560,Griffin Middle School,1043,15
633:273,Kincaid Elementary School,500,5
633:275,Dodgen Middle School,843,9
633:278,Mount Bethel Elementary School,841,1
633:280,Pine Mountain Middle School,1225,10
633:281,Dickerson Middle School,1484,0
633:287,Lewis Elementary School,794,2
633:288,Mountain View Elementary School,647,1
633:289,Addison Elementary School,464,0
633:290,Campbell Middle School,1248,8
633:291,Shallowford Falls Elementary School,591,0
633:292,Ford Elementary School,802,0
633:294,Smitha Middle School,1305,1
633:297,Frey Elementary School,774,4
633:298,Cheatham Hill Elementary School,858,2
633:299,Durham Middle School,1662,8
633:302,Acworth Elementary School,863,0
633:304,Kennesaw Charter School,287,0
633:3054,Clay Elementary School,377,0
633:3056,South Cobb High School,468,6
633:3058,Fair Oaks Elementary School,542,7
633:3060,Harmony-Leland Elementary School,411,7
633:3062,LaBelle Elementary School,377,0
633:3064,Milford Elementary School,441,2
633:3067,Russell Elementary School,530,0
633:3556,Compton Elementary School,591,0
633:373,Sprayberry High School,426,4
633:375,Murdock Elementary School,677,6
633:378,Rocky Mount Elementary School,486,0
633:381,Lassiter High School,558,3
633:388,Davis Elementary School,542,5
633:389,Simpson Middle School,923,10
633:391,Nicholson Elementary School,492,0
633:394,Hightower Trail Middle School,1000,1
633:397,Green Acres Elementary School,676,6
633:398,Sanders Elementary School,750,0
633:399,Blackwell Elementary School,597,0
633:402,Austell Elementary School,666,6
633:404,Kennesaw Elem School,532,7
633:4050,Awtrey Middle School,1480,9
633:4052,Brown Elementary School,172,0
633:4056,Daniell Middle School,933,0
633:4066,Pebblebrook High School,378,1
633:4068,Teasley Elementary School,457,0
633:4560,Hollydale Elementary School,707,0
633:475,Tapp Middle School,1097,12
633:478,Sope Creek Elementary School,960,4
633:489,Powder Springs Elementary School,818,1
633:491,Timber Ridge Elementary School,414,0
633:499,Lost Mountain Middle School,1501,9
633:502,Cooper Middle School,1064,2
633:504,Big Shanty Elementary School,768,12
633:5050,Bells Ferry Elementary School,382,0
633:5052,Brumby Elementary School,664,5
633:5056,Due West Elementary School,438,2
633:5058,Floyd Middle School,981,13
633:5062,Mableton Elementary School,389,13
633:5067,Sedalia Park Elementary School,593,3
633:5068,Eastvalley Elementary School,457,7
633:592,Bryant Elementary School,904,2
633:602,Palmer Middle School,1288,7
633:ALL,Cobb County,70042,407
634:100,Indian Creek Elementary,631,7
634:102,Ambrose Elementary School,258,0
634:182,Satilla Elementary School,420,1
634:191,Broxton-Mary Hayes Elementary,240,0
634:195,Coffee County High School,396,8
634:282,Eastside Elementary School,481,0
634:291,Nicholls Elementary School,282,0
