SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
701:101,Baconton Community Charter School,370,0
701:197,Mitchell County Middle School,532,6
701:198,Mitchell County Primary School,322,3
701:282,Mitchell-Baker High School,120,1
701:297,Mitchell County Elementary School,456,6
701:ALL,Mitchell County,1800,16
702:1050,Hubbard Elementary School,845,9
702:177,Banks Stephens Middle School,890,7
702:184,Mary Persons High School,228,1
702:195,Hubbard Primary School,530,5
702:ALL,Monroe County,2493,22
703:101,Montgomery County Middle School,299,0
703:201,Montgomery Co. High,59,0
703:2050,Montgomery County Elementary School,482,2
703:ALL,Montgomery County,840,2
704:1050,Morgan County High School,188,0
704:191,Morgan County Elementary School,733,5
704:3050,Morgan County Primary School,435,6
704:5050,Morgan County Middle School,769,6
704:ALL,Morgan County,2125,17
705:1050,Chatsworth Elementary School,539,8
705:1052,Spring Place Elementary School,586,4
705:190,Murray County High School,321,1
705:195,Coker Elementary School,667,2
705:198,Eton Elementary School,591,3
705:290,Bagley Middle School,777,7
705:4050,Gladden Middle School,1000,12
705:5050,Northwest Elementary School,606,6
705:ALL,Murray County,5087,43
706:100,Midland Middle School,933,0
706:102,Fox Elementary School,387,0
706:1056,Cusseta Road Elementary School,360,19
706:1058,Dimon Elementary,376,3
706:1060,Edgewood Elementary School,386,0
706:1062,Georgetown Elementary School,390,1
706:1064,Kendrick High School,171,12
706:1066,Reese Road Elementary School,353,0
706:178,Fort Middle School,574,0
706:180,Marshall Middle School,521,0
706:191,Hannan Elementary,371,0
706:192,Brewer Elementary School,383,6
706:196,Blackmon Road Middle School,837,34
706:200,"Martin Luther King, Jr. Elementary School",363,0
706:203,Northside High School,236,3
706:2050,Arnold Middle School,682,22
706:2052,Blanchard Elementary School,572,0
706:2054,Clubview Elementary School,355,0
706:2058,Double Churches Elementary School,673,0
706:2062,Hardaway High School,332,11
706:2064,Key Elementary School,274,5
706:2065,Muscogee Elementary School,251,0
706:2066,Richards Middle School,703,0
706:2067,Rothschild Middle School,669,0
706:278,Shaw High School,225,0
706:296,Downtown Elementary Magnet Academy,286,0
706:300,Baker Middle School,608,14
706:301,East Columbus Magnet Academy,743,0
706:3054,Columbus High School,292,7
706:3056,Britt David Elementary Computer Magnet Academy,407,0
706:3060,Forrest Road Elementary School,288,0
706:3066,Rigdon Road Elementary School,164,0
706:3068,St. Marys Video and Communication Technology,361,0
706:3069,Waddell Elementary School,512,0
706:378,Spencer High School,198,0
706:401,Double Churches Middle School,826,0
706:4056,Davis Elementary School,332,0
706:4058,Eastway Elementary School,384,3
706:4062,Johnson Elementary School,313,0
706:4064,Mathews Elementary School,454,1
706:4065,Allen Elementary School,358,0
706:4066,River Road Elementary School,368,0
706:4067,South Columbus Elementary School,435,0
706:4070,Wynnton Elementary School,301,33
706:501,Midland Academy,621,1
706:5050,Benning Hills Elementary School,187,1
706:5052,Carver High School,292,4
706:5056,Dawson Elementary School,318,0
706:5058,Eddy Middle School,714,0
706:5060,Gentian Elementary School,345,20
706:5062,Jordan Vocational High School,168,0
706:5069,Wesley Heights Elementary School,351,10
706:ALL,Muscogee County,22003,210
707:101,Veterans Memorial Middle School,995,9
707:102,Oak Hill Elementary School,691,5
707:1050,East Newton Elementary School,462,0
707:1550,Ficquett Elementary School,490,26
707:173,Newton  High School,400,25
707:189,Fairview Elementary School,599,7
707:195,Clements Middle School,953,1
707:196,Cousins Middle School,719,18
707:198,Middle Ridge Elementary School,631,4
707:295,Eastside High School,272,18
707:298,West Newton Elementary School,631,3
707:3050,Livingston Elementary School,588,1
707:3052,Palmer Stone Elementary School,444,1
707:398,Indian Creek Middle School,913,4
707:4050,Mansfield Elementary School,344,0
707:4550,Heard-Mixon Elementary School,448,1
707:5050,Porterdale Elementary School,531,0
707:ALL,Newton County,10111,123
708:103,Rocky Branch Elementary School,414,0
708:1050,Oconee County Elementary School,500,5
708:188,Oconee County Primary School,299,2
708:193,Oconee County Middle School,924,5
708:197,Malcom Bridge Elementary School,398,1
708:198,Malcom Bridge Middle School,525,5
708:293,Oconee County High School,400,6
708:3050,Colham Ferry Elementary School,437,0
708:ALL,Oconee County,3897,24
709:198,Oglethorpe County Elementary School,526,1
709:2050,Oglethorpe County High School,141,0
709:298,Oglethorpe County Primary School,330,2
709:3050,Oglethorpe County Middle School,564,5
709:ALL,Oglethorpe County,1561,8
710:101,Hiram High School,392,6
710:103,Bessie L. Baggett Elementary,615,6
710:104,Lillian C. Poole Elementary School,471,0
710:1050,Dallas Elementary School,533,0
710:188,McGarity Elementary School,528,3
710:192,South Paulding Middle School,949,10
710:194,Floyd L. Shelton Elementary School at Crossroad,425,1
710:197,Sam D. Panter Elementary School,525,0
710:198,Nebo Elementary School,704,21
710:199,C. A. Roberts Elementary School,675,20
710:201,Lena Mae Moses Middle School,968,4
710:204,Roland W. Russom Elementary,382,2
710:2052,New Georgia Elementary School,430,7
710:2352,Herschel Jones Middle School,978,9
710:2552,Paulding County High School,312,11
710:292,East Paulding High School,315,5
710:294,Northside Elementary School,593,9
710:297,J. A. Dobbins Middle School,1169,2
710:299,Allgood Elementary School,604,0
710:3052,Abney Elementary School,503,0
710:392,Ritch Elementary School,755,0
710:394,East Paulding Middle School,1009,0
710:4052,Union Elementary School,283,0
710:5050,Hiram Elementary School,485,0
710:ALL,Paulding County,14603,116
711:1050,Byron Elementary School,659,0
711:191,Fort Valley Middle School,585,1
711:197,Byron Middle School,481,14
711:2052,Peach County High School,203,0
711:291,Hunt Primary School,320,4
711:391,Hunt Elementary School,533,14
711:ALL,Peach County,2781,33
712:103,Hill City Elementary School,599,4
712:189,Pickens County Middle School,457,16
712:198,Pickens County High School,270,7
712:203,Jasper Elementary School,542,1
712:303,Tate Elementary School,378,2
712:403,Jasper Middle School,556,1
712:ALL,Pickens County,2802,31
713:182,Pierce County High School,188,1
713:197,Pierce County Middle School,821,9
713:297,Blackshear Elementary School,847,13
713:4050,Patterson Elementary School,334,0
713:ALL,Pierce County,2190,23
714:101,Pike County Elementary School,676,5
714:188,Pike County Primary School,447,6
714:194,Pike County High School,164,1
714:195,Pike County Middle School,709,2
714:ALL,Pike County,1996,14
715:102,Rockmart High School,164,2
715:103,Cedartown Middle School,999,7
715:1054,Goodyear Elementary School,411,5
715:1056,Elm Street Middle School,674,5
715:174,Westside Elementary School,577,0
715:183,Cherokee Elementary School,621,6
715:188,Northside Elementary,389,0
715:191,Euharlee Kindergarten,,
715:274,Eastside Elementary School,646,0
715:5050,Cedartown High School,237,2
715:ALL,Polk School District,4718,27
716:195,Pulaski County Middle School,414,6
716:2050,Hawkinsville High School,114,0
716:3050,Pulaski County Elementary School,577,4
716:ALL,Pulaski County,1105,10
717:176,Putnam County Middle School,642,6
717:198,Putnam County Elementary School,1007,2
717:276,Putnam County High School,120,1
717:ALL,Putnam County,1769,9
718:199,New Quitman County Elementary,244,3
718:ALL,Quitman County,244,3
719:100,Rabun County Middle School,363,8
719:1050,Clayton Elementary School,535,7
719:177,Rabun County High School,133,9
719:3550,Rabun Gap Community School,229,0
719:5050,South Rabun Elementary School,330,4
719:ALL,Rabun County,1590,28
720:101,Randolph Clay Middle School,332,5
720:201,Randolph Clay High School,112,0
720:2050,Randolph County Elementary School,456,7
720:ALL,Randolph County,900,12
721:100,Cross Creek High School,273,5
721:101,Craig-Houghton Elementary School,357,1
721:102,Hephzibah Elementary School,362,2
721:103,Freedom Park Elementary,482,2
721:104,Wilkinson Gardens Elementary School,369,35
721:1052,Butler High School,243,0
721:1054,Garrett Elementary School,173,0
721:1058,Langford Middle School,725,6
721:1060,National Hills Elementary School,149,0
721:1062,Rollins Elementary School,321,0
721:1064,Walker Traditional Elementary School,564,0
721:1065,Windsor Spring Road Elementary School,525,32
721:1156,Hephzibah Middle School,1060,0
721:177,Meadowbrook Elementary School,551,0
721:184,Morgan Road Middle School,787,7
721:189,Jamestown Elementary School,670,0
721:190,Collins Elementary School,356,0
721:194,Goshen Elementary School,424,0
721:197,Glenn Hills Middle School,1168,0
721:201,Sue Reynolds Elementary School,409,3
721:2050,Barton Chapel Elementary School,455,0
721:2052,Copeland Elementary School,332,0
721:2054,Glenn Hills Elementary School,361,0
721:2056,Hephzibah High School,252,0
721:2058,Merry Elementary School,313,7
721:2064,Warren Road Elementary School,348,0
721:2556,Hornsby Elementary School,234,0
721:2562,East Augusta Middle School,445,1
721:2574,Westside High School,192,5
721:290,Willis Foreman Elementary School,663,0
721:294,Tobacco Road Elementary School,606,0
721:297,McBean Elementary School,429,0
721:300,Lake Forest Hills Elementary School,390,8
721:301,Jenkins-White Elementary School,297,0
721:3050,Bayvale Elementary School,250,0
721:3054,Glenn Hills High School,228,0
721:3058,Milledge Elementary School,234,0
721:3062,Sego Middle School,915,9
721:3556,Johnson Magnet,102,0
721:3756,Josey High School,191,12
721:390,Spirit Creek Middle School,911,10
721:4050,Blythe Elementary School,285,0
721:4054,Gracewood Elementary School,322,0
721:4056,Lamar Elementary School,264,1
721:4058,Monte Sano Elementary School,269,3
721:4060,Academy of Richmond County High School,255,0
721:4062,Southside Elementary School,286,0
721:4064,Wheeless Road Elementary School,328,0
721:4562,Davidson Magnet School,403,0
721:4762,Terrace Manor Elementary School,294,0
721:5054,Hains Elementary School,292,3
721:5058,Murphey Middle School,705,0
721:5062,Tubman Middle School,612,7
721:5564,Tutt Middle School,600,15
721:5566,Laney High School,112,1
721:ALL,Richmond County,23143,175
722:102,Peek's Chapel Elementary,445,0
722:174,Honey Creek Elementary School,434,14
722:176,Heritage High School,277,1
722:178,Barksdale Elementary School,500,0
722:189,Sims Elementary School,465,0
722:192,Salem High School,286,1
722:194,Shoal Creek Elementary School,481,0
722:197,Lorraine Elementary School,555,4
722:2050,Flat Shoals Elementary School,561,10
722:2052,Pine Street Elementary School,353,16
722:278,Conyers Middle School,1110,21
722:289,Hightower Trail Elementary School,441,16
722:294,Memorial Middle School,1261,15
722:3052,Rockdale County High School,271,18
722:378,Edwards Middle School,1268,20
722:4050,Hicks Elementary School,396,0
722:5050,House Elementary School,415,0
722:ALL,Rockdale County,9519,136
723:101,Schley Middle High School,246,3
723:198,Schley County Elementary School,561,2
723:ALL,Schley County,807,5
724:191,Screven County Elementary School,1083,9
724:197,Screven County Middle School,795,3
724:4052,Screven County High School,161,3
724:ALL,Screven County,2039,15
725:196,Seminole County Middle/High School,504,2
725:296,Seminole County Elementary School,659,11
725:ALL,Seminole County,1163,13
726:101,Spalding High School,234,0
726:1050,Anne Street Elementary School,269,0
726:1052,Jackson Road Elementary School,334,1
726:1054,Flynt Middle School,584,3
726:1550,Atkinson Elementary School,303,0
726:1750,Beaverbrook Elementary School,473,0
726:187,Griffin High School,283,17
726:188,Taylor Street Middle School,860,11
726:192,Cowan Road Elementary School,505,3
726:195,Jordan Hill Road Elementary School,438,12
726:199,Futral Road Elementary School,386,6
726:201,Cowan Road Middle School,744,1
726:2050,Crescent Road Elementary School,400,1
726:2054,A.Z. Kelsey Middle School,420,11
726:2552,Moore Elementary School,333,0
726:4052,Orrs Elementary School,566,7
726:ALL,Spalding County,7132,73
727:1052,Stephens County Middle School,1030,32
727:187,Liberty Elementary School,399,0
727:195,Big A Elementary School,405,7
727:197,Toccoa Elementary School,372,7
727:295,Eastanollee Elementary School,419,9
727:5050,Stephens County High School,255,10
727:ALL,Stephens County,2880,65
728:101,Stewart County Middle School,121,4
728:192,Stewart County Elementary School,285,7
728:201,Stewart-Quitman High School,32,2
728:ALL,Stewart County,438,13
729:100,Sumter County Primary School,472,2
729:183,Sumter County High School,110,4
729:188,Sumter County Elementary School,684,8
729:190,Sumter County Middle School,671,9
729:195,Americus High School,154,2
729:295,Cherokee Elementary School,397,4
729:395,Sarah Cobb Elementary School,524,6
729:595,Staley Middle School,692,7
729:ALL,Sumter County,3704,42
730:190,Central Elementary/High School,514,4
730:ALL,Talbot County,514,4
731:102,Taliaferro County School,191,0
731:ALL,Taliaferro County,191,0
732:101,Reidsville Middle School,299,4
732:194,Tattnall County High School,180,3
732:201,Glennville Middle School,316,5
732:301,Collins Elementary School,230,1
732:401,Collins Middle School,166,1
732:501,Glennville Elementary School,519,10
732:601,Reidsville Elementary School,469,5
732:ALL,Tattnall County,2179,29
733:101,Taylor County Middle School,440,3
733:178,Taylor County Elementary School,636,7
733:201,Taylor County High School,99,0
733:ALL,Taylor County,1175,10
734:101,Telfair County Middle School,410,1
734:104,Telfair County Elementary,624,1
734:201,Telfair County High School,91,0
734:ALL,Telfair County,1125,2
735:1050,Carver Elementary School,370,7
735:2050,Cooper Primary School,251,0
735:4050,Terrell County Middle/High School,495,0
735:ALL,Terrell County,1116,7
736:100,The School at Bishop Hall,12,0
736:191,Thomas County Central High School,313,8
736:194,Cross Creek Elementary School,1182,26
736:291,Central Middle School,1406,13
736:5050,Garrison-Pilcher Elementary School,751,13
736:ALL,Thomas County,3664,60
737:104,Annie Belle Clark Primary School,582,5
737:1052,J. T. Reddick Elementary School,485,5
737:173,G. O. Bailey Primary School,388,2
737:199,Tift County High School,370,3
737:2050,Len Lastinger Primary School,345,0
737:299,Eighth Street Middle School,1143,13
737:3050,Northside Primary School,337,1
737:3052,"Northeast Campus, Tift County High School",,
737:4050,Omega Elementary School,380,0
737:4052,Matt Wilson Elementary School,541,0
737:5050,Charles Spencer Elementary School,566,7
737:ALL,Tift County,5137,36
738:103,Toombs County Middle School,626,4
738:104,Lyons Primary School,315,4
738:192,Toombs County High School,154,0
738:204,Lyons Upper Elementary,415,3
738:4050,Toombs Central Elementary School,337,2
738:ALL,Toombs County,1847,13
739:103,Towns County Elementary School,404,3
739:104,Towns County Middle School,270,0
739:194,Mountain Education Center,105,0
739:204,Towns County High School,82,5
739:ALL,Towns County,861,8
740:2050,Treutlen Elementary School,435,2
740:3050,Treutlen Middle/High School,350,1
740:ALL,Treutlen County,785,3
741:101,Callaway Middle School,668,0
741:1052,LaGrange High School,252,0
741:1054,Unity Elementary School,347,0
741:187,West Point Elementary School,331,1
741:189,Long Cane Elementary School,420,4
741:191,Gardner-Newman Middle School,871,10
741:194,Hollis Hand Elementary School,436,5
741:201,Callaway High School,140,0
741:297,Long Cane Middle School,1048,1
741:3050,Hillcrest Elementary School,405,0
741:387,Troup County High School,261,3
741:397,Hogansville Elementary School,285,1
741:4050,Mountville Elementary School,371,0
741:4052,Cannon Street Elementary School,308,0
741:497,Whitesville Road Elementary School,381,5
741:5050,Rosemont Elementary School,293,0
741:5052,Berta Weathersbee Elementary School,355,5
741:597,Ethel Kight Magnet Elementary School,405,9
741:697,West Side Magnet School,459,0
741:ALL,Troup County,8036,44
742:1050,Turner County Specialty School,16,0
742:190,Turner County Middle School,432,7
742:196,Turner County Elementary School,674,7
742:3050,Turner County High School,101,2
742:ALL,Turner County,1223,16
743:104,Jeffersonville Elementary/Intermediate,371,11
743:201,Twiggs County High School,82,1
743:203,Dry Branch Elementary,224,0
743:403,Twiggs County Middle School,270,5
743:ALL,Twiggs County,947,17
744:101,Union County High School,149,0
744:103,Union County Elementary School,561,6
744:1050,Union County Primary School,388,6
744:182,Union County Middle School,621,5
744:3050,Woody Gap High/Elementary School,75,0
744:ALL,Union County,1794,17
745:195,Upson-Lee High School,274,8
745:198,Upson-Lee South Primary School,446,0
745:295,Upson-Lee North Elementary School,641,1
745:298,Upson-Lee South Elementary School,761,2
745:395,Upson-Lee Middle School,1226,9
745:ALL,Thomaston-Upson County,3348,20
746:100,Rock Spring Elementary School,289,8
746:180,LaFayette Middle School,969,19
746:190,Ridgeland High School,179,1
746:194,Rossville Elementary School,425,13
746:195,Gilbert Elementary School,350,6
746:198,LaFayette High School,153,3
746:199,Cherokee Ridge Elementary,657,9
746:200,North LaFayette Elementary School,420,0
746:2052,Fairyland Elementary School,230,0
746:2056,Naomi Elementary School,384,0
746:290,Chattanooga Valley Middle School,538,5
746:390,Rossville Middle School,613,10
746:4050,Chattanooga Valley Elementary School,534,0
746:5052,Stone Creek Elementary School,307,3
746:ALL,Walker County,6048,77
747:101,Atha Road Elementary School,809,7
747:1052,Monroe Primary School,368,2
747:176,Loganville Primary School,326,0
747:191,Loganville Elementary School,560,0
747:193,Carver Middle School,1134,33
747:195,Walnut Grove Elementary School,391,5
747:199,Loganville High School,336,1
747:202,Youth Elementary School,735,0
747:2052,Walker Park Elementary School,449,10
747:291,Loganville Middle School,1417,7
747:4050,Monroe High School,195,3
747:5050,Monroe Elementary School,603,7
747:ALL,Walton County,7323,75
748:194,Ware Magnet School,310,0
748:195,Ware County High School,303,4
748:196,Williams Heights Elementary School,322,13
748:295,Waycross Middle School,615,7
748:296,Center Elementary School,399,9
748:3050,Memorial Drive Elementary School,336,0
748:3052,Waresboro Elementary School,368,0
748:395,Ware County Middle School,766,6
748:396,Ruskin Elementary School,384,1
748:5050,Wacona Elementary School,470,0
748:ALL,Ware County,4273,40
749:2050,Warren County High School,250,0
749:3050,Freeman Elementary School,313,1
749:ALL,Warren County,563,1
750:1050,Crawford Primary School,152,1
750:1052,Washington County High School,212,0
750:199,T. J. Elder Middle School,927,9
750:2050,Elder Primary School,353,0
750:4050,Sandersville Elementary School,544,0
750:5050,Tennille Elementary School,309,10
750:ALL,Washington County,2497,20
751:101,Wayne County High School,304,0
751:1050,Jesup Elementary School,561,10
751:1052,Screven Elementary School,162,0
751:194,Martha Puckett Middle School,648,2
751:294,Arthur Williams Middle School,650,13
751:3050,Odum Elementary School,310,0
751:394,Oak Vista Elementary School,569,1
751:494,Bacon Elementary School,265,4
751:6000,Wayne County High Night School,9,0
751:ALL,Wayne County,3478,30
752:104,Webster County Elementary/Middle School,346,1
752:ALL,Webster County,346,1
753:1052,Wheeler County Elementary School,395,2
753:3052,Wheeler County High School,341,1
753:ALL,Wheeler County,736,3
754:100,White Co. Intermediate,631,4
754:104,Mount Yonah Elementary School,403,6
754:174,White County Middle School,903,13
754:197,White County High School,200,1
754:200,Jack P Nix Primary,410,0
754:ALL,White County,2547,24
755:1050,Antioch Elementary School,450,0
755:1052,Eastside Elementary School,482,7
755:1054,Varnell Elementary School,476,0
755:175,Northwest Whitfield County High School,353,1
755:191,Phoenix High School,46,0
755:199,New Hope Elementary School,507,0
755:2050,Cohutta Elementary School,250,0
755:2052,Pleasant Grove Elementary School,456,0
755:2054,Westside Elementary School,602,2
755:275,Southeast Whitfield County High School,273,3
755:3050,Dawnville Elementary School,539,0
755:3052,Tunnel Hill Elementary School,291,0
755:4050,Dug Gap Elementary School,382,0
755:4052,Valley Point Elementary School,486,0
755:475,Eastbrook Middle School,823,0
755:575,North Whitfield Middle School,1004,0
755:675,Valley Point Middle School,453,7
755:775,Westside Middle School,636,0
755:ALL,Whitfield County,8509,20
756:101,Wilcox County Middle School,327,3
756:195,Wilcox County Elementary School,522,3
756:201,Wilcox County High School,86,0
756:ALL,Wilcox County,935,6
757:1050,Washington-Wilkes Primary School,278,2
757:173,Washington-Wilkes High School,107,1
757:192,Washington-Wilkes Middle School,412,2
757:273,Washington-Wilkes Elementary School,407,6
757:ALL,Wilkes County,1204,11
758:1050,Wilkinson County Primary School,250,0
758:175,Wilkinson County Elementary School,345,3
758:275,Wilkinson County Middle School,384,6
758:3050,Wilkinson County High School,109,2
758:ALL,Wilkinson County,1088,11
759:176,Worth County High School,211,1
759:177,Holley Elementary School,442,7
759:193,Worth County Middle School,1058,8
759:196,Worth County Primary School,593,3
759:3051,Sylvester Elementary School,453,0
759:ALL,Worth County,2757,19
761:100,Brown Middle School,687,2
761:101,Parkside Elementary School,340,0
761:102,Metro Atlanta Respite and Developmental Services C,34,2
761:103,Heritage Academy Elementary,492,0
761:104,Dobbs Elementary School,392,0
761:1052,Bethune Elementary School,370,4
761:1053,Boyd Elementary School,192,0
761:1054,Burgess Elementary School,155,0
761:1063,Hutchinson Elementary School,330,0
761:1064,Kimberly Elementary School,395,1
761:1066,Rivers Elementary School,288,0
761:1068,Towns Elementary School,400,0
761:1560,Garden Hills Elementary School,381,0
761:1563,Inman Middle School,690,0
761:1567,Smith Elementary School,535,0
761:1664,Morningside Elementary School,609,11
761:173,Long Middle School,702,11
761:180,Bunche Middle School,815,9
761:182,Mays High School,399,0
761:186,Southside High School,210,4
761:188,Sylvan Hills Middle School,587,1
761:191,Turner Middle School,563,25
761:192,North Atlanta High School,316,3
761:195,South Atlanta High School,242,2
761:196,Cascade Elementary School,324,0
761:199,Centennial Place Elementary School,409,0
761:201,Charles R. Drew Charter School,689,2
761:203,Herndon Elementary,350,23
761:204,Miles Elementary School,277,0
761:2050,Adamsville Elementary School,324,5
761:2053,Brandon Elementary School,453,10
761:2057,Connally Elementary School,438,0
761:2059,East Lake Elementary School,176,0
761:2062,Hope Elementary School,268,0
761:2560,Gideons Elementary School,422,6
761:2563,Jackson Elementary School,526,0
761:2564,Lin Elementary School,328,0
761:2565,Peterson Elementary School,153,12
761:2568,Venetian Hills Elementary School,372,0
761:2569,West Manor Elementary School,247,1
761:2664,Crim High School,115,5
761:282,Young Middle School,914,10
761:288,Price Middle School,882,1
761:289,Crim Evening Program,44,0
761:293,Benjamin S. Carson Preparatory School,828,0
761:296,Perkerson Elementary School,367,0
761:303,Pitts-Mitchell Elementary Replacement,371,1
761:3050,Anderson Park Elementary School,252,17
761:3051,Beecher Hills Elementary School,263,0
761:3055,Carver High School,76,2
761:3057,Continental Colony Elementary School,297,0
761:3059,Fain Elementary School,324,0
761:3065,Peyton Forest Elementary School,429,0
761:3066,Rusk Elementary School,153,0
761:3067,Sutton Middle School,666,9
761:3068,Walden Middle School,341,15
761:3069,White Elementary School,323,3
761:3559,Fickett Elementary School,598,1
761:3566,Scott Elementary School,340,0
761:3569,Whitefoord Elementary School,399,0
761:373,King Middle School,532,5
761:403,APS-CEP Partnership School,422,0
761:4052,Blalock Elementary School,385,0
761:4056,Cleveland Elementary School,409,11
761:4057,Cook Elementary School,256,7
761:4058,Douglass High School,430,3
761:4063,M. A. Jones Elementary School,216,1
761:4066,Slater Elementary School,435,0
761:4560,Grady High School,209,4
761:4567,Therrell High School,189,2
761:4568,Washington High School,310,4
761:4569,Williams Elementary School,413,0
761:4664,Oglethorpe Elementary School,220,0
761:473,McGill Elementary School,120,1
761:4768,Washington Evening High School,105,0
761:503,University Community Academy,208,0
761:504,Harper-Archer Middle School,947,8
761:5050,Arkwright Elementary School,168,0
761:5051,Benteen Elementary School,355,0
761:5054,Capitol View Elementary School,224,0
761:5056,Coan Middle School,544,4
761:5065,Ragsdale Elementary School,200,11
761:5066,D. H. Stanton Elementary School,359,0
761:5067,Thomasville Heights Elementary School,437,0
761:5068,Waters Elementary School,359,0
761:5558,Dunbar Elementary School,304,0
761:5560,Grove Park Elementary School,414,0
761:5561,C. W. Hill Elementary School,308,1
761:5562,Humphries Elementary School,295,10
761:5563,Kennedy Middle School,491,9
761:5566,F. L. Stanton Elementary School,243,0
761:5567,Toomer Elementary School,249,0
761:5569,Woodson Elementary School,285,0
761:5664,Parks Middle School,593,13
761:603,Neighborhood Charter School,108,0
761:604,Usher Elementary School,375,0
761:703,School for Integrated Academics and Technologies,51,0
761:704,KIPP West Atlanta Young Scholars Academy,72,0
761:904,KIPP Achieve Academy,63,0
761:ALL,Atlanta City,36165,292
763:101,Sewell Middle School,379,4
763:201,Bremen High School,103,0
763:2050,Jones Elementary School,573,3
763:ALL,Bremen City,1055,7
764:100,Buford Academy,475,4
764:191,Buford High School,141,0
764:196,Buford Elementary School,327,0
764:291,Buford Middle School,568,2
764:ALL,Buford City,1511,6
765:192,Calhoun Elementary School,674,5
765:3050,Calhoun High School,145,1
765:4050,Calhoun Middle School,644,1
765:4550,Eastside Primary School,439,3
765:ALL,Calhoun City,1902,10
766:1050,Carrollton High School,251,2
766:1550,Carrollton Jr. High School,834,16
766:193,Carrollton Elementary School,1286,10
766:ALL,Carrollton City,2371,28
767:177,Cartersville Primary School,580,2
767:191,Cartersville Elementary School,868,11
767:2050,Cartersville High School,190,2
767:277,Cartersville Middle School,912,8
767:ALL,Cartersville City,2550,23
769:101,Gordon Lee Middle School,351,1
769:1050,Chickamauga Elementary School,426,0
769:201,Gordon Lee High School,105,1
769:ALL,Chickamauga City,882,2
771:1050,Commerce Elementary School,546,3
771:2050,Commerce High School,75,0
771:3050,Commerce Middle School,340,3
771:ALL,Commerce City,961,6
772:101,Park Creek Elementary School,422,18
772:1050,Brookwood Elementary School,316,1
772:1052,Roan Elementary School,376,0
772:173,Westwood Elementary School,382,0
772:201,Dalton Middle School,1279,4
772:301,City Park School,836,16
772:4050,Dalton High School,297,3
772:ALL,Dalton City,3908,42
773:103,Oakhurst Elementary School,120,0
773:1552,Renfroe Middle School,565,3
773:1750,Clairemont Elementary School,139,0
773:2050,College Heights Elementary School,82,1
773:3050,Decatur High School,168,1
773:3052,Westchester Elementary School,148,0
773:4052,Winnona Park Elementary School,197,0
773:5050,Glennwood Elementary School,138,0
773:ALL,Decatur City,1557,5
774:102,Dublin Middle School,760,10
774:104,Moore Street Elementary School,423,5
774:204,Saxon Heights Elementary School,419,2
774:304,Susie Dasher Elementary School,213,2
774:3050,Dublin High School,179,5
774:ALL,Dublin City,1994,24
776:104,New Holland Elementary School,277,0
776:193,Centennial Elementary School,564,1
776:204,Gainesville Elementary School,363,4
776:2050,Enota Elementary School,421,0
776:2550,Fair Street Elementary School,409,3
776:3050,Gainesville High School,257,0
776:4050,Gainesville Middle School,949,13
776:ALL,Gainesville City,3240,21
779:101,Jefferson Middle School,403,8
779:174,Jefferson High School,93,4
779:3050,Jefferson Elementary School,703,8
779:ALL,Jefferson City,1199,20
781:101,Marietta High School,401,5
781:103,Pine Forest Elementary School,345,0
781:188,Burruss Elementary School,425,1
781:194,Dunleith Elementary School,475,6
781:203,Marietta Middle School,1157,10
781:2052,Park Street Elementary School,531,0
781:294,Lockheed Elementary School,677,0
781:303,Marietta 6th Grade School,574,1
781:3050,Hickory Hills Elementary School,306,1
781:5052,West Side Elementary School,319,6
781:ALL,Marietta City,5210,30
784:101,Pelham High School,76,1
784:201,Pelham City Middle School,373,4
784:3050,Pelham Elementary School,576,3
784:ALL,Pelham City,1025,8
785:1052,Elm Street Elementary School,360,0
785:1054,Southeast Elementary School,180,11
785:173,West Central Elementary School,381,0
785:193,Rome High School,305,5
785:2050,Anna K. Davie Elementary School,171,0
785:2054,West End Elementary School,609,1
785:275,East Central Elementary School,400,2
785:293,Rome Middle School,884,6
785:3052,Main Elementary School,177,0
785:4052,North Heights Elementary School,184,1
785:ALL,Rome City,3651,26
786:100,Social Circle Primary School,234,2
786:103,Social Circle Middle School,348,8
786:200,Social Circle Elementary School,348,3
786:300,Social Circle High School,84,1
786:ALL,Social Circle City,1014,14
789:198,Balfour School For Young Children,,
789:3050,MacIntyre Park Middle School,669,9
789:3052,Scott Elementary School,376,8
789:4050,Harper Elementary School,265,0
789:4052,Thomasville High School,184,4
789:5050,Jerger Elementary School,394,0
789:ALL,Thomasville City,1888,21
791:101,Trion Elementary School,512,2
791:201,Trion Middle School,296,1
791:301,Trion High School,70,0
791:ALL,Trion City,878,3
792:101,Sallas Mahone Elementary,404,1
792:103,Valdosta Middle School,902,15
792:1052,Nunn Elementary School,553,3
792:173,Lomax-Pinevale Elementary School,377,5
792:195,Newbern Middle School,828,7
792:2050,West Gordon Elementary School,560,9
792:2052,Southeast Elementary School,557,4
792:273,Valdosta High School,471,20
792:5050,Mason Elementary School,385,0
792:ALL,Valdosta City,5037,64
793:173,J. R. Trippe Middle School,534,2
793:2050,J. D. Dickerson Primary School,390,2
793:273,Vidalia Comprehensive High School,154,6
793:5050,Sally Dailey Meadows Elementary School,559,4
793:ALL,Vidalia City,1637,14
795:103,CCAT School,134,0
795:ALL,Charter Conservatory for Arts and Technology,134,0
799:1893,Atlanta Area School for the Deaf,124,32
