"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"751:394","Oak Vista Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:494","Bacon Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:6000","Wayne County High Night School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:ALL","Wayne County","52.1","210","403","","","4","37.8","42","111","","","6","","","1","58.1","162","279","","","2","49","101","206","55.3","109","197","8.3","4","48","58","206","355","","","5","39","57","146","59.5","153","257","","","2"
"752:104","Webster County Elementary/Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"752:ALL","Webster County","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"753:1052","Wheeler County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"753:3052","Wheeler County High School","56.5","52","92","","","0","57.1","20","35","","","4","","","0","56.6","30","53","","","0","56.6","30","53","56.4","22","39","","","8","61.9","52","84","","","0","46.3","25","54","71.1","27","38","","","0"
"753:ALL","Wheeler County","56.5","52","92","","","0","57.1","20","35","","","4","","","0","56.6","30","53","","","0","56.6","30","53","56.4","22","39","","","8","61.9","52","84","","","0","46.3","25","54","71.1","27","38","","","0"
"754:100","White Co. Intermediate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"754:104","Mount Yonah Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"754:174","White County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"754:197","White County High School","77.2","196","254","","","0","","","6","","","2","","","0","77.7","188","242","","","4","72.8","99","136","82.2","97","118","39.3","11","28","81.9","185","226","","","1","82.6","38","46","76","158","208","","","0"
"754:200","Jack P Nix Primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"754:ALL","White County","77.2","196","254","","","0","","","6","","","2","","","0","77.7","188","242","","","4","72.8","99","136","82.2","97","118","39.3","11","28","81.9","185","226","","","1","82.6","38","46","76","158","208","","","0"
