"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"667:4058","Summerour Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:4556","North Gwinnett High School","77.1","441","572","82.9","29","35","70.2","33","47","62.5","15","24","","","3","78.3","358","457","","","6","73.4","215","293","81","226","279","28.8","15","52","81.9","426","520","56.3","9","16","62.9","22","35","78","419","537","","","0"
"667:491","Oakland Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:494","Simpson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:495","Kanoheda Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:497","McConnell Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:498","Taylor Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:505","Sycamore Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:5050","Duluth Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:5054","Lawrenceville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:5056","Peachtree Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:5058","Suwanee Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:5550","Duluth High School","79.5","431","542","80.8","84","104","67.3","35","52","60.4","29","48","","","1","85.2","271","318","57.9","11","19","75.4","208","276","83.8","223","266","44.2","19","43","82.6","412","499","32.4","12","37","67.7","42","62","81","389","480","","","0"
"667:5554","Lilburn Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:605","W. J. Cooper Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:705","Parsons Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:805","Peachtree Ridge High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667:ALL","Gwinnett County","71.9","5973","8304","71.2","627","881","59.5","839","1411","41.3","332","803","","","9","80.5","4080","5070","66.9","87","130","69","2928","4244","75","3045","4060","43.2","231","535","73.9","5742","7769","25.2","80","317","62.1","695","1120","73.5","5278","7184","","","0"
"668:101","Cornelia Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:1050","Baldwin Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:189","Clarkesville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:196","North Habersham Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:201","Demorest Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:2052","Habersham Central High School","76.8","292","380","66.7","8","12","","","5","57.5","23","40","","","1","80.3","256","319","","","3","77","154","200","76.7","138","180","51","26","51","80.9","266","329","14.3","2","14","35.1","27","77","87.5","265","303","50","8","16"
"668:296","South Habersham Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:3054","Woodville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:5050","Fairview Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:5052","Hazel Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"668:ALL","Habersham County","76.8","292","380","66.7","8","12","","","5","57.5","23","40","","","1","80.3","256","319","","","3","77","154","200","76.7","138","180","51","26","51","80.9","266","329","14.3","2","14","35.1","27","77","87.5","265","303","50","8","16"
"669:100","C. W. Davis Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:101","Martin Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:102","Chestatee High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:103","Sugar Hill Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:1058","White Sulphur Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:1552","East Hall High School","55.2","133","241","","","2","57.6","19","33","50","21","42","","","1","55.9","90","161","","","2","46.5","60","129","65.2","73","112","5.9","2","34","63.3","131","207","21.4","3","14","60.9","39","64","53.1","94","177","","","2"
"669:1556","North Hall High School","77.1","215","279","","","0","","","0","","","9","","","0","77.4","209","270","","","0","74.8","104","139","79.3","111","140","37.5","9","24","80.8","206","255","","","6","56.5","13","23","78.9","202","256","","","0"
"669:176","Myers Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:189","West Hall High School","68.9","175","254","","","4","50","6","12","46.7","14","30","","","3","72.5","145","200","","","5","64.9","87","134","73.3","88","120","28.6","6","21","72.5","169","233","18.8","3","16","48.6","17","35","72.1","158","219","","","0"
"669:192","Spout Springs Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:194","Mount Vernon Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:196","Friendship Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:198","Hall County/Gainesville Evening High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:200","Chestatee Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:202","Flowery Branch High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:2052","Flowery Branch Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:2056","Oakwood Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:276","Wauka Mountain Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:289","East Hall Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:294","West Hall Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:3054","Lanier Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:3056","Riverbend Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:389","North Hall Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:4050","Chestnut Mountain Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:4054","Lula Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:4056","Sardis Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:4556","South Hall Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:4752","Johnson High School","56.7","139","245","","","10","","","10","41.6","32","77","","","0","64.9","96","148","","","0","56.5","70","124","57","69","121","5.6","1","18","60.8","138","227","26.2","11","42","49.3","35","71","59.8","104","174","","","7"
"669:5050","Jones Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:5052","Lyman Hall Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:5054","McEver Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:5056","Tadmore Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"669:ALL","Hall County","61.5","662","1076","64.7","11","17","50.8","30","59","44.5","73","164","","","4","65.5","540","825","","","7","57.8","321","555","65.5","341","521","18.2","18","99","65.9","644","977","25.3","21","83","52.8","104","197","63.5","558","879","","","9"
"670:188","Lewis Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"670:288","Hancock Central High School","75.4","86","114","","","0","76.6","85","111","","","0","","","0","","","3","","","0","65.5","36","55","84.7","50","59","","","10","78.8","82","104","","","0","75.6","62","82","80","24","30","","","0"
"670:4050","Southwest Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"670:ALL","Hancock County","75.4","86","114","","","0","76.6","85","111","","","0","","","0","","","3","","","0","65.5","36","55","84.7","50","59","","","10","78.8","82","104","","","0","75.6","62","82","80","24","30","","","0"
"671:104","Tallapoosa Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671:178","Buchanan Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671:197","Haralson County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671:2050","Buchanan Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671:3050","Haralson County High School","48.9","139","284","","","2","21.4","3","14","","","1","","","0","49.8","133","267","","","0","43.3","74","171","57.5","65","113","23.4","11","47","54","128","237","","","0","51.6","32","62","48.2","107","222","","","0"
"671:4050","West Haralson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"671:ALL","Haralson County","48.9","139","284","","","2","21.4","3","14","","","1","","","0","49.8","133","267","","","0","43.3","74","171","57.5","65","113","23.4","11","47","54","128","237","","","0","51.6","32","62","48.2","107","222","","","0"
"672:188","Park Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672:190","Pine Ridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672:199","Mulberry Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672:290","New Mountain Hill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672:299","Harris County High School","70.7","215","304","","","1","61.1","44","72","","","1","","","0","73.1","166","227","","","3","67.9","114","168","74.3","101","136","41.2","7","17","72.5","208","287","","","0","60.7","51","84","74.5","164","220","","","0"
"672:399","Harris County Carver Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"672:ALL","Harris County","70.7","215","304","","","1","61.1","44","72","","","1","","","0","73.1","166","227","","","3","67.9","114","168","74.3","101","136","41.2","7","17","72.5","208","287","","","0","60.7","51","84","74.5","164","220","","","0"
"673:102","North Hart Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673:191","Hart County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673:195","Hart County Academy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673:202","South Hart Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673:3050","Hart County High School","63.6","164","258","","","3","40.6","28","69","","","1","","","0","72.4","134","185","","","0","62.5","85","136","64.8","79","122","44.4","8","18","65","156","240","","","0","40.5","34","84","74.7","130","174","","","0"
"673:5050","Hartwell Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"673:ALL","Hart County","61.4","164","267","","","3","37.8","28","74","","","1","","","0","70.9","134","189","","","0","59","85","144","64.2","79","123","42.1","8","19","62.9","156","248","","","0","40","34","85","71.4","130","182","","","0"
"674:102","Heard County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"674:1050","Centralhatchee Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"674:2050","Ephesus Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"674:3050","Heard County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"674:4050","Heard County High School","62","75","121","","","0","50","9","18","","","1","","","0","63.7","65","102","","","0","52.1","38","73","77.1","37","48","","","5","64.7","75","116","","","0","71","22","31","58.9","53","90","","","0"
"674:ALL","Heard County","62","75","121","","","0","50","9","18","","","1","","","0","63.7","65","102","","","0","52.1","38","73","77.1","37","48","","","5","64.7","75","116","","","0","71","22","31","58.9","53","90","","","0"
"675:100","Ola Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:101","Union Grove High","82","327","399","","","4","72","36","50","","","4","","","0","83.8","285","340","","","1","76.4","149","195","87.3","178","204","63","17","27","83.3","310","372","","","1","45.5","5","11","83","322","388","","","0"
"675:104","Luella High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:1050","Fairview Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:191","Cotton Indian Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:194","Wesley Lakes Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:195","Patrick Henry High School","36.2","51","141","","","1","26.8","11","41","","","3","","","0","38.5","37","96","","","0","36.4","36","99","35.7","15","42","11.1","2","18","39.8","49","123","","","0","13.9","5","36","43.8","46","105","","","0"
"675:196","Pate's Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:197","Pleasant Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:200","Mount Carmel Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:203","East Lake Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:205","Henry County Evening Academy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:2050","Hampton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:2552","Smith-Barnes Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:291","Oakland Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:294","Austin Road Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:295","Stockbridge High School","76","278","366","","","2","78.2","97","124","81.8","9","11","","","0","74.2","170","229","","","0","71.8","127","177","79.9","151","189","64","16","25","76.8","262","341","","","0","57.1","28","49","78.9","250","317","","","0"
"675:297","Hickory Flat Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:303","Unity Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:3050","Henry County High School","62.6","305","487","","","8","52.6","71","135","","","8","","","0","66.6","221","332","","","4","56.6","154","272","70.2","151","215","48","24","50","64.3","281","437","","","4","31.5","23","73","68.1","282","414","","","0"
"675:3052","Stockbridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:391","Eagle's Landing High School","78.7","311","395","81.5","22","27","80.4","78","97","76.9","10","13","","","1","78","199","255","","","2","76.3","129","169","80.5","182","226","34.5","10","29","82.2","301","366","","","0","64.5","20","31","79.9","291","364","","","0"
"675:394","Eagle's Landing Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:397","Austin Road Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:4050","Henry County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:503","Flippen Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:5050","Locust Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:5052","Stockbridge Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:603","Luella Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:703","Union Grove Middle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:803","McDonough Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675:ALL","Henry County","71.3","1272","1784","83.3","35","42","65.8","293","445","69.2","27","39","","","1","73","912","1250","","","7","65.5","595","908","77.3","677","876","46.6","69","148","73.5","1203","1636","","","5","40.5","81","200","75.2","1191","1584","","","0"
"676:100","Eagle Springs Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:102","Linwood Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:103","Lake Joy Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:104","David A. Perdue Primary ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:1050","Bonaire Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:1052","Northside Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:1054","Perry High School","72.8","169","232","","","5","81.2","56","69","","","1","","","0","68.8","108","157","","","0","75","84","112","70.8","85","120","75","18","24","72.6","151","208","","","2","69.7","62","89","74.8","107","143","","","0"
"676:1056","Tabor Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:1058","Watson Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:175","Pearl Stephens Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:191","Northside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:192","Houston County High School","77.2","379","491","94.1","16","17","68.6","72","105","","","9","","","2","79.1","280","354","","","4","78.8","201","255","75.4","178","236","38.2","21","55","82.1","358","436","","","0","68.1","49","72","78.8","330","419","","","0"
"676:194","Perdue Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:195","Quail Run Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:196","Feagin Mill Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:199","Matthew Arthur Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:200","Perry Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:2050","Centerville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:2052","Northside High School","67.9","305","449","","","7","61.8","110","178","","","8","","","4","72.7","181","249","","","3","66","130","197","69.4","175","252","40","20","50","71.4","285","399","","","1","59.1","88","149","72.3","217","300","","","0"
"676:2054","Morningside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:2058","Westside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:296","Bonaire Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:300","Houston County Career and Technology Center","60.3","41","68","","","0","78.6","11","14","","","0","","","0","55.6","30","54","","","0","67.5","27","40","50","14","28","","","3","60","39","65","","","0","75","9","12","57.1","32","56","","","0"
"676:3050","Elberta Open Campus High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:3052","Parkwood Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:3054","Bert Rumble Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:3056","Tucker Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:3550","Kings Chapel Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:400","Perry Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:4050","Lindsey Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:4052","Perry Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:4054","Russell Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:4056","Warner Robins High School","81.7","294","360","100","12","12","73.5","61","83","","","10","","","0","83","210","253","","","2","81.4","158","194","81.9","136","166","55.6","20","36","84.6","274","324","","","2","73.5","36","49","83","258","311","","","1"
"676:5050","Miller Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:5054","Shirley Hills Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:5056","Warner Robins Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676:ALL","Houston County","69.3","1188","1714","90.5","38","42","60.5","310","512","56.3","18","32","","","7","72.8","809","1111","","","10","67.6","600","888","71.2","588","826","42.6","81","190","72.6","1107","1524","","","5","60.2","244","405","72.1","944","1309","","","1"
"677:173","Irwin County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"677:188","Irwin County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"677:2050","Irwin County High School","58.8","104","177","","","0","46.3","31","67","","","0","","","0","66.4","73","110","","","0","56","51","91","61.6","53","86","24.1","7","29","65.5","97","148","","","0","53.1","34","64","61.9","70","113","","","0"
"677:ALL","Irwin County","58.8","104","177","","","0","46.3","31","67","","","0","","","0","66.4","73","110","","","0","56","51","91","61.6","53","86","24.1","7","29","65.5","97","148","","","0","53.1","34","64","61.9","70","113","","","0"
"678:101","West Jackson Intermediate School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:104","East Jackson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:1050","Benton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:191","Jackson County High School","68.1","226","332","","","10","45.5","10","22","","","2","","","0","70.7","210","297","","","1","65.7","115","175","70.7","111","157","38.5","15","39","72","211","293","","","3","73.5","50","68","66.7","176","264","","","1"
"678:193","Regional Evening Alternative School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:197","East Jackson Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:2550","Maysville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:280","West Jackson Primary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:297","West Jackson Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:3050","North Jackson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:4050","South Jackson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678:ALL","Jackson County","60.3","226","375","","","10","35.7","10","28","","","4","","","0","63.3","210","332","","","1","59.3","115","194","61.3","111","181","38.5","15","39","62.8","211","336","","","4","73.5","50","68","57.3","176","307","","","1"
"679:100","Washington Park Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679:101","Jasper County  High School","62.2","97","156","","","0","59","36","61","","","2","","","0","65.6","61","93","","","0","51.9","42","81","73.3","55","75","21.4","6","28","71.1","91","128","","","0","51.6","33","64","69.6","64","92","","","0"
"679:195","Jasper County Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679:201","Jasper County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"679:ALL","Jasper County","62.2","97","156","","","0","59","36","61","","","2","","","0","65.6","61","93","","","0","51.9","42","81","73.3","55","75","21.4","6","28","71.1","91","128","","","0","51.6","33","64","69.6","64","92","","","0"
"680:101","Jeff Davis Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"680:102","Jeff Davis Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
