SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Total Asian,Retained Percent Asian,Retained Total Black,Retained Percent Black,Retained Total Female,Retained Percent Female,Retained Total Hispanic,Retained Percent Hispanic,Retained Total Male,Retained Percent Male,Retained Total Multiracial,Retained Percent Multiracial,Retained Total White,Retained Percent White
664:176,Tolbert Elementary School,11,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
664:190,Red Bud Elementary School,17,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,14,82.4,0,0,11,64.7
664:192,Sonoraville East Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students
664:2050,Fairmount Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
664:274,Swain Elementary School,19,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,15,78.9,0,0,14,73.7
664:286,Gordon Central High School,25,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,21,84,0,0,20,80
664:292,Ashworth Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
664:ALL,Gordon County,143,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,39,27.3,22,15.4,104,72.7,0,0,119,83.2
665:1050,Cairo High School,56,0,0,0,0,34,60.7,25,44.6,Too Few Students,Too Few Students,31,55.4,0,0,16,28.6
665:1054,Whigham Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
665:1550,Northside Elementary School,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,58.8,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
665:174,Washington Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
665:185,Eastside Elementary School,18,0,0,0,0,11,61.1,Too Few Students,Too Few Students,Too Few Students,Too Few Students,14,77.8,Too Few Students,Too Few Students,Too Few Students,Too Few Students
665:2050,Southside Elementary School,20,0,0,0,0,15,75,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,55,0,0,Too Few Students,Too Few Students
665:3050,Shiver Elementary School,16,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,68.8,0,0,12,75
665:ALL,Grady County,142,0,0,0,0,71,50,57,40.1,22,15.5,85,59.9,Too Few Students,Too Few Students,48,33.8
666:101,Anita White Carson Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
666:109,LAKE OCONEE CHARTER,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
666:201,Union Point Elementary,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
666:301,Greensboro Elementary,39,0,0,0,0,28,71.8,15,38.5,Too Few Students,Too Few Students,24,61.5,Too Few Students,Too Few Students,Too Few Students,Too Few Students
666:401,Greene County High School,134,Too Few Students,Too Few Students,0,0,98,73.1,50,37.3,10,7.5,84,62.7,Too Few Students,Too Few Students,24,17.9
666:ALL,Greene County,200,Too Few Students,Too Few Students,0,0,139,69.5,74,37,15,7.5,126,63,Too Few Students,Too Few Students,40,20
667:100,Rock Springs Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1005,Alcova Elementary School,15,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,66.7,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:101,Grayson High School,215,0,0,Too Few Students,Too Few Students,102,47.4,93,43.3,23,10.7,122,56.7,Too Few Students,Too Few Students,79,36.7
667:1010,Bay Creek Middle School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:103,Norcross High School,414,Too Few Students,Too Few Students,29,7,137,33.1,179,43.2,197,47.6,235,56.8,11,2.7,38,9.2
667:105,Mill Creek High School,290,Too Few Students,Too Few Students,21,7.2,60,20.7,109,37.6,67,23.1,181,62.4,11,3.8,128,44.1
667:1050,Berkmar High School,676,15,2.2,49,7.2,204,30.2,303,44.8,355,52.5,373,55.2,10,1.5,43,6.4
667:1052,Dyer Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:1056,Lilburn Middle School,45,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,20,44.4,34,75.6,25,55.6,0,0,Too Few Students,Too Few Students
667:1058,Rockbridge Elementary School,25,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,40,18,72,15,60,0,0,0,0
667:107,Gwinnett InterVention Education (GIVE) Center West,78,0,0,Too Few Students,Too Few Students,28,35.9,17,21.8,35,44.9,61,78.2,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:108,Trickum Middle School ,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,70.6,Too Few Students,Too Few Students,10,58.8
667:109,Benefield Elementary School,26,Too Few Students,Too Few Students,0,0,15,57.7,11,42.3,Too Few Students,Too Few Students,15,57.7,0,0,Too Few Students,Too Few Students
667:1105,J. A. Alford Elementary,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:1110,Starling Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1205,Duncan Creek Elementary,16,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,62.5,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:1210,Couch Middle School,18,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,72.2,0,0,Too Few Students,Too Few Students
667:1305,Margaret Winn Holt Elementary School,43,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,27.9,17,39.5,14,32.6,26,60.5,0,0,13,30.2
667:1310,White Oak Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1405,Level Creek Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1410,Mountain View High School,185,Too Few Students,Too Few Students,11,5.9,43,23.2,73,39.5,52,28.1,112,60.5,Too Few Students,Too Few Students,75,40.5
667:1505,Louise Radloff Middle School,14,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1510,North Gwinnett Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1605,Charles Brant Chesney Elementary School,14,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,71.4,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1610,Twin Rivers Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:1710,Archer High School,152,Too Few Students,Too Few Students,Too Few Students,Too Few Students,71,46.7,58,38.2,23,15.1,94,61.8,Too Few Students,Too Few Students,48,31.6
667:173,Centerville Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:176,Parkview High School,200,Too Few Students,Too Few Students,28,14,47,23.5,84,42,57,28.5,116,58,Too Few Students,Too Few Students,60,30
667:180,Head Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:1810,Woodward Mill Elementary School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:182,Brookwood High School,212,Too Few Students,Too Few Students,20,9.4,55,25.9,76,35.8,50,23.6,136,64.2,12,5.7,74,34.9
667:184,Berkeley Lake Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:185,Shiloh High School,344,0,0,Too Few Students,Too Few Students,206,59.9,141,41,68,19.8,203,59,20,5.8,48,14
667:186,Pinckneyville Middle School,26,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,50,17,65.4,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:187,Meadowcreek High School,426,0,0,27,6.3,100,23.5,157,36.9,274,64.3,269,63.1,10,2.3,15,3.5
667:188,Richards Middle School,24,0,0,0,0,12,50,Too Few Students,Too Few Students,Too Few Students,Too Few Students,20,83.3,0,0,Too Few Students,Too Few Students
667:189,Phoenix High School,272,0,0,17,6.3,97,35.7,132,48.5,88,32.4,140,51.5,Too Few Students,Too Few Students,61,22.4
667:190,Chattahoochee Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:191,Dacula Elementary School,16,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,75,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:193,Walnut Grove Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:194,Craig Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:195,Collins Hill High School,318,Too Few Students,Too Few Students,22,6.9,85,26.7,142,44.7,118,37.1,176,55.3,21,6.6,70,22
667:196,Harbins Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:197,Creekland Middle School,37,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,14,37.8,18,48.6,23,62.2,0,0,Too Few Students,Too Few Students
667:198,Alton C. Crews Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:199,Meadowcreek Elementary School,21,0,0,0,0,Too Few Students,Too Few Students,10,47.6,15,71.4,11,52.4,0,0,0,0
667:200,Freeman's Mill Elementary School,10,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:204,Frank N. Osborne Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
667:205,Corley Elementary School,17,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,58.8,Too Few Students,Too Few Students,0,0
667:2050,Bethesda Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:2052,Grayson Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:2054,Harmony Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:2056,Mountain Park Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:2058,Snellville Middle School,38,0,0,0,0,31,81.6,12,31.6,Too Few Students,Too Few Students,26,68.4,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:208,Mulberry Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:209,Lanier Middle School,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:210,Lovin Elementary School,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,76.5,0,0,Too Few Students,Too Few Students
667:2558,South Gwinnett High School,430,Too Few Students,Too Few Students,Too Few Students,Too Few Students,249,57.9,176,40.9,56,13,254,59.1,39,9.1,78,18.1
667:275,Knight Elementary School,12,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:276,Sweetwater Middle School,26,0,0,Too Few Students,Too Few Students,11,42.3,Too Few Students,Too Few Students,Too Few Students,Too Few Students,19,73.1,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:279,Five Forks Middle School,16,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:280,Beaver Ridge Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
667:282,Annistown Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:283,Shiloh Middle School,43,0,0,0,0,22,51.2,16,37.2,11,25.6,27,62.8,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:285,Hopkins Elementary School,34,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,32.4,22,64.7,23,67.6,0,0,Too Few Students,Too Few Students
667:286,Brookwood Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:287,Norton Elementary School,21,0,0,0,0,17,81,Too Few Students,Too Few Students,Too Few Students,Too Few Students,17,81,0,0,Too Few Students,Too Few Students
667:288,Minor Elementary School,28,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,39.3,15,53.6,17,60.7,0,0,Too Few Students,Too Few Students
667:289,McKendree Elementary School,19,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,68.4,10,52.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:291,Shiloh Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,83.3,0,0,Too Few Students,Too Few Students
667:294,Nesbit Elementary School,26,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,20,76.9,21,80.8,0,0,0,0
667:295,Fort Daniel Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students
667:296,Sugar Hill Elementary School,17,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,58.8,0,0,Too Few Students,Too Few Students
667:297,Hull Middle School,14,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:298,M. H. Mason Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:300,Susan Stripling Elementary School,10,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:304,Berkmar Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:305,Ivy Creek Elementary School,20,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,16,80,Too Few Students,Too Few Students,11,55
667:3050,Britt Elementary School,13,0,0,0,0,12,92.3,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:3054,Harris Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:309,Rosebud Elementary School,18,0,0,0,0,12,66.7,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,61.1,0,0,Too Few Students,Too Few Students
667:3550,Camp Creek Elementary School,14,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:3750,Central Gwinnett High School,458,Too Few Students,Too Few Students,23,5,198,43.2,179,39.1,154,33.6,279,60.9,13,2.8,65,14.2
667:376,Gwin Oaks Elementary School,14,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,78.6,0,0,Too Few Students,Too Few Students
667:380,Dacula Middle School,27,0,0,Too Few Students,Too Few Students,15,55.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students,19,70.4,0,0,Too Few Students,Too Few Students
667:382,Arcado Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:388,Gwinnett InterVention Education (GIVE) Center East,112,Too Few Students,Too Few Students,Too Few Students,Too Few Students,43,38.4,24,21.4,35,31.3,88,78.6,Too Few Students,Too Few Students,27,24.1
667:389,Cedar Hill Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:391,Pharr Elementary School,11,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:394,Simonton Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:395,Jackson Elementary School,20,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,55,15,75,0,0,Too Few Students,Too Few Students
667:397,Magill Elementary School,17,0,0,0,0,12,70.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,64.7,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:398,Partee Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:400,Riverside Elementary School,16,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,75,Too Few Students,Too Few Students,13,81.3
667:405,Glenn C. Jones Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:4052,Dacula High School,213,Too Few Students,Too Few Students,Too Few Students,Too Few Students,87,40.8,87,40.8,52,24.4,126,59.2,14,6.6,52,24.4
667:4056,Norcross Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,90.9,Too Few Students,Too Few Students,0,0,0,0
667:4058,Summerour Middle School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
667:409,Puckett's Mill Elementary School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,84.6,0,0,10,76.9
667:4556,North Gwinnett High School,313,Too Few Students,Too Few Students,41,13.1,60,19.2,127,40.6,99,31.6,186,59.4,10,3.2,102,32.6
667:494,Simpson Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:495,Kanoheda Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
667:497,McConnell Middle School,14,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:498,Taylor Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:505,Sycamore Elementary School,12,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:5054,Lawrenceville Elementary School,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:5056,Peachtree Elementary School,19,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,57.9,10,52.6,0,0,0,0
667:5058,Suwanee Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:509,Trip Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:5550,Duluth High School,318,Too Few Students,Too Few Students,47,14.8,71,22.3,140,44,127,39.9,178,56,16,5,56,17.6
667:5554,Lilburn Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0,0,0,0,0
667:605,W. J. Cooper Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:608,Patrick Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:705,Parsons Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
667:708,Oakland Meadow School,71,0,0,Too Few Students,Too Few Students,27,38,31,43.7,Too Few Students,Too Few Students,40,56.3,0,0,35,49.3
667:805,Peachtree Ridge High School,172,0,0,33,19.2,58,33.7,81,47.1,43,25,91,52.9,Too Few Students,Too Few Students,34,19.8
667:808,Gwinnett School of Mathematics Science and Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667:905,Duluth Middle School ,48,Too Few Students,Too Few Students,Too Few Students,Too Few Students,20,41.7,14,29.2,22,45.8,34,70.8,Too Few Students,Too Few Students,Too Few Students,Too Few Students
667:908,New Life Academy of Excellence ,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
667:ALL,Gwinnett County,7202,49,0.7,448,6.2,2501,34.7,2872,39.9,2467,34.3,4330,60.1,259,3.6,1478,20.5
668:101,Cornelia Elementary School,11,0,0,0,0,0,0,Too Few Students,Too Few Students,11,100,Too Few Students,Too Few Students,0,0,0,0
668:105,Level Grove Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
668:1050,Baldwin Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
668:106,9th Grade Academy,21,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,14,66.7,0,0,13,61.9
668:189,Clarkesville Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
668:196,North Habersham Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
668:201,Demorest Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
668:2052,Habersham Central High School,71,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,20,28.2,26,36.6,51,71.8,0,0,43,60.6
668:296,South Habersham Middle School,Too Few Students,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
668:3054,Woodville Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students
668:5050,Fairview Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students
