SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Asian,Retained Total Asian,Retained Percent Asian,Retained Black,Retained Total Black,Retained Percent Black,Retained Female,Retained Total Female,Retained Percent Female,Retained Hispanic,Retained Total Hispanic,Retained Percent Hispanic,Retained Male,Retained Total Male,Retained Percent Male,Retained Multiracial,Retained Total Multiracial,Retained Percent Multiracial,Retained White,Retained Total White,Retained Percent White
693:1050,Lumpkin County Middle School,23,0,0,23,0,0,23,1,4.3,23,5,21.7,23,0,0,23,18,78.3,23,0,0,23,22,95.7
693:2050,Lumpkin County Elementary School,4,0,0,4,0,0,4,0,0,4,1,25,4,0,0,4,3,75,4,0,0,4,4,100
694:199,Macon County Middle School,10,0,0,10,0,0,10,10,100,10,2,20,10,0,0,10,8,80,10,0,0,10,0,0
694:2060,Macon County High School,126,0,0,126,1,0.8,126,112,88.9,126,48,38.1,126,1,0.8,126,78,61.9,126,0,0,126,12,9.5
694:ALL,Macon County,156,0,0,156,1,0.6,156,140,89.7,156,58,37.2,156,1,0.6,156,98,62.8,156,0,0,156,14,9
695:1052,Madison County Middle School,1,0,0,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,0,0,1,1,100
695:2050,Comer Elementary School,6,0,0,6,0,0,6,1,16.7,6,3,50,6,0,0,6,3,50,6,0,0,6,5,83.3
695:ALL,Madison County,112,0,0,112,0,0,112,6,5.4,112,44,39.3,112,6,5.4,112,68,60.7,112,1,0.9,112,99,88.4
696:175,Marion Middle School,51,0,0,51,0,0,51,15,29.4,51,16,31.4,51,4,7.8,51,35,68.6,51,0,0,51,32,62.7
696:197,L. K. Moss Primary School,39,0,0,39,2,5.1,39,21,53.8,39,10,25.6,39,4,10.3,39,29,74.4,39,0,0,39,12,30.8
697:194,Thomson Middle School,21,0,0,21,1,4.8,21,13,61.9,21,8,38.1,21,0,0,21,13,61.9,21,0,0,21,7,33.3
697:4050,Thomson Elementary School,40,0,0,40,0,0,40,25,62.5,40,19,47.5,40,0,0,40,21,52.5,40,0,0,40,15,37.5
698:201,McIntosh County Academy High School,23,0,0,23,0,0,23,12,52.2,23,10,43.5,23,1,4.3,23,13,56.5,23,0,0,23,10,43.5
698:4050,Todd Grant Elementary School,22,0,0,22,0,0,22,11,50,22,6,27.3,22,0,0,22,16,72.7,22,0,0,22,11,50
698:ALL,McIntosh County,86,0,0,86,0,0,86,50,58.1,86,24,27.9,86,1,1.2,86,62,72.1,86,0,0,86,35,40.7
699:200,Mountain View Elementary School,23,0,0,23,0,0,23,11,47.8,23,7,30.4,23,0,0,23,16,69.6,23,1,4.3,23,11,47.8
699:300,Greenville High School,35,0,0,35,0,0,35,24,68.6,35,14,40,35,0,0,35,21,60,35,0,0,35,11,31.4
699:400,Greenville Middle School,12,0,0,12,0,0,12,10,83.3,12,2,16.7,12,0,0,12,10,83.3,12,0,0,12,2,16.7
699:5050,Manchester Middle School,3,0,0,3,0,0,3,3,100,3,3,100,3,0,0,3,0,0,3,0,0,3,0,0
700:101,Miller County Middle School,38,0,0,38,0,0,38,25,65.8,38,12,31.6,38,0,0,38,26,68.4,38,0,0,38,13,34.2
700:276,Miller County Elementary School,14,0,0,14,0,0,14,8,57.1,14,4,28.6,14,0,0,14,10,71.4,14,0,0,14,6,42.9
701:101,Baconton Community Charter School,21,0,0,21,0,0,21,0,0,21,10,47.6,21,0,0,21,11,52.4,21,1,4.8,21,20,95.2
701:ALL,Mitchell County,169,0,0,169,0,0,169,119,70.4,169,67,39.6,169,2,1.2,169,102,60.4,169,2,1.2,169,46,27.2
702:1050,Hubbard Elementary School,35,0,0,35,0,0,35,20,57.1,35,19,54.3,35,1,2.9,35,16,45.7,35,0,0,35,14,40
702:177,Banks Stephens Middle School,7,0,0,7,0,0,7,0,0,7,1,14.3,7,0,0,7,6,85.7,7,0,0,7,7,100
702:ALL,Monroe County,169,0,0,169,1,0.6,169,83,49.1,169,71,42,169,3,1.8,169,98,58,169,0,0,169,82,48.5
703:201,Montgomery Co. High,27,0,0,27,0,0,27,9,33.3,27,10,37,27,3,11.1,27,17,63,27,0,0,27,15,55.6
703:2050,Montgomery County Elementary School,15,0,0,15,0,0,15,9,60,15,3,20,15,1,6.7,15,12,80,15,0,0,15,5,33.3
703:ALL,Montgomery County,42,0,0,42,0,0,42,18,42.9,42,13,31,42,4,9.5,42,29,69,42,0,0,42,20,47.6
704:1050,Morgan County High School,53,0,0,53,0,0,53,30,56.6,53,16,30.2,53,0,0,53,37,69.8,53,1,1.9,53,22,41.5
704:3050,Morgan County Primary School,23,0,0,23,0,0,23,8,34.8,23,12,52.2,23,0,0,23,11,47.8,23,0,0,23,15,65.2
705:4050,Gladden Middle School,3,0,0,3,0,0,3,0,0,3,1,33.3,3,1,33.3,3,2,66.7,3,0,0,3,2,66.7
705:ALL,Murray County,243,0,0,243,0,0,243,0,0,243,81,33.3,243,49,20.2,243,162,66.7,243,0,0,243,194,79.8
706:1056,Cusseta Road Elementary School,15,0,0,15,0,0,15,14,93.3,15,2,13.3,15,0,0,15,13,86.7,15,0,0,15,1,6.7
706:1058,Dimon Elementary,5,0,0,5,0,0,5,5,100,5,1,20,5,0,0,5,4,80,5,0,0,5,0,0
706:1060,Edgewood Elementary School,12,0,0,12,0,0,12,10,83.3,12,4,33.3,12,0,0,12,8,66.7,12,0,0,12,2,16.7
706:1066,Reese Road Elementary School,9,0,0,9,0,0,9,6,66.7,9,4,44.4,9,0,0,9,5,55.6,9,0,0,9,3,33.3
706:178,Fort Middle School,17,0,0,17,0,0,17,15,88.2,17,5,29.4,17,0,0,17,12,70.6,17,0,0,17,2,11.8
706:180,Marshall Middle School,73,0,0,73,1,1.4,73,71,97.3,73,16,21.9,73,0,0,73,57,78.1,73,0,0,73,1,1.4
706:191,Hannan Elementary,7,0,0,7,0,0,7,7,100,7,1,14.3,7,0,0,7,6,85.7,7,0,0,7,0,0
706:192,Brewer Elementary School,25,0,0,25,0,0,25,25,100,25,14,56,25,0,0,25,11,44,25,0,0,25,0,0
706:200,"Martin Luther King, Jr. Elementary School",23,0,0,23,0,0,23,16,69.6,23,10,43.5,23,5,21.7,23,13,56.5,23,1,4.3,23,1,4.3
706:2054,Clubview Elementary School,7,0,0,7,0,0,7,0,0,7,1,14.3,7,0,0,7,6,85.7,7,0,0,7,7,100
706:2064,Key Elementary School,6,0,0,6,0,0,6,6,100,6,3,50,6,0,0,6,3,50,6,0,0,6,0,0
706:2065,Muscogee Elementary School,8,0,0,8,0,0,8,8,100,8,6,75,8,0,0,8,2,25,8,0,0,8,0,0
706:2066,Richards Middle School,40,0,0,40,1,2.5,40,22,55,40,15,37.5,40,4,10,40,25,62.5,40,0,0,40,13,32.5
706:2067,Rothschild Middle School,38,0,0,38,0,0,38,37,97.4,38,8,21.1,38,0,0,38,30,78.9,38,1,2.6,38,0,0
706:296,Downtown Elementary Magnet Academy,4,0,0,4,0,0,4,4,100,4,2,50,4,0,0,4,2,50,4,0,0,4,0,0
706:3054,Columbus High School,1,0,0,1,0,0,1,1,100,1,1,100,1,0,0,1,0,0,1,0,0,1,0,0
706:401,Double Churches Middle School,55,0,0,55,0,0,55,30,54.5,55,16,29.1,55,2,3.6,55,39,70.9,55,1,1.8,55,22,40
706:4058,Eastway Elementary School,27,0,0,27,0,0,27,22,81.5,27,10,37,27,1,3.7,27,17,63,27,1,3.7,27,3,11.1
706:4062,Johnson Elementary School,13,0,0,13,0,0,13,9,69.2,13,8,61.5,13,0,0,13,5,38.5,13,0,0,13,4,30.8
706:4067,South Columbus Elementary School,25,0,0,25,1,4,25,20,80,25,7,28,25,3,12,25,18,72,25,0,0,25,1,4
706:4070,Wynnton Elementary School,12,0,0,12,0,0,12,8,66.7,12,9,75,12,0,0,12,3,25,12,0,0,12,4,33.3
706:501,Midland Academy,8,0,0,8,0,0,8,1,12.5,8,4,50,8,0,0,8,4,50,8,1,12.5,8,6,75
706:5050,Benning Hills Elementary School,6,0,0,6,0,0,6,5,83.3,6,4,66.7,6,0,0,6,2,33.3,6,0,0,6,1,16.7
706:5056,Dawson Elementary School,11,0,0,11,0,0,11,9,81.8,11,2,18.2,11,0,0,11,9,81.8,11,1,9.1,11,1,9.1
706:5058,Eddy Middle School,69,0,0,69,0,0,69,63,91.3,69,25,36.2,69,2,2.9,69,44,63.8,69,0,0,69,4,5.8
706:5060,Gentian Elementary School,9,0,0,9,0,0,9,4,44.4,9,3,33.3,9,0,0,9,6,66.7,9,0,0,9,5,55.6
706:5069,Wesley Heights Elementary School,16,0,0,16,0,0,16,15,93.8,16,4,25,16,0,0,16,12,75,16,0,0,16,1,6.3
706:ALL,Muscogee County,1734,4,0.2,1734,7,0.4,1734,1305,75.3,1734,678,39.1,1734,55,3.2,1734,1056,60.9,1734,18,1,1734,345,19.9
707:1050,East Newton Elementary School,8,0,0,8,1,12.5,8,3,37.5,8,3,37.5,8,0,0,8,5,62.5,8,0,0,8,4,50
707:1550,Ficquett Elementary School,23,0,0,23,0,0,23,12,52.2,23,6,26.1,23,0,0,23,17,73.9,23,0,0,23,11,47.8
707:196,Cousins Middle School,32,0,0,32,0,0,32,16,50,32,13,40.6,32,0,0,32,19,59.4,32,0,0,32,16,50
707:198,Middle Ridge Elementary School,13,0,0,13,0,0,13,8,61.5,13,4,30.8,13,0,0,13,9,69.2,13,0,0,13,5,38.5
707:3050,Livingston Elementary School,3,0,0,3,0,0,3,2,66.7,3,2,66.7,3,0,0,3,1,33.3,3,1,33.3,3,0,0
707:5050,Porterdale Elementary School,15,0,0,15,0,0,15,10,66.7,15,5,33.3,15,0,0,15,10,66.7,15,1,6.7,15,4,26.7
708:103,Rocky Branch Elementary School,8,0,0,8,1,12.5,8,0,0,8,3,37.5,8,1,12.5,8,5,62.5,8,0,0,8,6,75
708:1050,Oconee County Elementary School,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,3,100,3,0,0,3,3,100
708:193,Oconee County Middle School,14,0,0,14,1,7.1,14,3,21.4,14,1,7.1,14,0,0,14,13,92.9,14,0,0,14,10,71.4
709:2050,Oglethorpe County High School,40,0,0,40,0,0,40,20,50,40,20,50,40,0,0,40,20,50,40,0,0,40,20,50
709:3050,Oglethorpe County Middle School,13,0,0,13,0,0,13,7,53.8,13,6,46.2,13,0,0,13,7,53.8,13,0,0,13,6,46.2
709:ALL,Oglethorpe County,67,0,0,67,0,0,67,29,43.3,67,30,44.8,67,0,0,67,37,55.2,67,0,0,67,38,56.7
710:101,Hiram High School,360,3,0.8,360,0,0,360,85,23.6,360,131,36.4,360,7,1.9,360,229,63.6,360,1,0.3,360,264,73.3
710:1050,Dallas Elementary School,5,0,0,5,0,0,5,1,20,5,3,60,5,0,0,5,2,40,5,0,0,5,4,80
710:192,South Paulding Middle School,7,0,0,7,0,0,7,1,14.3,7,3,42.9,7,0,0,7,4,57.1,7,0,0,7,6,85.7
710:194,Floyd L. Shelton Elementary School at Crossroad,5,0,0,5,0,0,5,0,0,5,3,60,5,0,0,5,2,40,5,0,0,5,5,100
710:201,Lena Mae Moses Middle School,24,0,0,24,0,0,24,2,8.3,24,6,25,24,1,4.2,24,18,75,24,0,0,24,21,87.5
710:204,Roland W. Russom Elementary,6,0,0,6,0,0,6,0,0,6,4,66.7,6,0,0,6,2,33.3,6,0,0,6,6,100
710:297,J. A. Dobbins Middle School,47,1,2.1,47,0,0,47,12,25.5,47,19,40.4,47,0,0,47,28,59.6,47,0,0,47,34,72.3
710:3052,Abney Elementary School,3,0,0,3,0,0,3,0,0,3,1,33.3,3,0,0,3,2,66.7,3,0,0,3,3,100
710:392,Ritch Elementary School,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,5,100
710:4052,Union Elementary School,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,100,2,0,0,2,2,100
710:5050,Hiram Elementary School,4,0,0,4,0,0,4,1,25,4,0,0,4,0,0,4,4,100,4,0,0,4,3,75
710:ALL,Paulding County,1054,5,0.5,1054,2,0.2,1054,177,16.8,1054,374,35.5,1054,19,1.8,1054,680,64.5,1054,5,0.5,1054,846,80.3
711:1050,Byron Elementary School,20,0,0,20,0,0,20,2,10,20,11,55,20,4,20,20,9,45,20,0,0,20,14,70
711:391,Hunt Elementary School,4,0,0,4,0,0,4,3,75,4,3,75,4,0,0,4,1,25,4,0,0,4,1,25
711:ALL,Peach County,232,0,0,232,2,0.9,232,153,65.9,232,103,44.4,232,13,5.6,232,129,55.6,232,1,0.4,232,63,27.2
712:103,Hill City Elementary School,9,0,0,9,0,0,9,0,0,9,2,22.2,9,0,0,9,7,77.8,9,0,0,9,9,100
712:189,Pickens County Middle School,9,0,0,9,0,0,9,0,0,9,4,44.4,9,0,0,9,5,55.6,9,0,0,9,9,100
712:198,Pickens County High School,72,0,0,72,0,0,72,2,2.8,72,25,34.7,72,1,1.4,72,47,65.3,72,0,0,72,69,95.8
712:303,Tate Elementary School,4,0,0,4,0,0,4,0,0,4,2,50,4,0,0,4,2,50,4,0,0,4,4,100
713:197,Pierce County Middle School,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,5,100
713:297,Blackshear Elementary School,17,0,0,17,0,0,17,1,5.9,17,5,29.4,17,0,0,17,12,70.6,17,0,0,17,16,94.1
713:4050,Patterson Elementary School,6,0,0,6,0,0,6,1,16.7,6,1,16.7,6,2,33.3,6,5,83.3,6,0,0,6,3,50
714:101,Pike County Elementary School,2,0,0,2,0,0,2,1,50,2,2,100,2,0,0,2,0,0,2,0,0,2,1,50
714:194,Pike County High School,69,0,0,69,0,0,69,16,23.2,69,25,36.2,69,2,2.9,69,44,63.8,69,0,0,69,51,73.9
714:ALL,Pike County,95,0,0,95,1,1.1,95,20,21.1,95,33,34.7,95,2,2.1,95,62,65.3,95,0,0,95,72,75.8
715:1056,Elm Street Middle School,31,0,0,31,0,0,31,8,25.8,31,12,38.7,31,1,3.2,31,19,61.3,31,0,0,31,22,71
715:188,Northside Elementary,6,0,0,6,0,0,6,0,0,6,1,16.7,6,2,33.3,6,5,83.3,6,0,0,6,4,66.7
715:274,Eastside Elementary School,17,0,0,17,0,0,17,2,11.8,17,7,41.2,17,0,0,17,10,58.8,17,0,0,17,15,88.2
715:5050,Cedartown High School,68,0,0,68,0,0,68,22,32.4,68,26,38.2,68,12,17.6,68,42,61.8,68,0,0,68,34,50
715:ALL,Polk School District,263,0,0,263,0,0,263,65,24.7,263,95,36.1,263,43,16.3,263,168,63.9,263,1,0.4,263,154,58.6
716:2050,Hawkinsville High School,25,0,0,25,0,0,25,17,68,25,10,40,25,0,0,25,15,60,25,0,0,25,8,32
717:276,Putnam County High School,97,0,0,97,0,0,97,53,54.6,97,35,36.1,97,4,4.1,97,62,63.9,97,0,0,97,40,41.2
719:1050,Clayton Elementary School,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,100,2,0,0,2,2,100
719:177,Rabun County High School,23,0,0,23,0,0,23,0,0,23,7,30.4,23,0,0,23,16,69.6,23,0,0,23,23,100
719:5050,South Rabun Elementary School,17,0,0,17,0,0,17,0,0,17,7,41.2,17,4,23.5,17,10,58.8,17,0,0,17,13,76.5
719:ALL,Rabun County,64,0,0,64,0,0,64,0,0,64,19,29.7,64,7,10.9,64,45,70.3,64,1,1.6,64,56,87.5
720:201,Randolph Clay High School,41,0,0,41,0,0,41,39,95.1,41,14,34.1,41,0,0,41,27,65.9,41,0,0,41,2,4.9
720:2050,Randolph County Elementary School,20,0,0,20,0,0,20,17,85,20,5,25,20,1,5,20,15,75,20,0,0,20,2,10
720:ALL,Randolph County,69,0,0,69,0,0,69,64,92.8,69,21,30.4,69,1,1.4,69,48,69.6,69,0,0,69,4,5.8
721:102,Hephzibah Elementary School,11,0,0,11,0,0,11,3,27.3,11,6,54.5,11,0,0,11,5,45.5,11,0,0,11,8,72.7
721:104,Wilkinson Gardens Elementary School,2,0,0,2,0,0,2,2,100,2,0,0,2,0,0,2,2,100,2,0,0,2,0,0
721:1052,Butler High School,137,0,0,137,0,0,137,101,73.7,137,53,38.7,137,2,1.5,137,84,61.3,137,3,2.2,137,31,22.6
721:1054,Garrett Elementary School,6,0,0,6,0,0,6,3,50,6,2,33.3,6,0,0,6,4,66.7,6,0,0,6,3,50
721:1064,Walker Traditional Elementary School,6,0,0,6,0,0,6,3,50,6,3,50,6,1,16.7,6,3,50,6,0,0,6,2,33.3
721:1156,Hephzibah Middle School,54,1,1.9,54,0,0,54,10,18.5,54,19,35.2,54,3,5.6,54,35,64.8,54,1,1.9,54,39,72.2
721:177,Meadowbrook Elementary School,9,0,0,9,0,0,9,9,100,9,2,22.2,9,0,0,9,7,77.8,9,0,0,9,0,0
721:190,Collins Elementary School,23,0,0,23,0,0,23,23,100,23,2,8.7,23,0,0,23,21,91.3,23,0,0,23,0,0
721:197,Glenn Hills Middle School,28,0,0,28,0,0,28,26,92.9,28,10,35.7,28,1,3.6,28,18,64.3,28,0,0,28,1,3.6
721:2052,Copeland Elementary School,3,0,0,3,0,0,3,3,100,3,1,33.3,3,0,0,3,2,66.7,3,0,0,3,0,0
721:2064,Warren Road Elementary School,7,0,0,7,0,0,7,3,42.9,7,3,42.9,7,0,0,7,4,57.1,7,0,0,7,4,57.1
721:2562,East Augusta Middle School,19,0,0,19,0,0,19,19,100,19,8,42.1,19,0,0,19,11,57.9,19,0,0,19,0,0
721:2574,Westside High School,63,0,0,63,0,0,63,43,68.3,63,24,38.1,63,1,1.6,63,39,61.9,63,1,1.6,63,18,28.6
721:290,Willis Foreman Elementary School,13,0,0,13,0,0,13,9,69.2,13,5,38.5,13,0,0,13,8,61.5,13,0,0,13,4,30.8
721:294,Tobacco Road Elementary School,6,0,0,6,0,0,6,5,83.3,6,2,33.3,6,0,0,6,4,66.7,6,0,0,6,1,16.7
721:300,Lake Forest Hills Elementary School,8,0,0,8,0,0,8,6,75,8,5,62.5,8,1,12.5,8,3,37.5,8,0,0,8,1,12.5
721:3050,Bayvale Elementary School,7,0,0,7,0,0,7,6,85.7,7,2,28.6,7,0,0,7,5,71.4,7,1,14.3,7,0,0
721:3058,Milledge Elementary School,7,0,0,7,0,0,7,6,85.7,7,4,57.1,7,0,0,7,3,42.9,7,0,0,7,1,14.3
721:3062,Sego Middle School,5,0,0,5,0,0,5,5,100,5,2,40,5,0,0,5,3,60,5,0,0,5,0,0
721:3756,Josey High School,119,0,0,119,1,0.8,119,115,96.6,119,46,38.7,119,1,0.8,119,73,61.3,119,0,0,119,2,1.7
721:4054,Gracewood Elementary School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
721:4056,Lamar Elementary School,12,0,0,12,0,0,12,12,100,12,7,58.3,12,0,0,12,5,41.7,12,0,0,12,0,0
721:4060,Academy of Richmond County High School,115,1,0.9,115,0,0,115,88,76.5,115,37,32.2,115,0,0,115,78,67.8,115,4,3.5,115,22,19.1
721:4064,Wheeless Road Elementary School,10,0,0,10,0,0,10,10,100,10,5,50,10,0,0,10,5,50,10,0,0,10,0,0
721:5054,Hains Elementary School,1,0,0,1,0,0,1,1,100,1,1,100,1,0,0,1,0,0,1,0,0,1,0,0
721:5564,Tutt Middle School,33,0,0,33,0,0,33,24,72.7,33,11,33.3,33,0,0,33,22,66.7,33,0,0,33,9,27.3
721:5566,Laney High School,75,0,0,75,0,0,75,75,100,75,35,46.7,75,0,0,75,40,53.3,75,0,0,75,0,0
722:102,Peek's Chapel Elementary,4,0,0,4,0,0,4,3,75,4,1,25,4,0,0,4,3,75,4,0,0,4,1,25
722:174,Honey Creek Elementary School,12,0,0,12,0,0,12,6,50,12,3,25,12,0,0,12,9,75,12,0,0,12,6,50
722:194,Shoal Creek Elementary School,2,0,0,2,0,0,2,1,50,2,0,0,2,0,0,2,2,100,2,0,0,2,1,50
722:197,Lorraine Elementary School,13,0,0,13,1,7.7,13,3,23.1,13,6,46.2,13,0,0,13,7,53.8,13,0,0,13,9,69.2
722:278,Conyers Middle School,92,0,0,92,0,0,92,51,55.4,92,29,31.5,92,4,4.3,92,63,68.5,92,3,3.3,92,34,37
722:289,Hightower Trail Elementary School,2,0,0,2,0,0,2,1,50,2,2,100,2,0,0,2,0,0,2,0,0,2,1,50
722:3052,Rockdale County High School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
722:378,Edwards Middle School,106,0,0,106,2,1.9,106,42,39.6,106,47,44.3,106,20,18.9,106,59,55.7,106,2,1.9,106,40,37.7
722:4050,Hicks Elementary School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
722:5050,House Elementary School,12,0,0,12,0,0,12,0,0,12,5,41.7,12,5,41.7,12,7,58.3,12,1,8.3,12,6,50
723:101,Schley Middle High School,21,0,0,21,0,0,21,3,14.3,21,9,42.9,21,1,4.8,21,12,57.1,21,0,0,21,17,81
723:ALL,Schley County,55,0,0,55,0,0,55,15,27.3,55,19,34.5,55,1,1.8,55,36,65.5,55,0,0,55,39,70.9
724:191,Screven County Elementary School,14,0,0,14,0,0,14,9,64.3,14,7,50,14,1,7.1,14,7,50,14,0,0,14,4,28.6
724:197,Screven County Middle School,22,0,0,22,0,0,22,15,68.2,22,4,18.2,22,0,0,22,18,81.8,22,0,0,22,7,31.8
724:4052,Screven County High School,55,0,0,55,0,0,55,43,78.2,55,19,34.5,55,0,0,55,36,65.5,55,0,0,55,12,21.8
724:ALL,Screven County,91,0,0,91,0,0,91,67,73.6,91,30,33,91,1,1.1,91,61,67,91,0,0,91,23,25.3
725:196,Seminole County Middle/High School,73,0,0,73,1,1.4,73,49,67.1,73,25,34.2,73,1,1.4,73,48,65.8,73,0,0,73,22,30.1
726:101,Spalding High School,152,0,0,152,0,0,152,62,40.8,152,60,39.5,152,3,2,152,92,60.5,152,0,0,152,87,57.2
726:1054,Flynt Middle School,33,0,0,33,0,0,33,25,75.8,33,11,33.3,33,1,3,33,22,66.7,33,0,0,33,7,21.2
726:195,Jordan Hill Road Elementary School,17,0,0,17,0,0,17,6,35.3,17,4,23.5,17,1,5.9,17,13,76.5,17,0,0,17,10,58.8
726:2054,A.Z. Kelsey Middle School,7,0,0,7,0,0,7,7,100,7,4,57.1,7,0,0,7,3,42.9,7,0,0,7,0,0
726:2552,Moore Elementary School,106,0,0,106,0,0,106,105,99.1,106,43,40.6,106,0,0,106,63,59.4,106,0,0,106,1,0.9
727:295,Eastanollee Elementary School,17,0,0,17,0,0,17,0,0,17,7,41.2,17,3,17.6,17,10,58.8,17,0,0,17,14,82.4
727:5050,Stephens County High School,120,0,0,120,0,0,120,25,20.8,120,39,32.5,120,1,0.8,120,81,67.5,120,1,0.8,120,93,77.5
727:ALL,Stephens County,204,0,0,204,0,0,204,35,17.2,204,78,38.2,204,4,2,204,126,61.8,204,3,1.5,204,162,79.4
728:201,Stewart-Quitman High School,10,0,0,10,0,0,10,10,100,10,6,60,10,0,0,10,4,40,10,0,0,10,0,0
729:195,Americus High School,92,0,0,92,0,0,92,79,85.9,92,48,52.2,92,0,0,92,44,47.8,92,0,0,92,13,14.1
729:395,Sarah Cobb Elementary School,4,0,0,4,0,0,4,4,100,4,0,0,4,0,0,4,4,100,4,0,0,4,0,0
729:595,Staley Middle School,8,0,0,8,0,0,8,8,100,8,6,75,8,0,0,8,2,25,8,0,0,8,0,0
730:190,Central Elementary/High School,46,0,0,46,0,0,46,43,93.5,46,16,34.8,46,0,0,46,30,65.2,46,1,2.2,46,2,4.3
731:102,Taliaferro County School,8,0,0,8,0,0,8,8,100,8,1,12.5,8,0,0,8,7,87.5,8,0,0,8,0,0
732:101,Reidsville Middle School,3,0,0,3,0,0,3,0,0,3,2,66.7,3,0,0,3,1,33.3,3,0,0,3,3,100
732:194,Tattnall County High School,82,0,0,82,1,1.2,82,29,35.4,82,28,34.1,82,14,17.1,82,54,65.9,82,3,3.7,82,35,42.7
732:201,Glennville Middle School,14,0,0,14,0,0,14,13,92.9,14,3,21.4,14,0,0,14,11,78.6,14,0,0,14,1,7.1
732:401,Collins Middle School,5,0,0,5,0,0,5,0,0,5,2,40,5,4,80,5,3,60,5,0,0,5,1,20
732:601,Reidsville Elementary School,10,0,0,10,0,0,10,3,30,10,4,40,10,7,70,10,6,60,10,0,0,10,0,0
732:ALL,Tattnall County,134,0,0,134,1,0.7,134,53,39.6,134,46,34.3,134,31,23.1,134,88,65.7,134,3,2.2,134,46,34.3
733:178,Taylor County Elementary School,47,0,0,47,0,0,47,24,51.1,47,13,27.7,47,0,0,47,34,72.3,47,0,0,47,23,48.9
746:190,Ridgeland High School,119,0,0,119,0,0,119,12,10.1,119,42,35.3,119,1,0.8,119,77,64.7,119,1,0.8,119,105,88.2
746:199,Cherokee Ridge Elementary,4,0,0,4,0,0,4,0,0,4,1,25,4,0,0,4,3,75,4,0,0,4,4,100
746:200,North LaFayette Elementary School,20,0,0,20,0,0,20,2,10,20,8,40,20,0,0,20,12,60,20,1,5,20,17,85
746:2052,Fairyland Elementary School,5,0,0,5,0,0,5,1,20,5,1,20,5,0,0,5,4,80,5,0,0,5,4,80
746:390,Rossville Middle School,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,3,100,3,0,0,3,3,100
746:4050,Chattanooga Valley Elementary School,14,0,0,14,0,0,14,0,0,14,4,28.6,14,0,0,14,10,71.4,14,0,0,14,14,100
746:ALL,Walker County,285,0,0,285,1,0.4,285,21,7.4,285,107,37.5,285,1,0.4,285,178,62.5,285,7,2.5,285,255,89.5
747:176,Loganville Primary School,2,0,0,2,0,0,2,1,50,2,1,50,2,0,0,2,1,50,2,0,0,2,1,50
747:199,Loganville High School,108,0,0,108,0,0,108,3,2.8,108,44,40.7,108,1,0.9,108,64,59.3,108,1,0.9,108,103,95.4
747:291,Loganville Middle School,19,0,0,19,0,0,19,1,5.3,19,5,26.3,19,0,0,19,14,73.7,19,0,0,19,18,94.7
747:4050,Monroe High School,122,0,0,122,4,3.3,122,57,46.7,122,47,38.5,122,1,0.8,122,75,61.5,122,1,0.8,122,59,48.4
747:5050,Monroe Elementary School,3,0,0,3,0,0,3,2,66.7,3,2,66.7,3,0,0,3,1,33.3,3,0,0,3,1,33.3
748:195,Ware County High School,141,1,0.7,141,0,0,141,72,51.1,141,66,46.8,141,3,2.1,141,75,53.2,141,0,0,141,65,46.1
748:196,Williams Heights Elementary School,7,0,0,7,0,0,7,5,71.4,7,1,14.3,7,0,0,7,6,85.7,7,0,0,7,2,28.6
748:295,Waycross Middle School,36,0,0,36,0,0,36,25,69.4,36,8,22.2,36,0,0,36,28,77.8,36,0,0,36,11,30.6
748:296,Center Elementary School,14,0,0,14,0,0,14,9,64.3,14,5,35.7,14,0,0,14,9,64.3,14,0,0,14,5,35.7
748:3052,Waresboro Elementary School,7,0,0,7,0,0,7,4,57.1,7,1,14.3,7,0,0,7,6,85.7,7,0,0,7,3,42.9
748:5050,Wacona Elementary School,26,0,0,26,1,3.8,26,7,26.9,26,8,30.8,26,0,0,26,18,69.2,26,0,0,26,18,69.2
749:2050,Warren County High School,67,0,0,67,0,0,67,63,94,67,22,32.8,67,0,0,67,45,67.2,67,1,1.5,67,3,4.5
749:ALL,Warren County,140,0,0,140,0,0,140,134,95.7,140,48,34.3,140,0,0,140,92,65.7,140,1,0.7,140,5,3.6
750:1052,Washington County High School,5,0,0,5,0,0,5,4,80,5,3,60,5,0,0,5,2,40,5,0,0,5,1,20
750:ALL,Washington County,45,0,0,45,0,0,45,34,75.6,45,18,40,45,0,0,45,27,60,45,1,2.2,45,10,22.2
751:1050,Jesup Elementary School,24,0,0,24,0,0,24,8,33.3,24,10,41.7,24,2,8.3,24,14,58.3,24,0,0,24,14,58.3
