"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","YR8_CREDENTIAL","YR8_CREDENTIAL_PCT"
2007,"606","Banks County","ALL","All Banks County High Schools","Bachelors",9.6
2007,"606","Banks County","ALL","All Banks County High Schools","Associates",13.9
2007,"606","Banks County","ALL","All Banks County High Schools","Other Credential",1.7
2007,"606","Banks County","ALL","All Banks County High Schools","Certificate",0.9
2007,"606","Banks County","ALL","All Banks County High Schools","No Postsecondary Credential/Enrolled",5.2
2007,"614","Brooks County","2050","Brooks County High School","No Postsecondary Credential/Not Enrolled",59.3
2007,"614","Brooks County","2050","Brooks County High School","Associates",11.6
2007,"614","Brooks County","2050","Brooks County High School","Certificate",4.7
2007,"614","Brooks County","2050","Brooks County High School","No Postsecondary Credential/Enrolled",8.1
2007,"614","Brooks County","2050","Brooks County High School","Bachelors",16.3
2007,"615","Bryan County","0182","Richmond Hill High School","No Postsecondary Credential/Enrolled",4.8
2007,"615","Bryan County","0182","Richmond Hill High School","Masters or Higher",4.1
2007,"615","Bryan County","0182","Richmond Hill High School","Associates",5.2
2007,"615","Bryan County","0182","Richmond Hill High School","Other Credential",1.5
2007,"615","Bryan County","0182","Richmond Hill High School","Bachelors",37.6
2007,"615","Bryan County","0182","Richmond Hill High School","No Postsecondary Credential/Not Enrolled",43.5
2007,"615","Bryan County","0182","Richmond Hill High School","Certificate",3.3
2007,"615","Bryan County","ALL","All Bryan County High Schools","Other Credential",1.1
2007,"615","Bryan County","ALL","All Bryan County High Schools","No Postsecondary Credential/Enrolled",5.5
2007,"615","Bryan County","ALL","All Bryan County High Schools","Bachelors",31.4
2007,"615","Bryan County","ALL","All Bryan County High Schools","Certificate",4
2007,"615","Bryan County","ALL","All Bryan County High Schools","Associates",6.3
2007,"615","Bryan County","ALL","All Bryan County High Schools","No Postsecondary Credential/Not Enrolled",48
2007,"615","Bryan County","ALL","All Bryan County High Schools","Masters or Higher",3.7
2007,"617","Burke County","0288","Burke County High School","Masters or Higher",1.8
2007,"617","Burke County","0288","Burke County High School","Certificate",6
2007,"617","Burke County","0288","Burke County High School","No Postsecondary Credential/Not Enrolled",50.6
2007,"617","Burke County","0288","Burke County High School","Associates",18.7
2007,"617","Burke County","0288","Burke County High School","Bachelors",16.3
2007,"617","Burke County","0288","Burke County High School","Other Credential",0.6
2007,"617","Burke County","0288","Burke County High School","No Postsecondary Credential/Enrolled",6
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Other Credential",2.8
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Associates",16.7
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Bachelors",25
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","No Postsecondary Credential/Not Enrolled",47.2
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","No Postsecondary Credential/Enrolled",8.3
2007,"620","Camden County","0295","Camden County High School","Masters or Higher",3.6
2007,"620","Camden County","0295","Camden County High School","No Postsecondary Credential/Not Enrolled",54.7
2007,"620","Camden County","0295","Camden County High School","Bachelors",26.3
2007,"620","Camden County","0295","Camden County High School","Associates",6.1
2007,"620","Camden County","0295","Camden County High School","No Postsecondary Credential/Enrolled",5.7
2007,"620","Camden County","0295","Camden County High School","Certificate",3
2007,"620","Camden County","0295","Camden County High School","Other Credential",0.6
2007,"621","Candler County","0101","Metter High School","Bachelors",10.2
2007,"621","Candler County","0101","Metter High School","No Postsecondary Credential/Not Enrolled",62.7
2007,"621","Candler County","0101","Metter High School","No Postsecondary Credential/Enrolled",8.5
2007,"621","Candler County","0101","Metter High School","Associates",10.2
2007,"621","Candler County","0101","Metter High School","Masters or Higher",3.4
2007,"621","Candler County","0101","Metter High School","Certificate",5.1
2007,"622","Carroll County","ALL","All Carroll County High Schools","Masters or Higher",1.9
2007,"622","Carroll County","ALL","All Carroll County High Schools","No Postsecondary Credential/Not Enrolled",56.5
2007,"622","Carroll County","ALL","All Carroll County High Schools","Associates",7.3
2007,"622","Carroll County","ALL","All Carroll County High Schools","Bachelors",21.2
2007,"622","Carroll County","ALL","All Carroll County High Schools","No Postsecondary Credential/Enrolled",7.3
2007,"622","Carroll County","ALL","All Carroll County High Schools","Certificate",5.4
2007,"622","Carroll County","ALL","All Carroll County High Schools","Other Credential",0.3
2007,"625","Savannah-Chatham County","0101","Johnson High School","Bachelors",26.7
2007,"625","Savannah-Chatham County","0101","Johnson High School","Associates",5.6
2007,"625","Savannah-Chatham County","0101","Johnson High School","Certificate",9.2
2007,"625","Savannah-Chatham County","0101","Johnson High School","Masters or Higher",2.6
2007,"625","Savannah-Chatham County","0101","Johnson High School","No Postsecondary Credential/Enrolled",9.7
2007,"625","Savannah-Chatham County","0101","Johnson High School","No Postsecondary Credential/Not Enrolled",46.2
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Certificate",3.4
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","No Postsecondary Credential/Enrolled",4.8
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","No Postsecondary Credential/Not Enrolled",26
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Bachelors",58.2
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Masters or Higher",4.8
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Associates",2.7
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","No Postsecondary Credential/Enrolled",8.2
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Other Credential",0.7
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","No Postsecondary Credential/Not Enrolled",50.1
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Masters or Higher",3.1
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Bachelors",25.4
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Associates",5.4
