"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","OUT_OF_STATE_ENR_RANK"
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","University Of Tennessee Chattanooga",2
2007,"624","Charlton County","0287","Charlton County High School","Hutchinson Community College",1
2007,"624","Charlton County","0287","Charlton County High School","Middle Tennessee State University",2
2007,"624","Charlton County","0287","Charlton County High School","North Greenville University",2
2007,"624","Charlton County","0287","Charlton County High School","Purdue University - West Lafayette",2
2007,"624","Charlton County","0287","Charlton County High School","Southern Union State Community College",2
2007,"624","Charlton County","ALL","All Charlton County High Schools","Hutchinson Community College",1
2007,"624","Charlton County","ALL","All Charlton County High Schools","Middle Tennessee State University",2
2007,"624","Charlton County","ALL","All Charlton County High Schools","North Greenville University",2
2007,"624","Charlton County","ALL","All Charlton County High Schools","Purdue University - West Lafayette",2
2007,"624","Charlton County","ALL","All Charlton County High Schools","Southern Union State Community College",2
2007,"625","Savannah-Chatham County","0101","Johnson High School","Bethune-Cookman University",3
2007,"625","Savannah-Chatham County","0101","Johnson High School","Howard University",2
2007,"625","Savannah-Chatham County","0101","Johnson High School","Oakwood University",3
2007,"625","Savannah-Chatham County","0101","Johnson High School","Shaw University",1
2007,"625","Savannah-Chatham County","0101","Johnson High School","Technical College Of The Lowcountry",3
2007,"625","Savannah-Chatham County","0399","Savannah High School","Alabama A & M University",3
2007,"625","Savannah-Chatham County","0399","Savannah High School","Central Texas College-Traditional",3
2007,"625","Savannah-Chatham County","0399","Savannah High School","Shaw University",1
2007,"625","Savannah-Chatham County","0399","Savannah High School","South Carolina State University",1
2007,"625","Savannah-Chatham County","0399","Savannah High School","University Of Phoenix",3
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Clemson University",1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","College Of Charleston",1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","College Of William & Mary",1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Florida Southwestern State College",1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","New College Of Florida",1
2007,"625","Savannah-Chatham County","2052","Beach High School","Benedict College",1
2007,"625","Savannah-Chatham County","2052","Beach High School","Burlington County College",1
2007,"625","Savannah-Chatham County","2052","Beach High School","Claflin University",1
2007,"625","Savannah-Chatham County","2052","Beach High School","Shaw University",1
2007,"625","Savannah-Chatham County","2052","Beach High School","University Of Phoenix",1
2007,"625","Savannah-Chatham County","3056","Groves High School","Bowie State University",2
2007,"625","Savannah-Chatham County","3056","Groves High School","Florida State College At Jacksonville",2
2007,"625","Savannah-Chatham County","3056","Groves High School","Orangeburg-Calhoun Technical College",2
2007,"625","Savannah-Chatham County","3056","Groves High School","University Of Phoenix",1
2007,"625","Savannah-Chatham County","3056","Groves High School","University Of Texas At El Paso",2
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Cornell University",4
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Hampton University",1
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Oakwood University",2
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Santa Fe College",4
2007,"625","Savannah-Chatham County","5060","Jenkins High School","South Carolina State University",2
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Florida A&M University",1
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Southern University And A&M College",1
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","The Citadel Military College Of South C",1
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","University Of South Carolina",1
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Valencia College",1
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Hampton University",4
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Shaw University",2
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","South Carolina State University",3
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","University Of Phoenix",1
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","University Of South Carolina @ Beaufort",4
2007,"627","Chattooga County","1050","Chattooga High School","Jacksonville State University",1
2007,"627","Chattooga County","1050","Chattooga High School","Lee University",3
2007,"627","Chattooga County","1050","Chattooga High School","Thomas Nelson Community College",3
2007,"627","Chattooga County","1050","Chattooga High School","University Of Maine At Machias",3
2007,"627","Chattooga County","1050","Chattooga High School","Wofford College",2
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Alabama A & M University",3
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Jacksonville State University",1
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Lee University",3
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Thomas Nelson Community College",3
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Wofford College",2
2007,"628","Cherokee County","0176","Etowah High School","Auburn University",1
2007,"628","Cherokee County","0176","Etowah High School","Florida State University",3
2007,"628","Cherokee County","0176","Etowah High School","University Of Alabama",1
2007,"628","Cherokee County","0176","Etowah High School","University Of Arizona",3
2007,"628","Cherokee County","0176","Etowah High School","University Of Mississippi",3
2007,"628","Cherokee County","0191","Sequoyah High School","Auburn University",1
2007,"628","Cherokee County","0191","Sequoyah High School","Florida A&M University",4
2007,"628","Cherokee County","0191","Sequoyah High School","University Of Alabama",1
2007,"628","Cherokee County","0191","Sequoyah High School","University Of Mississippi",3
2007,"628","Cherokee County","0191","Sequoyah High School","Virginia Military Institute",4
2007,"628","Cherokee County","0194","Polaris Evening School","Gadsden State Community College",1
2007,"628","Cherokee County","0197","Woodstock High School","Auburn University",2
2007,"628","Cherokee County","0197","Woodstock High School","Clemson University",3
2007,"628","Cherokee County","0197","Woodstock High School","Kansas State University",4
2007,"628","Cherokee County","0197","Woodstock High School","University Of Alabama",1
2007,"628","Cherokee County","0197","Woodstock High School","University Of Tennessee",4
2007,"628","Cherokee County","5050","Cherokee High School","Auburn University",2
2007,"628","Cherokee County","5050","Cherokee High School","Housatonic Community College",2
2007,"628","Cherokee County","5050","Cherokee High School","Howard Community College",2
2007,"628","Cherokee County","5050","Cherokee High School","Jacksonville State University",2
2007,"628","Cherokee County","5050","Cherokee High School","University Of Alabama",1
2007,"628","Cherokee County","ALL","All Cherokee County High Schools","Auburn University",2
2007,"628","Cherokee County","ALL","All Cherokee County High Schools","Clemson University",4
2007,"628","Cherokee County","ALL","All Cherokee County High Schools","Mars Hill University",5
2007,"628","Cherokee County","ALL","All Cherokee County High Schools","University Of Alabama",1
2007,"628","Cherokee County","ALL","All Cherokee County High Schools","University Of Mississippi",3
2007,"629","Clarke County","0102","Cedar Shoals High School","Benedict College",1
2007,"629","Clarke County","0102","Cedar Shoals High School","College For Creative Studies",1
2007,"629","Clarke County","0102","Cedar Shoals High School","Macalester College",1
2007,"629","Clarke County","0102","Cedar Shoals High School","Mid Plains Community College",1
2007,"629","Clarke County","0102","Cedar Shoals High School","University Of Alabama",1
2007,"629","Clarke County","5556","Clarke Central High School","Dickinson College",3
2007,"629","Clarke County","5556","Clarke Central High School","Lawson State Community College",3
2007,"629","Clarke County","5556","Clarke Central High School","South Carolina State University",1
2007,"629","Clarke County","5556","Clarke Central High School","University Of North Carolina-Chapel Hil",1
2007,"629","Clarke County","5556","Clarke Central High School","Wesleyan University",3
2007,"629","Clarke County","ALL","All Clarke County High Schools","Copiah-Lincoln Community College",4
2007,"629","Clarke County","ALL","All Clarke County High Schools","Mid Plains Community College",2
2007,"629","Clarke County","ALL","All Clarke County High Schools","South Carolina State University",2
2007,"629","Clarke County","ALL","All Clarke County High Schools","University Of Alabama",4
2007,"629","Clarke County","ALL","All Clarke County High Schools","University Of North Carolina-Chapel Hil",1
2007,"631","Clayton County","0104","Mundy's Mill High School","Auburn University",4
2007,"631","Clayton County","0104","Mundy's Mill High School","Howard University",2
2007,"631","Clayton County","0104","Mundy's Mill High School","Marion Military Institute",1
2007,"631","Clayton County","0104","Mundy's Mill High School","South Carolina State University",2
2007,"631","Clayton County","0104","Mundy's Mill High School","University Of Arkansas At Pine Bluff",4
2007,"631","Clayton County","0190","Lovejoy High School","Bethune-Cookman University",2
2007,"631","Clayton County","0190","Lovejoy High School","Florida A&M University",1
2007,"631","Clayton County","0190","Lovejoy High School","South Carolina State University",4
2007,"631","Clayton County","0190","Lovejoy High School","Southern Methodist University",4
2007,"631","Clayton County","0190","Lovejoy High School","University Of Kentucky",3
2007,"631","Clayton County","0290","Mount Zion High School","Alabama State University",1
2007,"631","Clayton County","0290","Mount Zion High School","Jackson State University",2
2007,"631","Clayton County","0290","Mount Zion High School","Pikes Peak Community College",3
2007,"631","Clayton County","0290","Mount Zion High School","The Ohio State University",3
2007,"631","Clayton County","0290","Mount Zion High School","University Of Pittsburgh",3
2007,"631","Clayton County","0377","Riverdale High School","Alabama State University",1
