"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","GRADUATE_COUNT","LS_ENG_PCT","LS_MATH_PCT"
2007,"664","Gordon County","ALL","All Gordon County High Schools",290,17.4,34.9
2007,"665","Grady County","1050","Cairo High School",200,17.4,28.3
2007,"665","Grady County","ALL","All Grady County High Schools",200,17.4,28.3
2007,"666","Greene County","0401","Greene County High School",65,20.8,37.5
2007,"666","Greene County","ALL","All Greene County High Schools",65,20.8,37.5
2007,"667","Gwinnett County","0101","Grayson High School",491,6.1,15.8
2007,"667","Gwinnett County","0103","Norcross High School",399,4.5,6.3
2007,"667","Gwinnett County","0105","Mill Creek High School",534,8.7,16.3
2007,"667","Gwinnett County","0176","Parkview High School",522,8,14.8
2007,"667","Gwinnett County","0182","Brookwood High School",706,7.3,10.3
2007,"667","Gwinnett County","0185","Shiloh High School",383,6.5,18.9
2007,"667","Gwinnett County","0187","Meadowcreek High School",237,16.9,15.3
2007,"667","Gwinnett County","0189","Phoenix High School",231,18.1,37.3
2007,"667","Gwinnett County","0195","Collins Hill High School",661,6.3,12
2007,"667","Gwinnett County","0805","Peachtree Ridge High School",609,8.7,12.3
2007,"667","Gwinnett County","1050","Berkmar High School",342,13.3,24.8
2007,"667","Gwinnett County","2558","South Gwinnett High School",417,11.7,22.6
2007,"667","Gwinnett County","3750","Central Gwinnett High School",418,12.9,18.3
2007,"667","Gwinnett County","4052","Dacula High School",361,6.1,13.5
2007,"667","Gwinnett County","4556","North Gwinnett High School",499,4.8,14.2
2007,"667","Gwinnett County","5550","Duluth High School",351,7.3,10
2007,"667","Gwinnett County","ALL","All Gwinnett County High Schools",7160,8.2,14.8
2007,"668","Habersham County","2052","Habersham Central High School",271,13.3,25.9
2007,"668","Habersham County","ALL","All Habersham County High Schools",271,13.3,25.9
2007,"669","Hall County","0102","Chestatee High School",156,13.1,19
2007,"669","Hall County","0105","Lanier College and Career Academy",63,28.6,57.1
2007,"669","Hall County","0189","West Hall High School",145,17,26.1
2007,"669","Hall County","0202","Flowery Branch High",224,18.3,34.1
2007,"669","Hall County","1552","East Hall High School",137,29.9,29.9
2007,"669","Hall County","1556","North Hall High School",210,7.8,12.5
2007,"669","Hall County","4752","Johnson High School",129,17.8,32.9
2007,"669","Hall County","ALL","All Hall County High Schools",1064,16.6,25.9
2007,"670","Hancock County","0288","Hancock Central High School",83,23.8,52.4
2007,"670","Hancock County","ALL","All Hancock County High Schools",83,23.8,52.4
2007,"671","Haralson County","3050","Haralson County High School",183,6.3,15.6
2007,"671","Haralson County","ALL","All Haralson County High Schools",183,6.3,15.6
2007,"672","Harris County","0299","Harris County High School",283,15.5,28.6
2007,"672","Harris County","ALL","All Harris County High Schools",283,15.5,28.6
2007,"673","Hart County","3050","Hart County High School",161,14.3,27.3
2007,"673","Hart County","ALL","All Hart County High Schools",161,14.3,27.3
2007,"674","Heard County","4050","Heard County High School",103,16.3,16.3
2007,"674","Heard County","ALL","All Heard County High Schools",103,16.3,16.3
2007,"675","Henry County","0101","Union Grove High",419,8.3,17.8
2007,"675","Henry County","0104","Luella High School",358,14,25.7
2007,"675","Henry County","0105","Dutchtown High",230,14,21.7
2007,"675","Henry County","0195","Patrick Henry High School",40,15.4,38.5
2007,"675","Henry County","0205","Henry County Evening Academy",22,50,100
2007,"675","Henry County","0295","Stockbridge High School",334,20,24.2
2007,"675","Henry County","0391","Eagle's Landing High School",180,11.1,21.2
2007,"675","Henry County","3050","McDonough High School",224,18.8,25
2007,"675","Henry County","ALL","All Henry County High Schools",1807,13.8,22.5
2007,"676","Houston County","0192","Houston County High School",467,12.9,18
2007,"676","Houston County","0300","Houston County Career Academy",56,17.6,29.4
2007,"676","Houston County","1054","Perry High School",175,27,40
2007,"676","Houston County","2052","Northside High School",331,20.6,28.8
2007,"676","Houston County","4056","Warner Robins High School",335,15.6,30.3
2007,"676","Houston County","ALL","All Houston County High Schools",1364,17.2,26.6
2007,"677","Irwin County","2050","Irwin County High School",79,24.1,24.1
2007,"677","Irwin County","ALL","All Irwin County High Schools",79,24.1,24.1
