"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","INSTATE_ENR_RANK"
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Darton State College",4
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Georgia Southern University",1
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Middle Georgia State University",2
2007,"619","Calhoun County","ALL","All Calhoun County High Schools","Albany State University",5
2007,"619","Calhoun County","ALL","All Calhoun County High Schools","Albany Technical College",2
2007,"619","Calhoun County","ALL","All Calhoun County High Schools","Darton State College",4
2007,"619","Calhoun County","ALL","All Calhoun County High Schools","Georgia Southern University",1
2007,"619","Calhoun County","ALL","All Calhoun County High Schools","Middle Georgia State University",2
2007,"620","Camden County","0295","Camden County High School","Abraham Baldwin Agricultural College",4
2007,"620","Camden County","0295","Camden County High School","Armstrong State University",4
2007,"620","Camden County","0295","Camden County High School","College Of Coastal Georgia",1
2007,"620","Camden County","0295","Camden County High School","Georgia Southern University",3
2007,"620","Camden County","0295","Camden County High School","Valdosta State University",2
2007,"620","Camden County","ALL","All Camden County High Schools","Abraham Baldwin Agricultural College",4
2007,"620","Camden County","ALL","All Camden County High Schools","Armstrong State University",4
2007,"620","Camden County","ALL","All Camden County High Schools","College Of Coastal Georgia",1
2007,"620","Camden County","ALL","All Camden County High Schools","Georgia Southern University",3
2007,"620","Camden County","ALL","All Camden County High Schools","Valdosta State University",2
2007,"621","Candler County","0101","Metter High School","East Georgia State College",1
2007,"621","Candler County","0101","Metter High School","Georgia Southern University",2
2007,"621","Candler County","0101","Metter High School","Ogeechee Technical College",3
2007,"621","Candler County","0101","Metter High School","Swainsboro Technical College",4
2007,"621","Candler County","0101","Metter High School","University Of Georgia",4
2007,"621","Candler County","ALL","All Candler County High Schools","East Georgia State College",1
2007,"621","Candler County","ALL","All Candler County High Schools","Georgia Southern University",2
2007,"621","Candler County","ALL","All Candler County High Schools","Ogeechee Technical College",3
2007,"621","Candler County","ALL","All Candler County High Schools","Swainsboro Technical College",4
2007,"621","Candler County","ALL","All Candler County High Schools","University Of Georgia",4
2007,"622","Carroll County","0189","Temple High School","Georgia Highlands College",3
2007,"622","Carroll County","0189","Temple High School","Kennesaw State University",4
2007,"622","Carroll County","0189","Temple High School","University Of Georgia",4
2007,"622","Carroll County","0189","Temple High School","University Of West Georgia",2
2007,"622","Carroll County","0189","Temple High School","West Central Technical College",1
2007,"622","Carroll County","0190","Open Campus High School","University Of West Georgia",2
2007,"622","Carroll County","0190","Open Campus High School","West Central Technical College",1
2007,"622","Carroll County","0276","Mount Zion High School","Devry University - Alpharetta",4
2007,"622","Carroll County","0276","Mount Zion High School","Georgia Highlands College",3
2007,"622","Carroll County","0276","Mount Zion High School","University Of West Georgia",2
2007,"622","Carroll County","0276","Mount Zion High School","West Central Technical College",1
2007,"622","Carroll County","2052","Central High School","Berry College",4
2007,"622","Carroll County","2052","Central High School","Georgia Highlands College",3
2007,"622","Carroll County","2052","Central High School","University Of Georgia",4
2007,"622","Carroll County","2052","Central High School","University Of West Georgia",1
2007,"622","Carroll County","2052","Central High School","West Central Technical College",2
2007,"622","Carroll County","3050","Bowdon High School","Georgia Southern University",4
2007,"622","Carroll County","3050","Bowdon High School","Savannah State University",4
2007,"622","Carroll County","3050","Bowdon High School","University Of Georgia",3
2007,"622","Carroll County","3050","Bowdon High School","University Of West Georgia",1
2007,"622","Carroll County","3050","Bowdon High School","West Central Technical College",2
2007,"622","Carroll County","5054","Villa Rica High School","Georgia Highlands College",3
2007,"622","Carroll County","5054","Villa Rica High School","Georgia Southern University",4
2007,"622","Carroll County","5054","Villa Rica High School","Georgia State University",5
2007,"622","Carroll County","5054","Villa Rica High School","University Of West Georgia",1
2007,"622","Carroll County","5054","Villa Rica High School","West Central Technical College",2
2007,"622","Carroll County","ALL","All Carroll County High Schools","Georgia Highlands College",3
2007,"622","Carroll County","ALL","All Carroll County High Schools","Georgia State University",5
2007,"622","Carroll County","ALL","All Carroll County High Schools","University Of Georgia",4
2007,"622","Carroll County","ALL","All Carroll County High Schools","University Of West Georgia",1
2007,"622","Carroll County","ALL","All Carroll County High Schools","West Central Technical College",2
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Berry College",5
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Dalton State College",1
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Kennesaw State University",3
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Northwestern Technical College",2
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","University Of Georgia",4
2007,"623","Catoosa County","4052","Ringgold High School","Dalton State College",1
2007,"623","Catoosa County","4052","Ringgold High School","Kennesaw State University",3
2007,"623","Catoosa County","4052","Ringgold High School","Northwestern Technical College",2
2007,"623","Catoosa County","4052","Ringgold High School","University Of Georgia",4
2007,"623","Catoosa County","4052","Ringgold High School","University Of West Georgia",5
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Dalton State College",1
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Kennesaw State University",3
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Northwestern Technical College",2
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","University Of Georgia",4
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","University Of West Georgia",5
2007,"624","Charlton County","0287","Charlton County High School","Abraham Baldwin Agricultural College",3
2007,"624","Charlton County","0287","Charlton County High School","College Of Coastal Georgia",1
2007,"624","Charlton County","0287","Charlton County High School","Georgia Southern University",5
2007,"624","Charlton County","0287","Charlton County High School","Middle Georgia State University",4
2007,"624","Charlton County","0287","Charlton County High School","Okefenokee Technical College",2
2007,"624","Charlton County","ALL","All Charlton County High Schools","Abraham Baldwin Agricultural College",3
2007,"624","Charlton County","ALL","All Charlton County High Schools","College Of Coastal Georgia",1
2007,"624","Charlton County","ALL","All Charlton County High Schools","Middle Georgia State University",4
2007,"624","Charlton County","ALL","All Charlton County High Schools","Okefenokee Technical College",2
2007,"624","Charlton County","ALL","All Charlton County High Schools","Waycross College",5
2007,"625","Savannah-Chatham County","0101","Johnson High School","Armstrong State University",1
2007,"625","Savannah-Chatham County","0101","Johnson High School","East Georgia State College",5
2007,"625","Savannah-Chatham County","0101","Johnson High School","Georgia Southern University",4
2007,"625","Savannah-Chatham County","0101","Johnson High School","Savannah State University",2
2007,"625","Savannah-Chatham County","0101","Johnson High School","Savannah Technical College",2
2007,"625","Savannah-Chatham County","0399","Savannah High School","Albany State University",3
2007,"625","Savannah-Chatham County","0399","Savannah High School","Armstrong State University",4
2007,"625","Savannah-Chatham County","0399","Savannah High School","East Georgia State College",4
2007,"625","Savannah-Chatham County","0399","Savannah High School","Savannah State University",2
2007,"625","Savannah-Chatham County","0399","Savannah High School","Savannah Technical College",1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Armstrong State University",1
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Georgia College & State University",4
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Georgia Southern University",2
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","Georgia State University",5
2007,"625","Savannah-Chatham County","0499","Savannah Arts Academy","University Of Georgia",3
2007,"625","Savannah-Chatham County","2052","Beach High School","Albany State University",3
2007,"625","Savannah-Chatham County","2052","Beach High School","Armstrong State University",4
2007,"625","Savannah-Chatham County","2052","Beach High School","Fort Valley State University",4
2007,"625","Savannah-Chatham County","2052","Beach High School","Savannah State University",1
2007,"625","Savannah-Chatham County","2052","Beach High School","Savannah Technical College",1
2007,"625","Savannah-Chatham County","3056","Groves High School","Armstrong State University",3
2007,"625","Savannah-Chatham County","3056","Groves High School","East Georgia State College",4
2007,"625","Savannah-Chatham County","3056","Groves High School","Georgia Southern University",5
2007,"625","Savannah-Chatham County","3056","Groves High School","Savannah State University",1
2007,"625","Savannah-Chatham County","3056","Groves High School","Savannah Technical College",2
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Armstrong State University",3
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Georgia Southern University",5
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Savannah State University",1
2007,"625","Savannah-Chatham County","5060","Jenkins High School","Savannah Technical College",2
