school,loc_code,level,cluster,prin_lgl_nm,prin_beg_dt,year_opened,enrollment_n,k12_enr_n,attendance_pct,mobility,free,eoy_dt,prin_year,prin_since,sys_id,sch_id,sspi,title_i,grade,star_rtg,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma
Beaver Ridge ES,100,ES,Norcross,Martina Luna-Liranzo,2019-07-01,1980,1051,971,97.47,0.251189343482398,75.5921730175077,2022-07-01,2.66849315068493,"July 1, 2019",667,0280,-2.12010035667089,Y,B,5,80.3,82.406,72.722,89.758,84.739,97.3,27.8,50.3,34.6,47.3,35.4,41.1
Berkeley Lake ES,120,ES,Duluth,Lesley Y. Pendleton,2017-07-03,1984,840,764,97.88,0.166666666666667,42.6701570680628,2022-07-01,4.66301369863014,"July 3, 2017",667,0184,0.416100544912952,Y,B,5,88.8,82.185,72.396,87.252,86.907,97,48.5,54.6,60.9,68.8,53.6,49.4
Camp Creek ES,200,ES,Parkview,Valerie W. Robinett,2013-06-03,1973,1350,1268,97.55,0.108888888888889,24.4479495268139,2022-07-01,8.74520547945206,"June 3, 2013",667,3550,1.6446891089929,Y,A,5,93.9,86.636,77.413,90.336,92.16,98.5,70.6,76.5,62,80.4,66.7,69.4
Chattahoochee ES,280,ES,Duluth,Mark D. Moon,2021-08-02,1990,1258,1175,97.34,0.174880763116057,34.1276595744681,2022-07-01,0.580821917808219,"August 2, 2021",667,0190,0.540739146776002,N,B,4,85.3,81.248,72.034,90.515,81.195,92.2,57.8,62,57.7,72.2,56.3,51.9
Chesney ES,355,ES,Duluth,Ricardo R. Quinn,2014-01-02,2005,1268,1163,97.35,0.223186119873817,68.8736027515047,2022-07-01,8.16164383561644,"January 2, 2014",667,1605,-1.34716590394748,N,C,4,74.9,81.267,74.013,85.895,83.893,92.6,32.7,43.2,41,48.9,40.5,51.2
Dyer ES,400,ES,Mountain View,Michael J. DiFilippo,2011-10-01,1971,912,856,97.55,0.154605263157895,31.7757009345794,2022-07-01,10.4164383561644,"October 1, 2011",667,1052,0.673045247658783,Y,A,5,91.9,84.001,76.729,90.727,84.547,98.2,63.7,83.9,61.2,69,71.6,73.1
Fort Daniel ES,415,ES,Mill Creek,Barbara Maria Tucker,2019-01-02,1995,683,652,97.23,0.146412884333821,30.2147239263804,2022-07-01,3.16164383561644,"January 2, 2019",667,0295,0.17262833927161,N,A,4,97,86.491,77.027,92.094,90.353,92.5,57.9,66.9,75,84,74.1,72.4
Freeman's Mill ES,420,ES,Mountain View,Angela C. Pacholke,2012-07-02,2000,1021,975,97.88,0.135161606268364,26.5641025641026,2022-07-01,9.66575342465753,"July 2, 2012",667,0200,0.463225830280462,Y,B,5,87.5,82.407,70.327,89.591,87.302,97.5,72.1,82.7,72.1,76.3,63.7,61.6
Harris ES,475,ES,Duluth,Erin A. Hahn,2016-01-04,1967,700,665,97.88,0.194285714285714,57.593984962406,2022-07-01,6.15616438356164,"January 4, 2016",667,3054,-0.476749609297418,Y,B,5,88.9,79.883,75.176,84.922,79.552,97.1,55.9,71,57.2,74.3,55.6,53.4
Ivy Creek ES,463,ES,Mill Creek,Melanie G. Terris,2021-07-01,2004,1491,1381,97.46,0.138832997987928,24.2577842143374,2022-07-01,0.668493150684932,"July 1, 2021",667,0305,0.573748585510103,Y,A,5,96.8,86.513,77.746,92.62,89.172,98.5,60.9,71.5,65.6,72,75.6,74.7
Knight ES,500,ES,Parkview,Toni C. Ferguson,2012-06-01,1976,881,846,97.43,0.155505107832009,61.3475177304965,2022-07-01,9.75068493150685,"June 1, 2012",667,0275,-0.338504914860955,Y,A,5,90.6,85.312,77.615,89.633,88.689,97.1,54.1,66.3,45.6,58.2,57.1,60.9
Mountain Park ES,650,ES,Parkview,David B. Walker,2018-02-12,1967,663,620,97.48,0.14630467571644,41.9354838709677,2022-07-01,4.04931506849315,"February 12, 2018",667,2056,0.474144643202254,Y,B,4,81.8,81.625,71.798,90.99,82.086,96.3,59,68,59.2,64.2,65.4,56.4
Norcross ES,675,ES,Norcross,Kassia G. Morris-Sutton,2016-06-01,1958,872,799,96.95,0.26605504587156,80.3504380475594,2022-07-01,5.75068493150685,"June 1, 2016",667,4056,0.33471563998441,Y,C,4,78.9,80.424,72.545,79.708,89.018,95.3,34.4,52.5,42.5,48.7,42.8,42.8
Peachtree ES,775,ES,Norcross,Gretchen L. Runaldue,2017-07-03,1972,884,818,97.71,0.210407239819005,74.9388753056235,2022-07-01,4.66301369863014,"July 3, 2017",667,5056,-0.656740671109022,Y,B,5,84.4,82.941,71.017,87.851,89.954,97,38.3,56.1,47.3,49,40,41.8
Pucketts Mill ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpson ES,820,ES,Norcross,Taffeta Young Connery,2020-01-27,1994,892,855,98.12,0.0728699551569507,4.91228070175439,2022-07-01,2.09315068493151,"January 27, 2020",667,0494,5.34303701167552,N,A,4,92.2,80.039,73.557,88.682,77.88,94.2,81.2,84,86.9,87,81.8,84.4
Stripling ES,860,ES,Norcross,Molly M. McAuliffe,2020-10-19,2000,784,707,97.62,0.278061224489796,76.3790664780764,2022-07-01,1.36712328767123,"October 19, 2020",667,0300,-1.73866372028695,N,C,3,70.1,72.543,68.353,70.559,78.717,87.8,28,44,23.8,36,28.6,30.8
Woodward Mill ES,520,ES,Mountain View,Michael D. Bender,2014-12-01,2010,1022,971,97.27,0.13307240704501,33.264675592173,2022-07-01,7.24931506849315,"December 1, 2014",667,1810,0.921762516186793,N,A,4,90.4,82.325,73.043,84.074,89.859,93.1,59.2,68.3,56.7,70.6,61.2,70
Duncan Creek ES,443,ES,Mill Creek,Carrie A. Yougel,2013-06-03,2004,1363,1245,97.62,0.121790168745415,21.8473895582329,2022-07-01,8.74520547945206,"June 3, 2013",667,1205,0.905179918208582,Y,B,5,86.4,82.965,74.397,89.568,84.928,97.2,61.5,75.3,76.2,81.7,68.6,61
Sycamore ES,940,ES,Lanier,Crystal Tanya Cooper Thompson,2012-06-01,2004,836,769,96.7,0.135167464114833,53.5760728218466,2022-07-01,9.75068493150685,"June 1, 2012",667,0505,0.20391996233506,Y,C,4,79.9,80.524,74.413,84.476,82.684,95.5,50.5,55,45.7,56.6,47.7,42.5
Patrick ES,504,ES,Mountain View,Stephanie C. Stewart,2017-01-03,2008,908,854,97.3,0.167400881057269,33.1381733021077,2022-07-01,5.15890410958904,"January 3, 2017",667,0608,0.182821965793023,Y,B,4,89.2,82.871,72.585,91.282,84.745,95.5,56.6,68.9,66.1,74.5,59.4,63.9
Sugar Hill ES,875,ES,Lanier,Nick M. Boyers,2020-01-27,1961,1203,1132,97.17,0.162094763092269,35.9540636042403,2022-07-01,2.09315068493151,"January 27, 2020",667,0296,0.518879804149886,Y,B,5,84,83.54,74.54,89.578,86.502,97,60.1,70.7,67.6,69.3,61.9,58.2
Alcova ES,978,ES,Dacula,Cortina Kimberly Harris,2019-07-01,2005,1500,1415,97.32,0.184,51.4487632508834,2022-07-01,2.66849315068493,"July 1, 2019",667,1005,0.00689595139820513,Y,B,4,82,79.008,68.829,83.142,85.054,94.3,47,61.3,43.4,54.7,51.3,39.1
Jenkins ES,524,ES,Central Gwinnett,Tameika N. Turner-Haynes,2020-11-30,2011,824,793,97.66,0.233009708737864,69.609079445145,2022-07-01,1.25205479452055,"November 30, 2020",667,1015,0.0550461707064682,N,C,3,77.2,83.031,70.869,86.656,91.567,91.2,43.5,53.1,42.4,41.2,42.9,45.6
Harmony ES,450,ES,Mill Creek,Jonathan R. Day,2019-07-01,1958,633,590,98.03,0.134281200631912,23.728813559322,2022-07-01,2.66849315068493,"July 1, 2019",667,2054,0.0667162309185627,Y,C,5,78.6,86.626,74.472,92.02,93.386,98.9,55,68,55.2,64.6,59.1,54.8
White Oak ES,513,ES,Lanier,Jean A. Loethen,2009-07-01,2010,678,652,97.67,0.113569321533923,17.9447852760736,2022-07-01,12.6684931506849,"July 1, 2009",667,1310,0.680536062578435,N,A,4,96.5,82.942,75.544,89.545,83.737,94.7,58.5,73.2,70.7,77.2,76.3,79.5
