obj_id,obj_name,obj_typ,obj_subtcd,obj_subtyp,country,metro,lat,lon,reldate,nces_schid,nces_disid,st,sys_id,sch_id,level,sch_type,sch_type_text,sys_sch,school_district_nm,school_name,mobility,k12_enr_n,k12_fl_n,k12_rpl_n,k12_frpl_n,unmasked_k12_frpl_pct
16018940,WESTSIDE MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.987355,-83.779648,20211112,130029001913,1300290,GA,607,0198,Middle,1,Regular School,607198,Barrow County,Westside Middle School,15.8,725,320,63,383,52.8275862068966
16018941,KENNEDY ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.970243,-83.748969,20211112,130029002016,1300290,GA,607,0189,Elementary,1,Regular School,607189,Barrow County,Kennedy Elementary School,14.2,847,384,67,451,53.2467532467532
16018942,RUSSELL MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",34.044267,-83.774651,20211112,130029002017,1300290,GA,607,0289,Middle,1,Regular School,607289,Barrow County,Russell Middle School,10.7,951,344,63,407,42.7970557308097
16018943,YARGO ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.940899,-83.784238,20211112,130029002293,1300290,GA,607,0298,Elementary,1,Regular School,607298,Barrow County,Yargo Elementary School,10.5,829,338,129,467,56.3329312424608
16018944,APALACHEE HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.960677,-83.742634,20211112,130029002350,1300290,GA,607,0101,High,1,Regular School,607101,Barrow County,Apalachee High School,15.2,1917,625,143,768,40.0625978090767
16018945,HAYMON-MORRIS MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,,33.932764,-83.703905,20211112,130029003285,1300290,GA,607,0106,Middle,1,Regular School,607106,Barrow County,Haymon-Morris Middle School,10.1,838,304,82,386,46.0620525059666
16018951,BERRIEN PRIMARY SCHOOL,School,SAZ,School Attendance Zone,USA,,31.275871,-83.229668,20211112,130039000195,1300390,GA,610,5050,Elementary,1,Regular School,6105050,Berrien County,Berrien Primary School,17,655,546,0,546,83.3587786259542
16018952,BERRIEN MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,,31.275871,-83.229668,20211112,130039000228,1300390,GA,610,0194,Middle,1,Regular School,610194,Berrien County,Berrien Middle School,16.3,701,341,45,386,55.0641940085592
16018953,BERRIEN ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,31.275871,-83.229668,20211112,130039000787,1300390,GA,610,0195,Elementary,1,Regular School,610195,Berrien County,Berrien Elementary School,15.4,640,534,0,534,83.4375
16018954,DR. MARTIN LUTHER KING JR ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.866357,-83.606611,20211112,130042000199,1300420,,,,,,,,,,,,,,,
16018955,BERND ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.806375,-83.554498,20211112,130042000201,1300420,GA,611,1054,Elementary,1,Regular School,6111054,Bibb County,Bernd Elementary School,26.5,386,386,0,386,100
16018956,WILLIAMS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.845416,-83.645987,20211112,130042000203,1300420,GA,611,0383,Elementary,1,Regular School,611383,Bibb County,Williams Elementary School,23.2,299,299,0,299,100
16018959,APPLING MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.823353,-83.5704,20211112,130042000212,1300420,GA,611,5050,Middle,1,Regular School,6115050,Bibb County,Appling Middle School,14,743,743,0,743,100
16018960,LANE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.917365,-83.705518,20211112,130042000218,1300420,GA,611,1305,Elementary,1,Regular School,6111305,Bibb County,Lane Elementary School,23.7,427,427,0,427,100
16018962,SPRINGDALE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.905413,-83.725532,20211112,130042000225,1300420,GA,611,1105,Elementary,1,Regular School,6111105,Bibb County,Springdale Elementary School,15,502,502,0,502,100
16018963,INGRAM - PYE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,32.804528,-83.620558,20211112,130042000226,1300420,GA,611,3067,Elementary,1,Regular School,6113067,Bibb County,Ingram/Pye Elementary School,28.2,375,375,0,375,100
16018964,VETERANS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.804749,-83.714701,20211112,130042000227,1300420,,,,,,,,,,,,,,,
16018966,HEARD ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.707005,-83.668541,20211112,130042000230,1300420,GA,611,3060,Elementary,1,Regular School,6113060,Bibb County,Heard Elementary School,14.7,484,484,0,484,100
16018967,MATILDA HARTLEY ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.817653,-83.669089,20211112,130042000241,1300420,GA,611,2060,Elementary,1,Regular School,6112060,Bibb County,Hartley Elementary School,29.7,472,472,0,472,100
16018968,RILEY ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.830968,-83.685829,20211112,130042000246,1300420,,,,,,,,,,,,,,,
16018969,CARTER ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.883941,-83.756603,20211112,130042000790,1300420,GA,611,1205,Elementary,1,Regular School,6111205,Bibb County,Carter Elementary School,24,400,400,0,400,100
16018970,WEAVER MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,,32.841515,-83.76396,20211112,130042001416,1300420,GA,611,0505,Middle,1,Regular School,611505,Bibb County,Weaver Middle School,18.8,952,952,0,952,100
16018971,UNION ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.832865,-83.725361,20211112,130042001869,1300420,GA,611,0705,Elementary,1,Regular School,611705,Bibb County,Union Elementary School,24,464,464,0,464,100
16018972,WESTSIDE HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,,32.841515,-83.76396,20211112,130042001918,1300420,GA,611,0198,High,1,Regular School,611198,Bibb County,Westside High School,13.7,1030,1030,0,1030,100
16018973,CENTRAL HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.821007,-83.632384,20211112,130042001942,1300420,GA,611,0186,High,1,Regular School,611186,Bibb County,Central High School,15.8,925,925,0,925,100
16018974,NORTHEAST HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.823353,-83.5704,20211112,130042001943,1300420,GA,611,0286,High,1,Regular School,611286,Bibb County,Northeast High School,16.3,714,714,0,714,100
16018975,SOUTHWEST HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.7976,-83.681158,20211112,130042001944,1300420,GA,611,0386,High,1,Regular School,611386,Bibb County,Southwest High School,21.2,790,790,0,790,100
16018976,BROOKDALE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Macon, GA",32.846043,-83.680134,20211112,130042002096,1300420,,,,,,,,,,,,,,,
