"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0301","608","2019-20","Adairsville Middle School","Bartow County","06,07,08",0,0,5,9,3,82,0,49,13.2,3,78,9.6,,,,,107,13.2,14,1.7,0,0,,,10,1.3,137,16.9,53,47
"School","0377","608","2019-20","Hamilton Crossing Elementary School","Bartow County","PK,KK,01,02,03,04,05",2,1,7,22,6,62,0,55,14.9,19,,,45,9.1,,,74,14.9,70,14.1,17,44.7,,,0,0,44,8.9,52,48
"School","0396","608","2019-20","Taylorsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,5,10,5,80,0,49,8.5,5,,,66,14.4,,,39,8.5,18,3.9,4,9.5,,,0,0,47,10.2,50,50
"School","2052","608","2019-20","Emerson Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,7,15,4,73,0,77,11.4,11,,,144,41,,,40,11.4,29,8.3,13,38.2,,,0,0,34,9.7,52,48
"District","ALL","608","2019-20","All Column Values","Bartow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,9,15,5,70,0,55,12,8,513,16.2,1181,20.3,302,7.7,1553,12,623,4.8,106,21.1,2107,53.6,63,0.5,1514,11.7,51,49
"School","0111","609","2019-20","Ben Hill Elementary School","Ben Hill County","03,04,05",0,0,43,11,3,42,1,89,9.7,9,,,524,76.8,,,66,9.7,26,3.8,0,0,,,0,0,31,4.5,55,45
"School","0196","609","2019-20","Ben Hill County Primary School","Ben Hill County","PK,KK,01,02",1,0,45,9,2,42,1,89,13.9,7,,,400,62.4,,,89,13.9,39,6.1,46,24.7,,,0,0,7,1.1,51,49
"School","0291","609","2019-20","Fitzgerald High School","Ben Hill County","09,10,11,12",1,0,44,15,3,37,1,65,14.6,1,,,,,426,53.1,117,14.6,8,1,0,0,517,64.5,9,1.5,68,8.5,50,50
"School","0296","609","2019-20","Ben Hill County Middle School","Ben Hill County","06,07,08",1,0,45,12,3,39,1,89,11.7,4,519,70.4,,,,,86,11.7,5,0.7,0,0,,,0,0,61,8.3,51,49
"School","0392","609","2019-20","Hurricane Transition Academy","Ben Hill County","09,10,11,12",0,6,24,6,0,65,0,88,11.8,0,,,,,0,0,2,11.8,0,0,0,0,1,5.9,0,0,,,59,41
"District","ALL","609","2019-20","All Column Values","Ben Hill County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,44,12,3,40,1,82,12.5,5,519,70.4,924,69.8,426,52,360,12.5,78,2.7,46,24.7,518,63.2,9,0.3,167,5.8,52,48
"School","0101","610","2019-20","Berrien High School","Berrien County","09,10,11,12",1,0,12,10,3,73,2,51,10.2,1,,,,,162,19.4,85,10.2,8,1,0,0,576,69,14,2.2,75,9,52,48
"School","0106","610","2019-20","Berrien Academy Performance Learning Center","Berrien County","09,10,11,12",0,0,7,4,1,87,0,31,5.9,0,,,,,25,36.8,4,5.9,0,0,0,0,8,11.8,54,100,4,5.9,41,59
