"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0196","609","2017-18","Ben Hill County Primary School","Ben Hill County","PK,KK,01,02",0,0,42,10,2,45,1,98,13.2,7,,,64,9,,,94,13.2,47,6.6,32,18.9,,,0,0,7,1,55,45
"School","0291","609","2017-18","Fitzgerald High School","Ben Hill County","09,10,11,12",1,0,42,12,2,44,1,99,14.2,2,,,,,219,26.4,118,14.2,5,0.6,0,0,542,65.4,14,2.3,78,9.4,51,49
"School","0296","609","2017-18","Ben Hill County Middle School","Ben Hill County","06,07,08",0,0,44,15,3,37,1,99,12.9,10,85,12.6,,,,,87,12.9,5,0.7,0,0,,,41,6.1,63,9.3,47,53
"District","ALL","609","2017-18","All Column Values","Ben Hill County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,42,12,3,42,1,99,12.9,7,85,12.6,319,21.2,219,26.4,389,12.9,86,2.9,32,18.9,542,65.4,55,2,188,6.3,51,49
"School","0101","610","2017-18","Berrien High School","Berrien County","09,10,11,12",1,0,13,8,3,75,1,84,10.6,2,,,,,187,23.5,84,10.6,3,0.4,0,0,552,69.3,9,1.6,57,7.2,50,50
"School","0106","610","2017-18","Berrien Academy Performance Learning Center","Berrien County","09,10,11,12",0,0,5,3,3,89,0,83,4.7,0,,,,,34,53.1,3,4.7,0,0,0,0,20,31.3,48,100,,,47,53
"School","0194","610","2017-18","Berrien Middle School","Berrien County","06,07,08",1,0,13,9,2,75,2,83,10.4,3,92,12.5,,,,,77,10.4,5,0.7,0,0,,,9,1.2,64,8.7,51,49
"School","0195","610","2017-18","Berrien Elementary School","Berrien County","03,04,05",0,0,12,8,3,76,2,83,10.9,6,,,98,13.4,,,80,10.9,17,2.3,0,0,,,0,0,45,6.1,54,46
"School","5050","610","2017-18","Berrien Primary School","Berrien County","PK,KK,01,02",0,0,12,6,6,75,2,84,12.6,4,,,219,31.7,,,87,12.6,24,3.5,29,22.3,,,0,0,5,0.7,50,50
"District","ALL","610","2017-18","All Column Values","Berrien County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,12,8,4,76,2,83,11,4,92,12.5,317,22.3,221,25.7,331,11,49,1.6,29,22.3,572,66.5,66,2.4,171,5.7,51,49
"School","0103","611","2017-18","Skyview Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,38,3,4,54,0,99,14.5,1,,,124,27.6,,,65,14.5,0,0,3,6.4,,,0,0,30,6.7,50,50
"School","0104","611","2017-18","Burdell Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,95,2,1,1,0,99,9.5,2,,,168,34.6,,,46,9.5,7,1.4,2,8,,,0,0,5,1,53,47
"School","0105","611","2017-18","Howard High School","Bibb County","09,10,11,12",4,0,62,4,2,28,0,99,11.5,3,,,,,217,17.4,144,11.5,21,1.7,0,0,763,61.1,1,0.1,160,12.8,52,48
"School","0108","611","2017-18","Ballard Hudson Middle School","Bibb County","06,07,08",0,0,94,3,1,2,0,99,11.2,1,111,15.3,,,,,81,11.2,0,0,0,0,,,0,0,,,54,46
"School","0109","611","2017-18","Bruce Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,91,2,2,4,0,99,5.6,0,,,251,58.8,,,24,5.6,0,0,5,17.9,,,0,0,10,2.3,47,53
"School","0117","611","2017-18","Academy For Classical Education","Bibb County","KK,01,02,03,04,05,06,07,08,09,10,11,12",8,0,16,3,2,71,0,99,3.4,2,0,0,35,4.1,0,0,53,3.4,16,1,0,0,65,23.7,0,0,454,29.5,50,50
