#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLL_PCT_ASIAN,ENROLL_PCT_NATIVE,ENROLL_PCT_BLACK,ENROLL_PCT_HISPANIC,ENROLL_PCT_MULTIRACIAL,ENROLL_PCT_WHITE,ENROLL_PCT_MIGRANT,ENROLL_PCT_ED,ENROLL_PCT_SWD,ENROLL_PCT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PCT_MALE,ENROLL_PCT_FEMALE
"Enrollment_by_Subgroup_Metrics","2022-23","District","641","Dade County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","1","3","3","92","TFS","46","13.9","1","34.1","34.1","422","46.6","84","13.4","271","13.9","TFS","TFS","15","13.2","380","60.8","24","1.4","167","8.6","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","642","Dawson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","2","13","2","82","TFS","43","15.3","7","11.2","11.2","215","12","42","3.8","578","15.3","143","3.8","35","24.5","619","56.2","53","1.5","243","6.4","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","643","Decatur County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","52","12","3","33","2","100","10.9","6","32","32","553","31.7","318","23.1","443","10.9","146","3.6","19","7.8","763","55.4","221","5.9","210","5.2","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","644","DeKalb County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","6","TFS","58","21","3","11","TFS","78","10.4","21","15.6","15.6","4671","11.2","796","3","9330","10.4","14897","16.7","373","12.5","13094","48.7","TFS","TFS","9123","10.2","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","645","Dodge County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","34","5","5","55","TFS","78","16.2","3","14.4","14.4","472","40.1","71","8.1","437","16.2","49","1.8","TFS","TFS","710","80.9","TFS","TFS","174","6.4","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","646","Dooly County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","68","21","2","9","2","100","9.1","12","35.4","35.4","188","41.8","66","18.9","96","9.1","112","10.6","TFS","TFS","242","69.1","TFS","TFS","34","3.2","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","647","Dougherty County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","90","4","2","4","TFS","100","11.9","3","37.5","37.5","3234","54.3","804","21.9","1507","11.9","219","1.7","64","17.7","2847","77.5","211","1.8","639","5","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","648","Douglas County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","56","20","6","16","TFS","65","13.5","10","21.8","21.8","2983","28.1","1398","15.9","3463","13.5","1580","6.2","177","91.7","4412","50.1","369","1.5","2611","10.2","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","649","Early County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","75","2","3","19","TFS","100","11.5","TFS","32.6","32.6","274","41.2","301","54.6","184","11.5","TFS","TFS","TFS","TFS","458","83.1","50","3.5","106","6.6","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","650","Echols County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","2","46","1","50","19","85","8.9","23","50.5","50.5","126","30.7","46","18.2","75","8.9","135","16","TFS","TFS","202","79.8","10","1.3","19","2.2","52","48"
