"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2017","2017",4,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2018","2018",4,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2019","2019",4,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2020","2020",4,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2021","2021",4,,
"10403","Start month of the academic school year (tertiary education)","ARG","Argentina","2022","2022",4,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","ARM","Armenia","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","ABW","Aruba","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","AZE","Azerbaijan","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","BHS","Bahamas","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","BHR","Bahrain","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2017","2017",7,,
