object_id,nces_sch_id,nces_sys_id,orig_state_id,sys_id,sch_id,shape_length,shape_area,sspi,sys_name,sch_name,cluster,n_stu_19,title_i,grade,star_rtg,asian,native,black,hisp,multi,white,frpl,swd,lep,mobility,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma,fiscal_year,sys_sch,system_id,system_name,school_id,school_name,direct_cert_perc,k12_poverty_student_ct,k12_student_count
137,130012003030,1300120,GA-761-0604,761,0604,0.15161226931,0.000794278020603,-2.92652135486067,Atlanta Public Schools,Usher-Collier Elementary School,E,397,N,D,2,1,0,95,4,1,0,78.800003,18,2,29.4,65.8,81.458,72.604,82.799,88.97,87.1,19.2,17.3,28,28,15.3,6.8,2024,761604,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elementary School,89.8000030517578,343,382
713,130012003468,1300120,GA-761-0105,761,0105,0.137987934055,0.000551005877897,-6.04753761862387,Atlanta Public Schools,Finch Elementary School,E,410,N,D,2,0,0,98,1,1,0,82,11,1,31.7,61.4,77.553,71.042,81.126,80.492,85.2,11.3,14.5,21.6,21.5,22.6,8.3,2024,761105,761,Atlanta Public Schools,105,Finch Elementary,91.0999984741211,267,293
535,130012003470,1300120,GA-761-0304,761,0304,0.250842724938,0.00130199891762,-0.573543509468045,Atlanta Public Schools,Deerwood Academy School,E,634,Y,D,4,0,0,97,2,1,0,55.400002,7,1,29.4,64.4,79.068,70.163,75.915,91.126,95.3,19.6,30.4,22.5,38.7,30.7,25,2024,761304,761,Atlanta Public Schools,304,Deerwood Academy,80,344,430
262,130012003471,1300120,GA-761-0305,761,0305,0.169915328009,0.000526994224863,1.02834405363305,Atlanta Public Schools,Burgess-Peterson Academy,E,462,N,C,4,0,0,70,3,6,21,41.799999,16,0,12.3,79,85.239,76.536,90.558,88.624,95.4,60.9,62.3,44.4,53.3,47.2,38.1,2024,761305,761,Atlanta Public Schools,305,Burgess-Peterson Elementary School,33,183,555
1930,130012003841,1300120,GA-761-0116,761,0116,0.229262867616,0.000959002881433,9.58235872526848,Atlanta Public Schools,Springdale Park Elementary School,E,739,N,A,5,5,0,12,10,11,61,7.5999999,5,8,11.7,96.7,91.961,83.813,98.373,93.696,96.9,81.3,80.4,81.7,86.9,82.4,75,2024,761116,761,Atlanta Public Schools,116,Springdale Park Elementary School,20.6000003814697,88,427
213,130029000134,1300290,GA-607-0193,607,0193,0.529452224086,0.00663394823737,0.524631470470956,Barrow County,Bramlett Elementary School,E,662,Y,A,5,8,0,6,15,5,67,17.5,13,17,9.2,91.9,87.409,84.577,89.103,88.545,97.5,51,65.4,54,64.8,57.4,64.4,2024,607193,607,Barrow County,193,Bramlett Elementary School,50.9000015258789,329,647
1942,130029000171,1300290,GA-607-5050,607,5050,0.432114546288,0.00766103164147,-0.197244857478258,Barrow County,Statham Elementary School,E,745,Y,C,4,4,0,15,17,6,58,28.299999,16,16,10.2,71,79.289,72.095,81.51,84.263,92.5,36.2,50.4,36.8,42.9,37.5,38.3,2024,6075050,607,Barrow County,5050,Statham Elementary School,62.0999984741211,457,736
958,130029000172,1300290,GA-607-4050,607,4050,0.473153268591,0.00580506138617,-0.981439915289287,Barrow County,Holsenbeck Elementary School,E,698,Y,B,4,4,0,9,20,5,61,26.9,15,18,11.9,82.1,80.519,75.472,84.417,81.668,96.1,48,50,49.6,53.8,49.6,42.5,2024,6074050,607,Barrow County,4050,Holsenbeck Elementary School,59.0999984741211,437,740
473,130029000174,1300290,GA-607-0105,607,0105,0.329353038602,0.00254229438683,-1.21213745671864,Barrow County,County Line Elementary School,E,521,Y,B,4,7,0,7,19,6,61,29.9,16,19,15.2,81.7,83.053,77.624,85.461,86.074,95.4,39.4,49.3,50,56.8,51.5,50.6,2024,607105,607,Barrow County,105,County Line Elementary School,60.5999984741211,318,525
167,130029000176,1300290,GA-607-0205,607,0205,0.502808896717,0.00677480240504,0.13829502479119,Barrow County,Bethlehem Elementary School,E,714,Y,C,5,3,0,9,23,4,60,23.5,15,17,13.3,78.7,83.76,76.5,86.716,88.064,99.1,41.2,45.6,55.6,51.4,49.3,50.8,2024,607205,607,Barrow County,205,Bethlehem Elementary School,60.5999984741211,364,601
